都道府県,店舗名・施設名,説明・狙い目,公式サイト
北海道,苫小牧市科学センター,宇宙ステーション「ミール」と天文・科学展示。,https://www.city.tomakomai.hokkaido.jp/kagaku/
北海道,稚内市青少年科学館,日本最北の科学館。南極資料、天文台、プラネタリウム。,https://www.city.wakkanai.hokkaido.jp/kagakukan/index.html
岩手県,久慈琥珀博物館,久慈産琥珀、虫入り琥珀、採掘坑道跡を扱う専門館。,https://www.kuji.co.jp/museum
茨城県,大洗わくわく科学館,海の上と海底を題材にした参加体験型の科学館。,https://www.jaea.go.jp/09/wakuwaku/
新潟県,フォッサマグナミュージアム,ヒスイ、岩石、化石と日本列島の成り立ち。,https://fmm.geo-itoigawa.com/
新潟県,十日町市立里山科学館 キョロロ,雪国の里山と生物多様性を扱う小さな自然科学館。,https://www.matsunoyama.com/kyororo/
愛知県,豊橋市地下資源館,鉱物・エネルギー・地下資源をテーマにした展示館。,https://www.toyohaku.gr.jp/chika/
愛知県,蒲郡市生命の海科学館,隕石と化石から海と生命の歴史をたどる。,https://www.city.gamagori.lg.jp/site/kagakukan/
秋田県,秋田大学鉱業博物館,鉱物、岩石、化石、鉱山技術を収蔵する大学博物館。,https://www.mus.akita-u.ac.jp/
秋田県,白瀬南極探検隊記念館,白瀬矗と日本の南極探検史を扱う記念館。,https://shirase-kinenkan.jp/
岡山県,つやま自然のふしぎ館,動物・化石・昆虫など自然史標本を高密度に展示。,https://www.fushigikan.jp/
佐賀県,中冨記念くすり博物館,薬と製薬の歴史、器具、世界の薬文化を扱う。,https://nakatomi-museum.or.jp/
