名称,都道府県,市区町村,団地名,状態,状態判定根拠,現在状態確認年,公式情報URL,関連リンクタイトル1,関連リンクURL1,関連リンクタイトル2,関連リンクURL2,関連リンクタイトル3,関連リンクURL3,採用推奨,備考
富士見台名店街（むっさ21）,東京都,国立市,富士見台第一団地,現存,2026年の訪問記で団地1階の商店街と営業店舗・ストリートピアノを確認。学生・地域連携による再生事例もある。,2026,https://www.kunitachijin.com/article/yabo_night_12/,富士見台名店街「むっさ21」訪問記,https://ameblo.jp/kobaden-shoutengai/entry-12844379837.html,谷保のむっさ21・ダイヤ街訪問記,https://tokyovirtualwalk.com/archives/1819,団地商店街むっさ21の酒屋訪問記,https://kunitachijin.com/article/yabo_night_12/,YES,個人ブログと地域メディアの双方で現在営業を確認
小島町二丁目団地ショッピングセンター,東京都,江戸川区,小島町二丁目団地,現存,公式店舗一覧に4〜6号棟の衣食住・サービス店舗が掲載され、商業区画が継続している。,2026,https://kojima2.com/shop/,,,,,,,YES,公式サイトのみだが店舗構成が具体的
鶴川団地センター名店街,東京都,町田市,鶴川団地,現存,公式店舗一覧に食品・飲食・理美容等の店舗が掲載され、2025年のガイドでも営業とイベントを確認。,2026,https://www.turukawa.com/map/index.html,鶴川団地センター名店街・セントラル商店街訪問記,https://www.timeout.jp/tokyo/ja/things-to-do/things-to-do-in-tsurukawadanchi,昭和の香りのする商店街訪問記,https://www.odakyu.biz/7623,,,YES,セントラル商店街とは別区画
鶴川団地セントラル商店街,東京都,町田市,鶴川団地,現存,商店街公式サイトが1969年開業の団地中心商業施設として営業店舗・祭り・再生活動を掲載。,2026,https://www.central1969.com/,鶴川団地センター名店街・セントラル商店街訪問記,https://www.timeout.jp/tokyo/ja/things-to-do/things-to-do-in-tsurukawadanchi,,,,,YES,センター名店街とは別区画
諏訪団地名店街,東京都,多摩市,諏訪団地,現存,2025年の地域記事で名店街の遊歩道と新規ブックカフェを確認。再生中の商業区画として扱う。,2025,https://tamashi-oka.jp/story/puddleby,UR諏訪・永山団地イベント資料,https://www.ur-net.go.jp/news/hndcds0000005rlr-att/chirashi001.pdf,,,,,YES,再生中のため消えゆく判定にしない
永山団地名店街,東京都,多摩市,永山団地,現存,研究論文の店舗調査とURイベント資料で名店街の区画・出店を確認。商業活動継続候補。,2025,https://www.ur-net.go.jp/news/hndcds0000005rlr-att/chirashi001.pdf,永山団地名店街の店舗経営主調査,https://artefacts-discovery.researcher.life/full_text/DA-2/5e/5e8c421bed8b3537935a03f3190b72d8/full_text/326f2079f13673006f7a8dd70c33b402.pdf,,,,,保留,現地の最新店舗一覧を追加確認
町田山崎団地名店街,東京都,町田市,町田山崎団地,現存,2023年の個人商業施設訪問記で名店街入口・案内図・営業スーパーを確認。空き区画はあるが商業区画は残る。,2023,https://daieisaison.jp/blog-entry-857.html,,,,,,,保留,現存だが空き区画の現況を再確認
立川若葉町公団ショッピングセンター,東京都,立川市,立川若葉町団地,現存,2026年の番組紹介で公団ショッピングセンター内のコミュニティスペースと飲食店を確認。,2026,https://datazoo.jp/w/%E7%AB%8B%E5%B7%9D%E8%8B%A5%E8%91%89%E7%94%BA%E5%85%AC%E5%9B%A3%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/73290484,,,,,,,YES,番組情報の一次性は低いため公式確認が必要
南神大寺団地商店街,神奈川県,横浜市神奈川区,南神大寺団地,現存,公団設計記録を紹介する団地専門個人サイトが商店街の位置・設計意図を記録。商業区画の現存候補。,2024,https://codan.boy.jp/danchi/kanagawa/minamikandaiji/index.html,,,,,,,保留,現在営業店舗の追加確認が必要
竹山団地中央商店街,神奈川県,横浜市緑区,竹山団地,現存,神奈川県住宅供給公社の訪問記事が2015年時点で商店街・花火大会・生活店舗を具体的に記録。,2015,https://www.kanagawa-jk.or.jp/files/tayori/33_1.pdf,,,,,,,保留,10年以上前の資料のため現況確認が必要
上飯田ショッピングセンター,神奈川県,横浜市泉区,上飯田団地,現存,2018年の地域記事で13店舗が営業する団地前ショッピングセンターを確認。商店街として継続。,2018,https://www.townnews.co.jp/0107/2018/01/25/416467.html,,,,,,,保留,最新の店舗構成を確認
左近山ショッピングセンター,神奈川県,横浜市旭区,左近山団地,現存,公式サイトが20〜21店舗の生活商業施設として営業を案内し、団地商店連合会等の運営主体も明記。,2026,https://www.sakonyama-danchi.com/,,,,,,,YES,公式店舗一覧を別途確認
いちょう団地いちょうマート・いちょうショッピングセンター,神奈川県,横浜市泉区・大和市,いちょう団地,現存,2023〜2025年の調査・地域記事で1階商店群、いちょうマート、韓国料理・アジア食品店を確認。,2025,https://www.klnet.pref.kanagawa.jp/yokohama/uploads/2024/04/R6_teamA4-lib-kanagawa.pdf,いちょう団地ショッピングセンター店舗記事,https://www.yamatopi.jp/open-close/menyautida-20221225.html,いちょう団地の商業施設紹介,https://friday.kodansha.co.jp/article/56626,,,YES,自治体境界をまたぐため商業区画を分けて確認
平尾団地商店街,東京都,稲城市,平尾住宅,現存,稲城市公式が平尾団地商店会を現行商店街として掲載。スーパー閉店後も新スーパー・飲食店等を確認。,2026,https://www.city.inagi.tokyo.jp/sangyo/shogyo/1005423.html,平尾団地商店街のスーパー訪問記,https://inagi-city.com/?p=9815,平尾住宅スーパー案内（JKK）,https://www.to-kousya.or.jp/chintai/news/250417.html,平尾店閉店記録,https://tama-inagi.goguynet.jp/2022/09/27/superyamazakihirao_heiten/,YES,大規模店閉店はあったが商業区画は現存
日の出町団地名店街,東京都,足立区,日の出町団地,現存,2016年の個人訪問記で7号棟1階の名店街と10区画以上の店舗区画を確認。シャッターだけでは消えゆく判定しない。,2016,,日の出町団地名店街訪問記,https://honobonobtown.blog.fc2.com/blog-entry-641.html,,,,,保留,最新営業状況が不足
高浜ショッピングセンター,千葉県,千葉市美浜区,高浜団地,現存,2023年の個人サイトが団地街のショッピングセンターとして建物・店舗・改修を記録。商業区画は存続。,2023,,稲毛海浜地区・高浜ショッピングセンター訪問記,https://anagurachannel.com/category/chibaken/chibashi/,,,,,保留,記事はカテゴリページのため個別URL要確認
稲浜ショップ,千葉県,千葉市美浜区,稲毛海浜団地,現存,2023年の個人サイトが高浜SCと並ぶ団地商業施設として存在・店舗状況を記録。,2023,,稲毛海浜地区・稲浜ショップ訪問記,https://anagurachannel.com/category/chibaken/chibashi/,,,,,保留,個別記事URLを追加探索
袖ヶ浦団地ショッピングセンター,千葉県,習志野市,袖ヶ浦団地,現存,2023年の個人訪問記が団地ショッピングセンターの店舗・建物を記録。現存商業区画候補。,2023,,袖ヶ浦団地ショッピングセンター訪問記,https://anagurachannel.com/2023/03/18/sodegaurasyoppingusentaa/,,,,,YES,現在店舗の公式情報を補足
千草台団地商店街,千葉県,千葉市稲毛区,千草台団地,現存,2024年の個人訪問記が三和ショッピングセンターを含む団地商店街の建物・看板を記録。,2024,,昭和団地商店街探訪・千草台団地商店街,https://anagurachannel.com/2024/03/26/chigusadaidanchisyoutengai/,,,,,保留,営業店舗数の現況確認が必要
みさと団地商店街,埼玉県,三郷市,みさと団地,現存,2026年の個人訪問記で公団大規模団地の商店街の雰囲気と商業区画を確認。,2026,,埼玉南部・みさと団地訪問記,https://note.com/onder165/n/n0da5b3a9618f,,,,,保留,現行店舗一覧を追加確認
村山団地中央商店街,東京都,武蔵村山市,村山団地,現存,中小企業庁の事例資料に村山団地中央商店街・商店会を掲載。商店街活性化事例として確認。,2017,https://www.chusho.meti.go.jp/keiei/sapoin/monozukuri300sha/2017/chiiki/kantou_shoutengai_menu2017.html,,,,,,,保留,事例資料が古いため現況確認
吉川団地名店街,埼玉県,吉川市,吉川団地,現存,2021年の個人訪問記で団地内マーケット・名店街の建物と店舗配置を確認。,2021,,吉川団地名店街訪問記,https://anagurachannel.com/2021/09/19/yoshikawameitengai/,,,,,保留,現在営業の確認が必要
菱野団地商店街,愛知県,瀬戸市,菱野団地,消えゆく,2024年の個人郵便局訪問記で商店街と別の萩山台商店街を確認し、萩山台側はほぼ営業店なしと具体記録。,2024,,瀬戸菱野の団地商店街訪問記,https://marukadopost.livedoor.blog/archives/26305683.html,菱野団地商店街訪問記,https://ortia1.hatenablog.com/entry/2023/09/09/234044,,,保留,菱野側は営業店の現況を追加確認
萩山台商店街,愛知県,瀬戸市,菱野団地萩山台,消えゆく,2024年の個人記録が「ほぼ営業している店はなし」と明記。単なる印象でなく店舗閉鎖状況の具体的観察がある。,2024,,瀬戸菱野・萩山台商店街訪問記,https://marukadopost.livedoor.blog/archives/26305683.html,,,,,YES,資料23の消えゆく候補として有力
保見団地商店街,愛知県,豊田市,保見団地,現存,2021年の地域訪問記で団地内商店街と寿司店・ブラジル系店舗の営業を確認。,2021,,保見団地のブラジリアンスーパーマーケット探検,https://aichi-osanpo.hatenablog.com/entry/2021/04/26/203506,保見団地内商店街訪問記,https://blog.livedoor.jp/gaitsui2/archives/1894136.html,,,保留,最新営業状況が必要
四箇田団地商店街,福岡県,福岡市早良区,四箇田団地,現存,UR資料が四箇田団地マルシェを記載し、団地商店街のイベント・店舗活動を確認。,2023,https://www.ur-net.go.jp/aboutus/jkoukai/jni4dd0000005fz4-att/ur2023_gyomuhokoku_3-2sanko_sumai.pdf,四箇田団地商店街トレーニングジムブログ,https://search.ameba.jp/general/%E5%9B%A3%E5%9C%B0.html,,,,,保留,個人ブログは検索結果ページのため記事URL要確認
二俣団地ショッピングセンター,神奈川県,横浜市保土ケ谷区,二俣団地,消えた,団地ブログが2階建てショッピングセンターの店舗構成と閉店・跡地化を明記。建物・商業区画が過去のものとなった具体根拠。,2026,,二俣団地ショッピングセンターの思い出と跡地,https://ameblo.jp/futamatadanchi/entrylist.html,二俣団地ブログ・ショッピングセンター記事,https://ameblo.jp/futamatadanchi/,,,YES,個人記録として資料価値が高い
東綾瀬団地商業区画,東京都,足立区,東綾瀬団地,現存,名称・店舗区画の存在は候補指定から再調査対象としたが、今回の検索では現在状態を確定できる資料を得られなかった。,2026,,,,,,,,保留,
大谷田団地商業区画,東京都,足立区,大谷田団地,現存,候補指定の再確認対象。団地店舗区画の現存・営業状況を示す十分な一次資料を今回確認できなかった。,2026,,,,,,,,保留,
豊島五丁目団地東豊名店街,東京都,北区,豊島五丁目団地,消えゆく,既存資料23登録済み。現役店と閉鎖区画が混在するため、第二次調査では重複候補として再確認。,2026,,既存資料23の北区商店街商品券取扱店一覧,https://kitashoren.jp/shouhinnken/R6/20241001kamitoriatsukaiten.pdf,,,,,保留,既存登録との重複（東豊名店街）
花畑団地商業区画,東京都,足立区,花畑団地,現存,候補指定の再確認対象。団地名での検索は行ったが、商業区画の現存・消滅を確定する資料が不足。,2026,,,,,,,,保留,
大島六丁目団地ショッピングセンター,東京都,江東区,大島六丁目団地,現存,個人訪問記が団地1階のショッピングセンターと組織名を記録。店舗減少はあるが建替え・廃止根拠はなく現存側候補。,2013,,大島六丁目団地ショッピングセンター訪問記,https://honobonobtown.blog.fc2.com/blog-entry-170.html,,,,,保留,既存の大島四丁目とは別施設
花見川団地商店街,千葉県,千葉市花見川区,花見川団地,現存,既存資料25登録済み。個人サイト内の商店街カテゴリに2026年まで継続記事があり、再生・営業活動を確認。,2026,https://house.muji.com/ur-hanamigawa/category/street/,花見川団地商店街の個人訪問記,https://kshun100.blog.fc2.com/blog-entry-671.html,,,,,保留,既存登録との重複・現況再確認
相武台団地商店街,神奈川県,相模原市南区,相武台団地,現存,既存資料25登録済み。公社記事が2025〜2026年の店舗探索とGLP再生を掲載。,2026,https://www.kousha-chintai.com/blog/landscape/soubudai-shopping-street-2025.php,,,,,,,保留,既存登録との重複・再生中
大島四丁目団地ショッピングモール,東京都,江東区,大島四丁目団地,現存,既存資料25登録済み。UR公式レポートで生活商業区画を確認し、今回別施設の大島六丁目も発見。,2026,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1780_report.html,大島六丁目団地SC個人訪問記（比較資料）,https://honobonobtown.blog.fc2.com/blog-entry-170.html,,,,,保留,既存登録との重複
赤羽台団地旧商店街,東京都,北区,赤羽台団地,消えた,既存資料23登録済み。旧店舗区画・住棟が再開発と建替えで解体された記録があり、今回も消えた状態を再確認。,2026,,赤羽団地商店街の記録（2010年）,https://tokyo-syoutengai.seesaa.net/article/185617235.html,,,,,保留,既存登録との重複
住吉団地商店街,大阪府,大阪市住之江区,住吉団地,現存,URの現行テナント情報が15店舗と営業業種を掲載し、団地敷地内に商店街があると明記。団地内店舗の営業を確認。,2026,https://www.ur-net.go.jp/urtenant/west/80_136.html,団地に愛された洋菓子店・住吉団地,https://www.ur-net.go.jp/aboutus/publication/web-urpress52/special1_2.html,,,,,YES,現行店舗数と業種が確認できる
若山台中央団地商店街,大阪府,三島郡島本町,若山台中央団地,現存,UR記事が団地2号棟1階の寿司店を現在の店舗として紹介し、団地内に商店街・飲食店があることを確認。,2022,https://www.ur-net.go.jp/chintai/college/202203/000865.html,UR団地の名店特集（藤寿司）,https://www.ur-net.go.jp/aboutus/publication/web-urpress52/special1_2.html,,,,,保留,商店街全体の店舗構成を追加確認
