都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
千葉県,佐倉市,ユーカリプラザ（YOU!PLA）,モールコア,,,,,,,"ニュータウン型商業施設。
狙い目：ニュータウンの生活動線と館内の商業動線がどこで接続するかを見る。",https://www.you-pla.com/,https://www.google.com/maps/search/?api=1&query=%E3%83%A6%E3%83%BC%E3%82%AB%E3%83%AA%E3%83%97%E3%83%A9%E3%82%B6%EF%BC%88YOU%21PLA%EF%BC%89%20%E5%8D%83%E8%91%89%E7%9C%8C%E4%BD%90%E5%80%89%E5%B8%82%E3%83%A6%E3%83%BC%E3%82%AB%E3%83%AA%E3%81%8C%E4%B8%984-1-4,モールコア,,,公式サイト：https://www.you-pla.com/
茨城県,稲敷市,ショッピングセンター パルナ,モールコア,,,,,,,"地方大型SC。郊外モール系の空間を観察。
狙い目：郊外の広い敷地と館内の買い物動線の関係を観察したい。",http://www.palna.co.jp/,https://www.google.com/maps/search/?api=1&query=%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E3%83%91%E3%83%AB%E3%83%8A%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E7%A8%B2%E6%95%B7%E5%B8%82%E8%A5%BF%E4%BB%A31495,モールコア,,,公式サイト：http://www.palna.co.jp/
滋賀県,守山市,ピエリ守山,モールコア,,,,,,,"大型郊外モール。改装済みだが巨大空間系。
狙い目：改装後の現状を起点に、大きな商業空間の奥行きと歩く距離を見たい。",http://pieri.sc/,https://www.google.com/maps/search/?api=1&query=%E3%83%94%E3%82%A8%E3%83%AA%E5%AE%88%E5%B1%B1%20%E6%BB%8B%E8%B3%80%E7%9C%8C%E5%AE%88%E5%B1%B1%E5%B8%82%E4%BB%8A%E6%B5%9C%E7%94%BA2620-5,モールコア,,,公式サイト：http://pieri.sc/
青森県,五所川原市,ELM,モールコア,,,,,,,"地方大型モール。
狙い目：地方大型モールとして、館内を移動する距離と各区画の配置を観察する。",https://elm-no-machi.jp/,https://www.google.com/maps/search/?api=1&query=ELM%20%E9%9D%92%E6%A3%AE%E7%9C%8C%E4%BA%94%E6%89%80%E5%B7%9D%E5%8E%9F%E5%B8%82%E5%94%90%E7%AC%A0%E6%9F%B3%E8%97%A4%E5%B7%BB517-1,モールコア,,,公式サイト：https://elm-no-machi.jp/
栃木県,宇都宮市,ベルモール,モールコア,,,,,,,"地方大型モール。館内外の巨大商業空間系。
狙い目：建物の外から感じる大きさと、館内を歩いて感じる距離を比べたい。",https://www.bellmall.co.jp/,https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%83%AB%E3%83%A2%E3%83%BC%E3%83%AB%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%E9%99%BD%E6%9D%B16-2-1,モールコア,,,公式サイト：https://www.bellmall.co.jp/
神奈川県,横須賀市,コースカ ベイサイドストアーズ,モールコア,,,,,,,"港湾部の大型商業施設。旧ショッパーズプラザ系。
狙い目：港側の景観と館内の商業空間を対比する。旧施設の沿革と現在の使われ方を区別して観察する。",https://coaska.jp/,https://www.google.com/maps/search/?api=1&query=%E3%82%B3%E3%83%BC%E3%82%B9%E3%82%AB%20%E3%83%99%E3%82%A4%E3%82%B5%E3%82%A4%E3%83%89%E3%82%B9%E3%83%88%E3%82%A2%E3%83%BC%E3%82%BA%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E9%A0%88%E8%B3%80%E5%B8%82%E6%9C%AC%E7%94%BA2-1-12,モールコア,,,公式サイト：https://coaska.jp/
兵庫県,加古川市,ニッケパークタウン,モールコア,,,,,,,"1980年代開業の地域型SC 開業年：1984年。
狙い目：地域の買い物施設として、周囲からの入口と館内動線のつながりを見る。",http://nikke-parktown.com/,https://www.google.com/maps/search/?api=1&query=%E3%83%8B%E3%83%83%E3%82%B1%E3%83%91%E3%83%BC%E3%82%AF%E3%82%BF%E3%82%A6%E3%83%B3%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E5%8A%A0%E5%8F%A4%E5%B7%9D%E5%B8%82%E5%8A%A0%E5%8F%A4%E5%B7%9D%E7%94%BA%E5%AF%BA%E5%AE%B6%E7%94%BA173-1,モールコア,,,公式サイト：http://nikke-parktown.com/
岡山県,新見市,にいみショッピングタウン プラザ,モールコア,にいみショッピングタウンプラザ（現地情報）,https://map.yahoo.co.jp/v3/place/C6Lx6b2xzzY,,,,,1980〜90年代型の地方ショッピングセンターとして営業を継続。2階建ての館内に食品・衣料・書店・100円ショップ・飲食などが入り、中央部の吹き抜けと交差するエスカレーター、旧来のシャンデリアや案内サインが残る。狙い目：中央吹き抜け、上階回廊、エスカレーター、昭和期の照明・サイン、現役テナントの配置。,https://page.line.me/379vovbe,https://www.google.com/maps/search/?api=1&query=%E3%81%AB%E3%81%84%E3%81%BF%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%BF%E3%82%A6%E3%83%B3%20%E3%83%97%E3%83%A9%E3%82%B6%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E6%96%B0%E8%A6%8B%E5%B8%82%E9%AB%98%E5%B0%BE2477-1,モールコア,,,公式LINE：https://page.line.me/379vovbe
新潟県,妙高市,新井ショッピングセンターCOA,モールコア,新井ショッピングセンター後編 立派な吹き抜け！,https://ameblo.jp/rairei0312/entry-12900499550.html,妙高市・新井ショッピングセンター（ゼロカーボンチャレンジ事業所）,https://www.city.myoko.niigata.jp/docs/53609.html,新井ショッピングセンター内の昔からの店舗訪問記,https://myoko-joetsu-diary.hatenablog.com/entry/myoko-arai-shopping-Center-custard-taiyaki,1989年開業の旧ニチイ／上越サティ系施設を地域型SCとして継承。現在も食品スーパー、衣料、100円ショップ、飲食など約30テナントが営業し、旧レストランモールの天窓付き空間、巨大吹き抜け、エスカレーター周辺の「街」表示、旧来のエレベーター案内が残る。狙い目：三角形の天窓、吹き抜けと回廊、旧ニチイのサイン、閉鎖区画と現役店舗の対比。,https://myoko-arai.com/news-detail/news6,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E4%BA%95%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BCCOA%20%E6%96%B0%E6%BD%9F%E7%9C%8C%E5%A6%99%E9%AB%98%E5%B8%82%E6%A0%97%E5%8E%9F4-7-11,モールコア,,,公式情報：https://myoko-arai.com/news-detail/news6
東京都,杉並区,荻窪タウンセブン,モールコア,タウンセブンの歴史（1981年完成・1階セントラルコート）,https://www.town7.net/history/,荻窪タウンセブン（荻窪の街と人を応援する会）,https://ogikubokyougikai.sakura.ne.jp/wp-content/uploads/2024/07/370_%E5%8D%98%E9%A0%81%E7%94%A8-1.pdf,タウンセブン会社概要・現行施設案内,https://www.town7.net/corporate/,1981年完成の駅前ショッピングセンター。旧商店街を再編した建物で、現在も複数階の店舗群、駅・地下連絡動線、屋上広場、1階セントラルコートを備える。開業当時から続く「街」を階ごとに見立てた構成と中央の待合・イベント空間を観察できる。狙い目：1階セントラルコート、駅側入口、地下から上階への動線、屋上へ続くグリーンカーペット階段、案内サイン。,https://www.town7.net/,https://www.google.com/maps/search/?api=1&query=%E8%8D%BB%E7%AA%AA%E3%82%BF%E3%82%A6%E3%83%B3%E3%82%BB%E3%83%96%E3%83%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E4%B8%8A%E8%8D%BB1-9-1,モールコア,,,公式サイト：https://www.town7.net/
