都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
東京都,江東区,東京港フェリーターミナル,フェリー・港湾,,,,,,,待合、長い乗船動線、夜の港。,http://www.tptc.co.jp/terminal/guide/ferry,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E6%B8%AF%E3%83%95%E3%82%A7%E3%83%AA%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%8A%E3%83%AB%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B1%9F%E6%9D%B1%E5%8C%BA,バックルーム,,,公式サイト：http://www.tptc.co.jp/terminal/guide/ferry
東京都,江東区,有明客船ターミナル,フェリー・港湾,,,,,,,湾岸の公共ターミナル空間。,https://www.tptc.co.jp/terminal/guide/ariake,https://www.google.com/maps/search/?api=1&query=%E6%9C%89%E6%98%8E%E5%AE%A2%E8%88%B9%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%8A%E3%83%AB%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B1%9F%E6%9D%B1%E5%8C%BA,リミナル,,,公式サイト：https://www.tptc.co.jp/terminal/guide/ariake
神奈川県,横浜市中区,横浜港大さん橋国際客船ターミナル,フェリー・港湾,,,,,,,人の少ない時間帯向き。,http://osanbashi.jp/,https://www.google.com/maps/search/?api=1&query=%E6%A8%AA%E6%B5%9C%E6%B8%AF%E5%A4%A7%E3%81%95%E3%82%93%E6%A9%8B%E5%9B%BD%E9%9A%9B%E5%AE%A2%E8%88%B9%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%8A%E3%83%AB%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA,リミナル,,,公式サイト：http://osanbashi.jp/
神奈川県,横須賀市,久里浜港フェリーターミナル,フェリー・港湾,,,,,,,フェリー待合と港湾動線。,https://www.tokyowanferry.com/,https://www.google.com/maps/search/?api=1&query=%E4%B9%85%E9%87%8C%E6%B5%9C%E6%B8%AF%E3%83%95%E3%82%A7%E3%83%AA%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%8A%E3%83%AB%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E6%A8%AA%E9%A0%88%E8%B3%80%E5%B8%82,バックルーム,,,公式サイト：https://www.tokyowanferry.com/
新潟県,新潟市東区,新潟港 山の下埠頭 新日本海フェリーターミナル,フェリー・港湾,,,,,,,長距離フェリーの待合・夜間空間。,http://www.snf.jp/embark/niigata.html,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E6%B8%AF%20%E5%B1%B1%E3%81%AE%E4%B8%8B%E5%9F%A0%E9%A0%AD%20%E6%96%B0%E6%97%A5%E6%9C%AC%E6%B5%B7%E3%83%95%E3%82%A7%E3%83%AA%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%8A%E3%83%AB%20%E6%96%B0%E6%BD%9F%E7%9C%8C%20%E6%96%B0%E6%BD%9F%E5%B8%82%E6%9D%B1%E5%8C%BA,バックルーム,,,公式サイト：http://www.snf.jp/embark/niigata.html
福井県,敦賀市,新日本海フェリー 敦賀フェリーターミナル,フェリー・港湾,,,,,,,深夜便との相性が高い。,http://www.snf.jp/,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%97%A5%E6%9C%AC%E6%B5%B7%E3%83%95%E3%82%A7%E3%83%AA%E3%83%BC%20%E6%95%A6%E8%B3%80%E3%83%95%E3%82%A7%E3%83%AA%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%8A%E3%83%AB%20%E7%A6%8F%E4%BA%95%E7%9C%8C%20%E6%95%A6%E8%B3%80%E5%B8%82,バックルーム,,,公式サイト：http://www.snf.jp/
京都府,舞鶴市,新日本海フェリー 舞鶴フェリーターミナル,フェリー・港湾,,,,,,,夜の長距離フェリーターミナル。,http://www.snf.jp/,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%97%A5%E6%9C%AC%E6%B5%B7%E3%83%95%E3%82%A7%E3%83%AA%E3%83%BC%20%E8%88%9E%E9%B6%B4%E3%83%95%E3%82%A7%E3%83%AA%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%8A%E3%83%AB%20%E4%BA%AC%E9%83%BD%E5%BA%9C%20%E8%88%9E%E9%B6%B4%E5%B8%82,バックルーム,,,公式サイト：http://www.snf.jp/
大阪府,大阪市住之江区,大阪南港フェリーターミナル,フェリー・港湾,,,,,,,巨大港湾施設と連絡通路。,http://www.orange-ferry.co.jp/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%8D%97%E6%B8%AF%E3%83%95%E3%82%A7%E3%83%AA%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%8A%E3%83%AB%20%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E5%A4%A7%E9%98%AA%E5%B8%82%E4%BD%8F%E4%B9%8B%E6%B1%9F%E5%8C%BA,バックルーム,,,公式サイト：http://www.orange-ferry.co.jp/
兵庫県,神戸市中央区,神戸三宮フェリーターミナル,フェリー・港湾,,,,,,,都市港の乗船待合。,http://www.kobe-fc.co.jp/,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E6%88%B8%E4%B8%89%E5%AE%AE%E3%83%95%E3%82%A7%E3%83%AA%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%8A%E3%83%AB%20%E5%85%B5%E5%BA%AB%E7%9C%8C%20%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA,リミナル,,,公式サイト：http://www.kobe-fc.co.jp/
兵庫県,神戸市東灘区,神戸六甲アイランドフェリーターミナル,フェリー・港湾,,,,,,,人工島＋長距離フェリー。,http://www.ferry-sunflower.co.jp/,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E6%88%B8%E5%85%AD%E7%94%B2%E3%82%A2%E3%82%A4%E3%83%A9%E3%83%B3%E3%83%89%E3%83%95%E3%82%A7%E3%83%AA%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%8A%E3%83%AB%20%E5%85%B5%E5%BA%AB%E7%9C%8C%20%E7%A5%9E%E6%88%B8%E5%B8%82%E6%9D%B1%E7%81%98%E5%8C%BA,バックルーム,,,公式サイト：http://www.ferry-sunflower.co.jp/
兵庫県,姫路市,姫路港旅客船ターミナル,フェリー・港湾,,,,,,,地方港湾待合。,http://www.kousoku-ieshima.jp/,https://www.google.com/maps/search/?api=1&query=%E5%A7%AB%E8%B7%AF%E6%B8%AF%E6%97%85%E5%AE%A2%E8%88%B9%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%8A%E3%83%AB%20%E5%85%B5%E5%BA%AB%E7%9C%8C%20%E5%A7%AB%E8%B7%AF%E5%B8%82,バックルーム,,,公式サイト：http://www.kousoku-ieshima.jp/
香川県,高松市,高松港フェリー乗り場,フェリー・港湾,,,,,,,島航路が集中する港。,https://www.shikokuferry.com/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E6%9D%BE%E6%B8%AF%E3%83%95%E3%82%A7%E3%83%AA%E3%83%BC%E4%B9%97%E3%82%8A%E5%A0%B4%20%E9%A6%99%E5%B7%9D%E7%9C%8C%20%E9%AB%98%E6%9D%BE%E5%B8%82,リミナル,,,公式サイト：https://www.shikokuferry.com/
