都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
東京都,江東区,夢の島熱帯植物館,植物園・温室,イベントのついでに、夢の島熱帯植物館に行ってきた,https://note.com/trip_frog/n/naa719337c39f,夢の島熱帯植物館に行ってきました。,https://ryochiku-plants.shop/blog/?p=1601,,,"巨大ドーム温室。人工熱帯空間。
狙い目：ドームの大きさと植物の背丈を見比べ、人工の屋根に包まれた熱帯空間として眺めたい。",https://www.yumenoshima.jp/botanicalhall,https://www.google.com/maps/search/?api=1&query=%E5%A4%A2%E3%81%AE%E5%B3%B6%E7%86%B1%E5%B8%AF%E6%A4%8D%E7%89%A9%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B1%9F%E6%9D%B1%E5%8C%BA,ドリームコア,,,公式サイト：https://www.yumenoshima.jp/botanicalhall
東京都,板橋区,板橋区立熱帯環境植物館,植物園・温室,板橋区立熱帯環境植物館に行ってきた。見どころや所要時間など | いつおで,https://itsuode.com/nettai-kankyo-shokubutsuen/,,,,,"地下水族展示＋温室。人工環境感が強い。
狙い目：地下の水族展示から温室へ移る際の明るさや視界の変化に注目。水中と陸上の環境を一つの公共施設で切り替える構成が対象。",http://www.seibu-la.co.jp/nettaikan/,https://www.google.com/maps/search/?api=1&query=%E6%9D%BF%E6%A9%8B%E5%8C%BA%E7%AB%8B%E7%86%B1%E5%B8%AF%E7%92%B0%E5%A2%83%E6%A4%8D%E7%89%A9%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%9D%BF%E6%A9%8B%E5%8C%BA,ドリームコア,,,公式サイト：http://www.seibu-la.co.jp/nettaikan/
東京都,調布市,神代植物公園 大温室,植物園・温室,神代植物公園⑥終｜大温室（熱帯スイレン）,https://ameblo.jp/pokotaityo/entry-12956638940.html,神代植物公園大温室（楽しい名園・公園散歩）,https://ameblo.jp/kirara753/entry-12259571785.html,,,"大型温室の連続空間。
狙い目：温室を移動する順序と、区画ごとの植物の密度・見通しの違いを追いたい。",https://www.tokyo-park.or.jp/jindai/,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E4%BB%A3%E6%A4%8D%E7%89%A9%E5%85%AC%E5%9C%92%20%E5%A4%A7%E6%B8%A9%E5%AE%A4%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E8%AA%BF%E5%B8%83%E5%B8%82,ドリームコア,,,公式サイト：https://www.tokyo-park.or.jp/jindai/
東京都,新宿区,新宿御苑 大温室,植物園・温室,新宿御苑を散策する②大温室,https://gochan-blg.hatenablog.com/entry/2025/08/08/000000,かず坊散歩『新宿御苑』① 旧洋館御休所・温室・薔薇園,https://ameblo.jp/wakho1946/entry-12744130791.html,,,"現代的だが無人時間の人工熱帯感。
狙い目：曲面ガラスの輪郭と植物の重なり、屋外の公園から温室内へ入る境目が観察点。",https://fng.or.jp/shinjuku/category/温室/,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E5%AE%BF%E5%BE%A1%E8%8B%91%20%E5%A4%A7%E6%B8%A9%E5%AE%A4%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%96%B0%E5%AE%BF%E5%8C%BA,ドリームコア,,,公式サイト：https://fng.or.jp/shinjuku/category/温室/
千葉県,千葉市中央区,千葉市都市緑化植物園,植物園・温室,犬と一緒に千葉市都市緑化植物園へ！バラ園など♪ | LIMEGREEN,https://lime-blog.com/chibashitoshiryokkasyokubutsuen-withdog/,,,,,"公共植物園の温室・園路。
狙い目：温室だけでなく園路からの見え方も対象。緑化のための実用施設と散策空間のつながりを見たい。",http://www.cue-net.or.jp/kouen/chiba-toshiryokka/index.html,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E5%B8%82%E9%83%BD%E5%B8%82%E7%B7%91%E5%8C%96%E6%A4%8D%E7%89%A9%E5%9C%92%20%E5%8D%83%E8%91%89%E7%9C%8C%20%E5%8D%83%E8%91%89%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA,ドリームコア,,,公式サイト：http://www.cue-net.or.jp/kouen/chiba-toshiryokka/index.html
茨城県,つくば市,筑波実験植物園 温室,植物園・温室,ゆるり散策　Ⅱ-6 ② 筑波実験植物園(温室/アジサイ) ６月 2026.6.16,https://greensnap.jp/greenBlog/31155287,サバンナ温室がめっちゃ楽し〜い‼️筑波実験植物園の巻,https://ameblo.jp/neponepochan/entry-12962106566.html,,,"研究施設的な巨大温室。
狙い目：植物の展示と研究施設の関係に注目。観覧区画の配置をたどり、植物の生育環境をどう分けて見せるかを見る。",https://tbg.kahaku.go.jp/,https://www.google.com/maps/search/?api=1&query=%E7%AD%91%E6%B3%A2%E5%AE%9F%E9%A8%93%E6%A4%8D%E7%89%A9%E5%9C%92%20%E6%B8%A9%E5%AE%A4%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%20%E3%81%A4%E3%81%8F%E3%81%B0%E5%B8%82,ドリームコア,,,公式サイト：https://tbg.kahaku.go.jp/
栃木県,岩舟町,とちぎ花センター 大温室,植物園・温室,とちぎ花センター（岩舟町）,https://ameblo.jp/pool/entry-10028396005.html,「とちぎ花センター」_2024_「食虫植物展」の後、真夏の大温室を巡りました（栃木市）,https://4travel.jp/travelogue/11922284,,,"地方型巨大温室。
狙い目：温室全体の大きさを感じられる位置と、植物に囲まれる位置の見え方を比べたい。",http://www.florence.jp/,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%81%A1%E3%81%8E%E8%8A%B1%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%A4%A7%E6%B8%A9%E5%AE%A4%20%E6%A0%83%E6%9C%A8%E7%9C%8C%20%E5%B2%A9%E8%88%9F%E7%94%BA,ドリームコア,,,公式サイト：http://www.florence.jp/
群馬県,前橋市,ぐんまフラワーパーク 温室エリア,植物園・温室,ぐんまフラワーパーク・冬の温室が熱帯だった思い出。 - ずっとこの空の下で２,https://yasshing.hateblo.jp/entry/2025/12/26/140341,,,,,"大型公園＋温室。
狙い目：公園の広がりと温室内の囲われた空間の対比が対象。再整備に伴う公開範囲は園の案内に従う。",http://www.flower-park.jp/,https://www.google.com/maps/search/?api=1&query=%E3%81%90%E3%82%93%E3%81%BE%E3%83%95%E3%83%A9%E3%83%AF%E3%83%BC%E3%83%91%E3%83%BC%E3%82%AF%20%E6%B8%A9%E5%AE%A4%E3%82%A8%E3%83%AA%E3%82%A2%20%E7%BE%A4%E9%A6%AC%E7%9C%8C%20%E5%89%8D%E6%A9%8B%E5%B8%82,ドリームコア,,,公式サイト：http://www.flower-park.jp/
富山県,富山市,富山県中央植物園 温室,植物園・温室,『富山県の旅　３泊４日　　４日目　富山市　』富山市(富山県)の旅行記・ブログ by asuwaさん〖フォートラベル〗,https://4travel.jp/travelogue/10876508,,,,,"大型温室群。
狙い目：温室ごとの外形と、その間を移動する順路に注目。複数棟を一つの施設として体験する構成を見る。",http://www.bgtym.org/,https://www.google.com/maps/search/?api=1&query=%E5%AF%8C%E5%B1%B1%E7%9C%8C%E4%B8%AD%E5%A4%AE%E6%A4%8D%E7%89%A9%E5%9C%92%20%E6%B8%A9%E5%AE%A4%20%E5%AF%8C%E5%B1%B1%E7%9C%8C%20%E5%AF%8C%E5%B1%B1%E5%B8%82,ドリームコア,,,公式サイト：http://www.bgtym.org/
愛知県,名古屋市千種区,東山動植物園 温室前館,植物園・温室,東山植物園温室前館・洋風庭園＠東山植物園（内観編） | だいふくの気まぐれ紀行,https://ameblo.jp/dodai5521/entry-12696179114.html,,,,,"歴史ある温室建築。
狙い目：温室建築の骨組みとガラスの割り付けを、植物越しに観察したい。",https://www.pref.aichi.jp/kyoiku/bunka/bunkazainavi/yukei/kenzoubutu/kunisitei/0075.html,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E5%B1%B1%E5%8B%95%E6%A4%8D%E7%89%A9%E5%9C%92%20%E6%B8%A9%E5%AE%A4%E5%89%8D%E9%A4%A8%20%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA,ドリームコア,,,公式サイト：https://www.pref.aichi.jp/kyoiku/bunka/bunkazainavi/yukei/kenzoubutu/kunisitei/0075.html
