参照,都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ
公式サイト：https://www.takasagoonsen.com/retro/,北海道,旭川市,高砂温泉 ゲームコーナー,温浴施設内,,,,,,,アウトラン、ハングオン、パワードリフト等を公式が案内。温浴施設のレトロ改装要素あり。利用条件：施設利用・ゲーム別料金。平日は17～21時の案内,https://www.takasagoonsen.com/retro/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%97%AD%E5%B7%9D%E5%B8%82%20%E9%AB%98%E7%A0%82%E6%B8%A9%E6%B3%89%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
公式サイト：https://www.tsuruga.com/facilities/,北海道,釧路市,あかん遊久の里 鶴雅 ゲームコーナーうでくらべ,温泉ホテルのゲームコーナー,,,,,,,本館2階のゲームコーナー。温泉ホテルに残る旧世代ゲームの採集候補。利用条件：宿泊・施設利用条件を確認。ゲーム別料金。15:30～18:30,https://www.tsuruga.com/facilities/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E9%87%A7%E8%B7%AF%E5%B8%82%20%E3%81%82%E3%81%8B%E3%82%93%E9%81%8A%E4%B9%85%E3%81%AE%E9%87%8C%20%E9%B6%B4%E9%9B%85%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC%E3%81%86%E3%81%A7%E3%81%8F%E3%82%89%E3%81%B9
公式サイト：https://newakanhotel.co.jp/facilities/,北海道,釧路市,ニュー阿寒ホテル ゲームコーナー,温泉ホテルのゲームコーナー,,,,,,,阿寒湖畔ホテル地下1階のゲーム空間。2026年の旧世代ゲーム訪問記録あり。利用条件：宿泊・施設利用条件を確認。ゲーム別料金。5:00～23:00,https://newakanhotel.co.jp/facilities/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E9%87%A7%E8%B7%AF%E5%B8%82%20%E3%83%8B%E3%83%A5%E3%83%BC%E9%98%BF%E5%AF%92%E3%83%9B%E3%83%86%E3%83%AB%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
公式サイト：https://pacific-trade.games/,北海道,札幌市北区,ジー・バオア・グー,街のゲームセンター,,,,,,,古い業務用ゲーム機を扱う会社の直営店。ピンボールや年代物の筐体がある。利用条件：ゲームごとに課金,https://pacific-trade.games/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%8C%97%E5%8C%BA%20%E3%82%B8%E3%83%BC%E3%83%BB%E3%83%90%E3%82%AA%E3%82%A2%E3%83%BB%E3%82%B0%E3%83%BC
公式サイト：https://takimotokan.co.jp/ja/facility/,北海道,登別市,第一滝本館 ゲームプラザ,温泉ホテル内,,,,,,,登別温泉の大型ホテル内。空間重視の候補で旧作機種は未確認。利用条件：宿泊等の施設利用条件を確認。ゲーム別料金。11:30～14:00,https://takimotokan.co.jp/ja/facility/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E7%99%BB%E5%88%A5%E5%B8%82%20%E7%AC%AC%E4%B8%80%E6%BB%9D%E6%9C%AC%E9%A4%A8%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%83%97%E3%83%A9%E3%82%B6
"公式サイト：https://kodomonokuni.sakuraweb.com/
公式資料：https://www.city.hakodate.hokkaido.jp/hakosuku-map/info/2025022700132/",北海道,函館市,函館公園こどものくに ゲームコーナー,遊園地のゲームコーナー,,,,,,,古い遊園地に残るゲームコーナー。観覧車や小型遊具と一緒に記録したい。利用条件：入園無料。ゲームは別料金。季節・天候による休園あり,https://kodomonokuni.sakuraweb.com/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%87%BD%E9%A4%A8%E5%B8%82%20%E5%87%BD%E9%A4%A8%E5%85%AC%E5%9C%92%E3%81%93%E3%81%A9%E3%82%82%E3%81%AE%E3%81%8F%E3%81%AB%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
公式サイト：https://www.toyasunpalace.co.jp/facilities/,北海道,有珠郡壮瞥町,洞爺サンパレスリゾート＆スパ ゲームコーナー,温泉ホテル内,,,,,,,湖畔の大規模観光ホテル地下。旧作機種と内装の残存度は現地確認。利用条件：宿泊等の施設利用条件を確認。ゲーム別料金。13:30～16:00。 水曜日休館。,https://www.toyasunpalace.co.jp/facilities/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%9C%89%E7%8F%A0%E9%83%A1%E5%A3%AE%E7%9E%A5%E7%94%BA%20%E6%B4%9E%E7%88%BA%E3%82%B5%E3%83%B3%E3%83%91%E3%83%AC%E3%82%B9%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88%EF%BC%86%E3%82%B9%E3%83%91%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
公式サイト：https://x.com/technotectec,岩手県,奥州市,テクノワールド,ロードサイドゲームセンター,,,,,,,地方の小さな独立店で新旧ゲームが共存。古いビデオゲームを使い続ける運営方針。利用条件：ゲームごとに課金。営業時間・撮影条件は公式SNSを確認,https://x.com/technotectec,https://www.google.com/maps/search/?api=1&query=%E5%B2%A9%E6%89%8B%E7%9C%8C%20%E5%A5%A5%E5%B7%9E%E5%B8%82%20%E3%83%86%E3%82%AF%E3%83%8E%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89
"公式サイト：https://gamecorner-tobu.amebaownd.com/
公式資料：https://gamecorner-tobu.amebaownd.com/pages/2372502/menu",宮城県,仙台市若林区,ゲームコーナー東部,商業ビル型,,,,,,,複数階にわたるゲームフロア。古いビデオ・メダルゲームを継続設置。利用条件：ゲームごとに課金。9～24時,https://gamecorner-tobu.amebaownd.com/,https://www.google.com/maps/search/?api=1&query=%E5%AE%AE%E5%9F%8E%E7%9C%8C%20%E4%BB%99%E5%8F%B0%E5%B8%82%E8%8B%A5%E6%9E%97%E5%8C%BA%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC%E6%9D%B1%E9%83%A8
公式サイト：https://dreamfactor-df.com/company/,山形県,山形市,パルケ・デ・アミーゴ！,ロードサイドゲームセンター,,,,,,,郊外の大型独立店。旧世代音楽ゲームの記録あり。古い内装の残存は現地確認。利用条件：ゲームごとに課金。10:00～24:00,https://dreamfactor-df.com/company/,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E5%BD%A2%E7%9C%8C%20%E5%B1%B1%E5%BD%A2%E5%B8%82%20%E3%83%91%E3%83%AB%E3%82%B1%E3%83%BB%E3%83%87%E3%83%BB%E3%82%A2%E3%83%9F%E3%83%BC%E3%82%B4%EF%BC%81
,福島県,いわき市,嶺宝スポーツセンター,スポーツ施設併設,,,,,,,バッティングや卓球を併設する従来型の娯楽施設。レトロ機の現存機種は要確認。利用条件：ゲームごとに課金。メーカー案内11～23時・火曜休,,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B3%B6%E7%9C%8C%20%E3%81%84%E3%82%8F%E3%81%8D%E5%B8%82%20%E5%B6%BA%E5%AE%9D%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC
公式サイト：https://hotel-juraku.co.jp/iizaka/facility/,福島県,福島市,飯坂ホテルジュラク ゲームコーナー,温泉ホテルのゲームコーナー,,,,,,,温泉ホテル内の遊技空間。ゲームコーナーの現存は確認、内装・筐体の古さは要現地確認。利用条件：宿泊・施設利用条件の確認が必要。ゲーム別料金。8:00～11:00,https://hotel-juraku.co.jp/iizaka/facility/,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B3%B6%E7%9C%8C%20%E7%A6%8F%E5%B3%B6%E5%B8%82%20%E9%A3%AF%E5%9D%82%E3%83%9B%E3%83%86%E3%83%AB%E3%82%B8%E3%83%A5%E3%83%A9%E3%82%AF%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
公式サイト：https://www.kinugawaonsenhotel.com/facilities/view.php?id=12,栃木県,日光市,鬼怒川温泉ホテル 懐かしのゲームセンター,温泉ホテル内,,,,,,,年代物のNEW PENNY FALLSなどを公式が現役機として案内。利用条件：宿泊等の施設利用条件を確認。ゲーム別料金。15～23時,https://www.kinugawaonsenhotel.com/facilities/view.php?id=12,https://www.google.com/maps/search/?api=1&query=%E6%A0%83%E6%9C%A8%E7%9C%8C%20%E6%97%A5%E5%85%89%E5%B8%82%20%E9%AC%BC%E6%80%92%E5%B7%9D%E6%B8%A9%E6%B3%89%E3%83%9B%E3%83%86%E3%83%AB%20%E6%87%90%E3%81%8B%E3%81%97%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC
,群馬県,伊勢崎市,オレンジハット茂呂店,オートレストラン,,,,,,,食品自販機コーナーとゲーム機が残る郊外型店舗。利用条件：ゲームごとに課金。24時間営業の案内,,https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%20%E4%BC%8A%E5%8B%A2%E5%B4%8E%E5%B8%82%20%E3%82%AA%E3%83%AC%E3%83%B3%E3%82%B8%E3%83%8F%E3%83%83%E3%83%88%E8%8C%82%E5%91%82%E5%BA%97
