都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
群馬県,高崎市,群馬県立土屋文明記念文学館周辺公共施設群,公共施設,,,,,,,大規模公共建築群として観察向き。9:30〜17:00。 火曜日休館。,http://bungaku.pref.gunma.jp/,https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%E7%AB%8B%E5%9C%9F%E5%B1%8B%E6%96%87%E6%98%8E%E8%A8%98%E5%BF%B5%E6%96%87%E5%AD%A6%E9%A4%A8%E5%91%A8%E8%BE%BA%E5%85%AC%E5%85%B1%E6%96%BD%E8%A8%AD%E7%BE%A4%20%E7%BE%A4%E9%A6%AC%E7%9C%8C%20%E9%AB%98%E5%B4%8E%E5%B8%82,リミナル,,,公式サイト：http://bungaku.pref.gunma.jp/
東京都,渋谷区,国立代々木競技場 第二体育館 周辺通路,公共文化・体育,,,,,,,巨大体育施設の外周・連絡動線。,http://www.jpnsport.go.jp/yoyogi/sisetu/tabid/76/Default.aspx,https://www.google.com/maps/search/?api=1&query=%E5%9B%BD%E7%AB%8B%E4%BB%A3%E3%80%85%E6%9C%A8%E7%AB%B6%E6%8A%80%E5%A0%B4%20%E7%AC%AC%E4%BA%8C%E4%BD%93%E8%82%B2%E9%A4%A8%20%E5%91%A8%E8%BE%BA%E9%80%9A%E8%B7%AF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B8%8B%E8%B0%B7%E5%8C%BA,リミナル,,,公式サイト：http://www.jpnsport.go.jp/yoyogi/sisetu/tabid/76/Default.aspx
東京都,渋谷区,東京体育館,公共文化・体育,,,,,,,大規模公共体育館。9:00～23:00,http://www.tef.or.jp/tmg/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E4%BD%93%E8%82%B2%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B8%8B%E8%B0%B7%E5%8C%BA,リミナル,,,公式サイト：http://www.tef.or.jp/tmg/
東京都,世田谷区,駒沢オリンピック公園総合運動場 体育館,公共文化・体育,,,,,,,1960年代公共スポーツ建築。9:00～21:30,https://www.tef.or.jp/kopgp/index.jsp,https://www.google.com/maps/search/?api=1&query=%E9%A7%92%E6%B2%A2%E3%82%AA%E3%83%AA%E3%83%B3%E3%83%94%E3%83%83%E3%82%AF%E5%85%AC%E5%9C%92%E7%B7%8F%E5%90%88%E9%81%8B%E5%8B%95%E5%A0%B4%20%E4%BD%93%E8%82%B2%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA,リミナル,,,公式サイト：https://www.tef.or.jp/kopgp/index.jsp
千葉県,船橋市,船橋市運動公園 体育館周辺,公共文化・体育,,,,,,,地方公共スポーツ施設群。9:00～21:00,https://shisetsu.mizuno.jp/m-7628-02,https://www.google.com/maps/search/?api=1&query=%E8%88%B9%E6%A9%8B%E5%B8%82%E9%81%8B%E5%8B%95%E5%85%AC%E5%9C%92%20%E4%BD%93%E8%82%B2%E9%A4%A8%E5%91%A8%E8%BE%BA%20%E5%8D%83%E8%91%89%E7%9C%8C%20%E8%88%B9%E6%A9%8B%E5%B8%82,リミナル,,,公式サイト：https://shisetsu.mizuno.jp/m-7628-02
神奈川県,横浜市都筑区,横浜国際プール,公共文化・体育,,,,,,,巨大室内プールと観客席。9:30～21:30,https://yokohama-sport.jp/waterarena/,https://www.google.com/maps/search/?api=1&query=%E6%A8%AA%E6%B5%9C%E5%9B%BD%E9%9A%9B%E3%83%97%E3%83%BC%E3%83%AB%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E6%A8%AA%E6%B5%9C%E5%B8%82%E9%83%BD%E7%AD%91%E5%8C%BA,バックルーム,,,公式サイト：https://yokohama-sport.jp/waterarena/
東京都,江東区,東京辰巳アイスアリーナ,公共文化・体育,,,,,,,旧水泳場系巨大公共空間。11:30～16:00。 月曜日休館。,https://ia-tatsumi.tokyo/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E8%BE%B0%E5%B7%B3%E3%82%A2%E3%82%A4%E3%82%B9%E3%82%A2%E3%83%AA%E3%83%BC%E3%83%8A%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B1%9F%E6%9D%B1%E5%8C%BA,リミナル,,,公式サイト：https://ia-tatsumi.tokyo/
東京都,品川区,アクアパーク品川ではない品川区立総合体育館,公共文化・体育,,,,,,,公共体育施設のロビー・通路。9時00分～21時30分。 月曜日休館。,http://www.ssa-or.biz/shisetsu/sougou/index.html,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%82%AF%E3%82%A2%E3%83%91%E3%83%BC%E3%82%AF%E5%93%81%E5%B7%9D%E3%81%A7%E3%81%AF%E3%81%AA%E3%81%84%E5%93%81%E5%B7%9D%E5%8C%BA%E7%AB%8B%E7%B7%8F%E5%90%88%E4%BD%93%E8%82%B2%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%93%81%E5%B7%9D%E5%8C%BA,リミナル,,,公式サイト：http://www.ssa-or.biz/shisetsu/sougou/index.html
埼玉県,さいたま市中央区,さいたまスーパーアリーナ 展示ホール周辺,公共文化・体育,,,,,,,イベントのない時間の巨大空間。,https://www.saitama-arena.co.jp/,https://www.google.com/maps/search/?api=1&query=%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%82%A2%E3%83%AA%E3%83%BC%E3%83%8A%20%E5%B1%95%E7%A4%BA%E3%83%9B%E3%83%BC%E3%83%AB%E5%91%A8%E8%BE%BA%20%E5%9F%BC%E7%8E%89%E7%9C%8C%20%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA,リミナル,,,公式サイト：https://www.saitama-arena.co.jp/
愛知県,名古屋市南区,名古屋市総合体育館 レインボーホール周辺,公共文化・体育,,,,,,,,http://www.nespa.or.jp/hall,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E7%B7%8F%E5%90%88%E4%BD%93%E8%82%B2%E9%A4%A8%20%E3%83%AC%E3%82%A4%E3%83%B3%E3%83%9C%E3%83%BC%E3%83%9B%E3%83%BC%E3%83%AB%E5%91%A8%E8%BE%BA%20%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%97%E5%8C%BA,リミナル,,,公式サイト：http://www.nespa.or.jp/hall
大阪府,大阪市港区,大阪市中央体育館（Asueアリーナ大阪）,公共文化・体育,,,,,,,巨大地下型体育館。8:30～21:30,https://www.yahataya-park.jp/osaka_arena/index.html,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E4%BD%93%E8%82%B2%E9%A4%A8%EF%BC%88Asue%E3%82%A2%E3%83%AA%E3%83%BC%E3%83%8A%E5%A4%A7%E9%98%AA%EF%BC%89%20%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E5%A4%A7%E9%98%AA%E5%B8%82%E6%B8%AF%E5%8C%BA,リミナル,,,公式サイト：https://www.yahataya-park.jp/osaka_arena/index.html
神奈川県,川崎市,浮島処理センター,ごみ処理施設,,,,,,,予約見学。焼却・粗大ごみ処理施設の内部と中央制御室を見学。,,https://www.google.com/maps/search/?api=1&query=%E6%B5%AE%E5%B3%B6%E5%87%A6%E7%90%86%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E5%B7%9D%E5%B4%8E%E5%B8%82,見学可能な公的建築,,,
東京都,東京都,環状七号線地下調節池,地下調節池,,,,,,,見学会時。地下河川トンネル型の巨大治水施設。,http://kanzyou7.com/,https://www.google.com/maps/search/?api=1&query=%E7%92%B0%E7%8A%B6%E4%B8%83%E5%8F%B7%E7%B7%9A%E5%9C%B0%E4%B8%8B%E8%AA%BF%E7%AF%80%E6%B1%A0%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%9D%B1%E4%BA%AC%E9%83%BD,見学可能な公的建築,,,公式サイト：http://kanzyou7.com/
高知県,高知市,津波避難センター,津波防災施設,,,,,,,施設により見学。避難することだけを目的に造られた垂直避難建築。,https://www.city.kochi.kochi.jp/soshiki/61/misatosunajitawa.html,https://www.google.com/maps/search/?api=1&query=%E6%B4%A5%E6%B3%A2%E9%81%BF%E9%9B%A3%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E9%AB%98%E7%9F%A5%E7%9C%8C%20%E9%AB%98%E7%9F%A5%E5%B8%82,見学可能な公的建築,,,公式サイト：https://www.city.kochi.kochi.jp/soshiki/61/misatosunajitawa.html
