都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照,食堂・レストラン名,住所,建物の竣工年,開始時間,終了時間,一般利用可能,狙い目
東京都,台東区,東京都美術館｜RESTAURANT MUSE,美術館内レストラン・カフェ,,,,,,,東京都美術館内。展覧会を見ない来館者も利用可能。9:30 ～ 17:30,https://www.tobikan.jp/,,公共施設内の食堂・レストラン,,東京都美術館 RESTAURANT MUSE,https://www.tobikan.jp/,RESTAURANT MUSE,東京都台東区上野公園8-36,1977,11:00,17:30,確認済み（一般利用可）,公募展空間と公園側の視界をつなぐ飲食空間。
東京都,台東区,東京都美術館｜RESTAURANT salon,美術館内レストラン・カフェ,,,,,,,東京都美術館内。展覧会を見ない来館者も利用可能。9:30 ～ 17:30,https://www.tobikan.jp/,,公共施設内の食堂・レストラン,,東京都美術館 RESTAURANT salon,https://www.tobikan.jp/,RESTAURANT salon,東京都台東区上野公園8-36,1977,11:00,17:30,確認済み（一般利用可）,公募展空間と公園側の視界をつなぐ飲食空間。
東京都,台東区,東京都美術館｜cafe Art,美術館内レストラン・カフェ,,,,,,,東京都美術館内。展覧会を見ない来館者も利用可能。9:30 ～ 17:30,https://www.tobikan.jp/,,公共施設内の食堂・レストラン,,東京都美術館 cafe Art,https://www.tobikan.jp/,cafe Art,東京都台東区上野公園8-36,1977,09:30,17:30,確認済み（一般利用可）,公募展空間と公園側の視界をつなぐ飲食空間。
東京都,台東区,東京国立博物館｜THE RESTAURANT 東京国立博物館,博物館内レストラン・カフェ,,,,,,,現行店舗。一般来館者が利用できるが、博物館敷地への当日入館料が必要。平日通常は10:30〜17:00（フードLO 16:00、ドリンクLO 16:30）。金・土曜夜間開館日は20:00まで。,https://www.tnm.jp/,,公共施設内の食堂・レストラン,,東京国立博物館 THE RESTAURANT 東京国立博物館,https://www.tnm.jp/,THE RESTAURANT 東京国立博物館,東京都台東区上野公園13-9,1968,10:30,17:00,確認済み（一般利用可・当日入館料必要）,公共施設内の飲食空間
東京都,台東区,東京国立博物館｜上島珈琲店 黒田記念館店,博物館内レストラン・カフェ,,,,,,,黒田記念館別館。無料公開施設内で一般来館者が利用可能。店舗公式案内の通常営業時間は7:30〜19:00。,https://www.tnm.jp/,,公共施設内の食堂・レストラン,,東京国立博物館 上島珈琲店 黒田記念館店,https://www.tnm.jp/,上島珈琲店 黒田記念館店,東京都台東区上野公園13-9,1928,07:30,19:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,台東区,国立科学博物館｜ムーセイオン,科学博物館内レストラン・カフェ,,,,,,,国立科学博物館内。入館者が利用。地球館中2階。ラストオーダーは閉店30分前。9:00 - 17:00,https://www.kahaku.go.jp/,,公共施設内の食堂・レストラン,,国立科学博物館 ムーセイオン,https://www.kahaku.go.jp/,ムーセイオン,東京都台東区上野公園7-20,1999,10:30,17:00,確認済み（一般利用可・入館料必要）,公共施設内の飲食空間
東京都,台東区,国立科学博物館｜M2カフェ,科学博物館内レストラン・カフェ,,,,,,,国立科学博物館内。入館者が利用。9:00 - 17:00,https://www.kahaku.go.jp/,,公共施設内の食堂・レストラン,,国立科学博物館 M2カフェ,https://www.kahaku.go.jp/,M2カフェ,東京都台東区上野公園7-20,,,,確認済み（一般利用可・入館料必要）,公共施設内の飲食空間
東京都,台東区,国立西洋美術館｜カフェ すいれん,美術館内カフェ,,,,,,,観覧券なしで利用可能。 火曜日休館。,https://www.nmwa.go.jp/,,公共施設内の食堂・レストラン,,国立西洋美術館 カフェ すいれん,https://www.nmwa.go.jp/,カフェ すいれん,東京都台東区上野公園7-7,1959,10:00,17:30,確認済み（一般利用可）,公共施設内の飲食空間
東京都,港区,国立新美術館｜ブラッスリー ポール・ボキューズ ミュゼ,美術館内レストラン・カフェ,,,,,,,展覧会を見ない方も利用可能。10:00-18:00。 火曜日休館。,https://www.nact.jp/,,公共施設内の食堂・レストラン,,国立新美術館 ブラッスリー ポール・ボキューズ ミュゼ,https://www.nact.jp/,ブラッスリー ポール・ボキューズ ミュゼ,東京都港区六本木7-22-2,2007,11:00,21:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,港区,国立新美術館｜サロン・ド・テ ロンド,美術館内レストラン・カフェ,,,,,,,展覧会を見ない方も利用可能。10:00-18:00。 火曜日休館。,https://www.nact.jp/,,公共施設内の食堂・レストラン,,国立新美術館 サロン・ド・テ ロンド,https://www.nact.jp/,サロン・ド・テ ロンド,東京都港区六本木7-22-2,2007,11:00,18:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,港区,国立新美術館｜カフェ コキーユ,美術館内レストラン・カフェ,,,,,,,展覧会を見ない方も利用可能。10:00-18:00。 火曜日休館。,https://www.nact.jp/,,公共施設内の食堂・レストラン,,国立新美術館 カフェ コキーユ,https://www.nact.jp/,カフェ コキーユ,東京都港区六本木7-22-2,2007,10:00,18:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,目黒区,東京都写真美術館｜フロムトップ,美術館内カフェ,,,,,,,カフェのみの利用も可能。木・金曜は20時まで。,https://topmuseum.jp/cafe/,,公共施設内の食堂・レストラン,,東京都写真美術館 フロムトップ,https://topmuseum.jp/cafe/,フロムトップ,東京都目黒区三田1-13-3,1995,10:00,18:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,港区,東京都庭園美術館｜café TEIEN,美術館内カフェ,,,,,,,庭園または展覧会チケットが必要。,https://www.teien-art-museum.ne.jp/,,公共施設内の食堂・レストラン,,東京都庭園美術館 café TEIEN,https://www.teien-art-museum.ne.jp/,café TEIEN,東京都港区白金台5-21-9,1933,10:00,18:00,確認済み（一般利用可・庭園または展覧会チケット必要）,公共施設内の飲食空間
東京都,江東区,東京都現代美術館｜100本のスプーン 東京都現代美術館店,美術館内レストラン・カフェ,,,,,,,東京都現代美術館内の100本のスプーン 東京都現代美術館店。一般来館者が利用できることを確認。営業時間11:00〜18:00（ラストオーダー17:00）。,https://www.mot-art-museum.jp/,,公共施設内の食堂・レストラン,,東京都現代美術館 100本のスプーン 東京都現代美術館店,https://www.mot-art-museum.jp/,100本のスプーン 東京都現代美術館店,東京都江東区三好4-1-1,1995,11:00,18:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,江東区,東京都現代美術館｜二階のサンドイッチ,美術館内レストラン・カフェ,,,,,,,東京都現代美術館内の二階のサンドイッチ。一般来館者が利用できることを確認。営業時間11:00〜18:00（ラストオーダー17:00）。,https://www.mot-art-museum.jp/,,公共施設内の食堂・レストラン,,東京都現代美術館 二階のサンドイッチ,https://www.mot-art-museum.jp/,二階のサンドイッチ,東京都江東区三好4-1-1,1995,11:00,18:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,墨田区,江戸東京博物館｜和ダイニング こよみ,博物館内レストラン・カフェ,,,,,,,江戸東京博物館内の和ダイニング こよみ。一般来館者が利用できることを確認。11:00 -20:00,https://www.edo-tokyo-museum.or.jp/information/shop/,,公共施設内の食堂・レストラン,,江戸東京博物館 和ダイニング こよみ,https://www.edo-tokyo-museum.or.jp/information/shop/,和ダイニング こよみ,東京都墨田区横網1-4-1,1993,11:00,20:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,墨田区,江戸東京博物館｜ippuku cafe,博物館内レストラン・カフェ,,,,,,,江戸東京博物館内のippuku cafe。一般来館者が利用できることを確認。11:00 -20:00,https://www.edo-tokyo-museum.or.jp/information/shop/,,公共施設内の食堂・レストラン,,江戸東京博物館 ippuku cafe,https://www.edo-tokyo-museum.or.jp/information/shop/,ippuku cafe,東京都墨田区横網1-4-1,1993,10:00,17:30,確認済み（一般利用可）,公共施設内の飲食空間
東京都,豊島区,東京芸術劇場｜Café des Arts,劇場内カフェ,,,,,,,東京芸術劇場内のCafé des Arts。一般来館者が利用できることを確認。11:00～19:00。 土曜日休館。,https://www.geigeki.jp/facilities/shop/,,公共施設内の食堂・レストラン,,東京芸術劇場 Café des Arts,https://www.geigeki.jp/facilities/shop/,Café des Arts,東京都豊島区西池袋1-8-1,1990,11:00,19:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,府中市,府中市美術館｜府中乃森珈琲店,美術館内カフェ,,,,,,,府中市美術館内の府中乃森珈琲店。一般来館者が利用できることを確認。 月曜日休館。,https://www.city.fuchu.tokyo.jp/art/goriyou/cafe.html,,公共施設内の食堂・レストラン,,府中市美術館 府中乃森珈琲店,https://www.city.fuchu.tokyo.jp/art/goriyou/cafe.html,府中乃森珈琲店,東京都府中市浅間町1-3,2000,10:00,17:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,千代田区,日比谷図書文化館｜ライブラリーショップ＆カフェ日比谷,図書館内カフェ,,,,,,,日比谷図書文化館内のライブラリーショップ＆カフェ日比谷。一般来館者が利用できることを確認。,https://www.library.chiyoda.tokyo.jp/hibiya/about/guide/shop/,,公共施設内の食堂・レストラン,,日比谷図書文化館 ライブラリーショップ＆カフェ日比谷,https://www.library.chiyoda.tokyo.jp/hibiya/about/guide/shop/,ライブラリーショップ＆カフェ日比谷,東京都千代田区日比谷公園1-4,2011,10:00,19:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,千代田区,日比谷図書文化館｜ライブラリーダイニング日比谷,図書館内レストラン,,,,,,,日比谷図書文化館内のライブラリーダイニング日比谷。一般来館者が利用できることを確認。,https://www.library.chiyoda.tokyo.jp/hibiya/about/guide/shop/,,公共施設内の食堂・レストラン,,日比谷図書文化館 ライブラリーダイニング日比谷,https://www.library.chiyoda.tokyo.jp/hibiya/about/guide/shop/,ライブラリーダイニング日比谷,東京都千代田区日比谷公園1-4,2011,11:00,21:30,確認済み（一般利用可）,公共施設内の飲食空間
東京都,港区,東京都立中央図書館｜有栖川食堂,図書館内食堂,,,,,,,東京都立中央図書館内の有栖川食堂。一般来館者が利用できることを確認。平日・祝日（休館日除く）11:00〜15:00。定食提供は14:00まで。,https://www.library.metro.tokyo.lg.jp/,,公共施設内の食堂・レストラン,,東京都立中央図書館 有栖川食堂,https://www.library.metro.tokyo.lg.jp/,有栖川食堂,東京都港区南麻布5-7-13,1973,11:00,15:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,港区,東京都立中央図書館｜有栖川珈琲,図書館内カフェ,,,,,,,東京都立中央図書館内の有栖川珈琲。一般来館者が利用できることを確認。平日（休館日除く）15:00〜17:00。,https://www.library.metro.tokyo.lg.jp/,,公共施設内の食堂・レストラン,,東京都立中央図書館 有栖川珈琲,https://www.library.metro.tokyo.lg.jp/,有栖川珈琲,東京都港区南麻布5-7-13,1973,15:00,17:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,国分寺市,東京都立多摩図書館｜館内カフェ,図書館内カフェ,,,,,,,東京都立多摩図書館内の館内カフェ。一般来館者が利用できることを確認。,https://www.library.metro.tokyo.lg.jp/,,公共施設内の食堂・レストラン,,東京都立多摩図書館 館内カフェ,https://www.library.metro.tokyo.lg.jp/,館内カフェ,東京都国分寺市泉町2-2-26,2017,10:00,17:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,千代田区,国立国会図書館 東京本館｜本館6階食堂,図書館内食堂,,,,,,,利用者登録等の入館手続きは必要だが、一般の利用者が利用可能。,https://www.ndl.go.jp/help/facilities/,,公共施設内の食堂・レストラン,,国立国会図書館 東京本館 本館6階食堂,https://www.ndl.go.jp/help/facilities/,本館6階食堂,東京都千代田区永田町1-10-1,1961,11:00,18:30,確認済み（一般利用可）,公共施設内の飲食空間
東京都,千代田区,国立国会図書館 東京本館｜本館3階喫茶室,図書館内喫茶,,,,,,,利用者登録等の入館手続きは必要だが、一般の利用者が利用可能。,https://www.ndl.go.jp/help/facilities/,,公共施設内の食堂・レストラン,,国立国会図書館 東京本館 本館3階喫茶室,https://www.ndl.go.jp/help/facilities/,本館3階喫茶室,東京都千代田区永田町1-10-1,1961,11:00,17:30,確認済み（一般利用可）,公共施設内の飲食空間
東京都,千代田区,国立国会図書館 東京本館｜新館1階喫茶室,図書館内喫茶,,,,,,,利用者登録等の入館手続きは必要だが、一般の利用者が利用可能。,https://www.ndl.go.jp/help/facilities/,,公共施設内の食堂・レストラン,,国立国会図書館 東京本館 新館1階喫茶室,https://www.ndl.go.jp/help/facilities/,新館1階喫茶室,東京都千代田区永田町1-10-1,1961,11:00,15:30,確認済み（一般利用可）,公共施設内の飲食空間
東京都,新宿区,東京都庁｜第一本庁舎32階 職員食堂,庁舎内食堂・カフェ,,,,,,,都庁公式案内で職員以外も利用可能。入庁手続きが必要。,https://www.tokyo-jinzai.or.jp/dining/,,公共施設内の食堂・レストラン,,東京都庁 第一本庁舎32階 職員食堂,https://www.tokyo-jinzai.or.jp/dining/,第一本庁舎32階 職員食堂,東京都新宿区西新宿2-8-1,1991,11:00,14:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,新宿区,東京都庁｜第二本庁舎4階 職員食堂,庁舎内食堂・カフェ,,,,,,,都庁公式案内で職員以外も利用可能。入庁手続きが必要。,https://www.tokyo-jinzai.or.jp/dining/,,公共施設内の食堂・レストラン,,東京都庁 第二本庁舎4階 職員食堂,https://www.tokyo-jinzai.or.jp/dining/,第二本庁舎4階 職員食堂,東京都新宿区西新宿2-8-1,1991,11:00,14:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,新宿区,東京都庁｜第一本庁舎32階 カフェ,庁舎内食堂・カフェ,,,,,,,都庁公式案内で職員以外も利用可能。入庁手続きが必要。,https://www.tokyo-jinzai.or.jp/dining/,,公共施設内の食堂・レストラン,,東京都庁 第一本庁舎32階 カフェ,https://www.tokyo-jinzai.or.jp/dining/,第一本庁舎32階 カフェ,東京都新宿区西新宿2-8-1,1991,08:00,17:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,新宿区,東京都庁｜第二本庁舎4階 カフェ,庁舎内食堂・カフェ,,,,,,,都庁公式案内で職員以外も利用可能。入庁手続きが必要。,https://www.tokyo-jinzai.or.jp/dining/,,公共施設内の食堂・レストラン,,東京都庁 第二本庁舎4階 カフェ,https://www.tokyo-jinzai.or.jp/dining/,第二本庁舎4階 カフェ,東京都新宿区西新宿2-8-1,1991,08:00,16:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,港区,港区役所｜レストラン・ポート,区役所内職員食堂,,,,,,,区公式案内で一般利用可能。 土曜休館。,https://www.city.minato.tokyo.jp/shokuinshien/menu.html,,公共施設内の食堂・レストラン,,港区役所 レストラン・ポート,https://www.city.minato.tokyo.jp/shokuinshien/menu.html,レストラン・ポート,東京都港区芝公園1-5-25,2006,11:00,14:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,渋谷区,渋谷区役所｜渋谷ハチ公そば,区役所内飲食店,,,,,,,区役所1階フリースペース内。区公式案内で一般利用可能。11時～14時30分,https://www.city.shibuya.tokyo.jp/shisetsu/kuyakusho/kuyakusho/freespace.html,,公共施設内の食堂・レストラン,,渋谷区役所 渋谷ハチ公そば,https://www.city.shibuya.tokyo.jp/shisetsu/kuyakusho/kuyakusho/freespace.html,渋谷ハチ公そば,東京都渋谷区宇田川町1-1,2019,11:00,14:30,確認済み（一般利用可）,公共施設内の飲食空間
東京都,渋谷区,東京体育館｜Arabian Restaurant & Cafe Bar Oasis,体育施設内レストラン,,,,,,,公式案内で店舗名・営業時間・来店案内を確認。金・土・祝前日は23時まで。,https://www.tef.or.jp/tmg/,,公共施設内の食堂・レストラン,,東京体育館 Arabian Restaurant & Cafe Bar Oasis,https://www.tef.or.jp/tmg/,Arabian Restaurant & Cafe Bar Oasis,東京都渋谷区千駄ヶ谷1-17-1,1990,11:00,22:00,確認済み（一般利用可）,公共施設内の飲食空間
東京都,渋谷区,国立能楽堂｜お食事処 ひまわり,国立劇場内レストラン,,,,,,,国立能楽堂内のレストラン。公演のない日はランチ営業、公演日は開場前から営業。,https://www.ntj.jac.go.jp/nou/facilities/shop/,,公共施設内の食堂・レストラン,,国立能楽堂 お食事処 ひまわり,https://www.ntj.jac.go.jp/nou/facilities/shop/,お食事処 ひまわり,東京都渋谷区千駄ヶ谷4-18-1,1983,,,確認済み（一般利用可）,能楽堂の庭を望む館内食事処
東京都,渋谷区,新国立劇場｜レストラン マエストロ,劇場内レストラン,,,,,,,新国立劇場オペラパレス内のイタリア料理レストラン。プレ・アフターシアターメニューを提供。,https://www.nntt.jac.go.jp/guide/dining-shop/,,公共施設内の食堂・レストラン,,新国立劇場 マエストロ,https://www.nntt.jac.go.jp/guide/dining-shop/,マエストロ,東京都渋谷区本町1-1-1,1997,,,確認済み（一般利用可）,劇場公演と一体になったレストラン
東京都,渋谷区,新国立劇場｜小劇場カフェ,劇場内カフェ,,,,,,,新国立劇場小劇場内のカフェ。主催公演の開演前と休憩中に軽食・飲み物を提供し、観劇予定がない人も営業時間内に利用可能。,https://www.nntt.jac.go.jp/guide/dining-shop/,,公共施設内の食堂・レストラン,,新国立劇場 小劇場カフェ,https://www.nntt.jac.go.jp/guide/dining-shop/,小劇場カフェ,東京都渋谷区本町1-1-1,1997,,,確認済み（一般利用可）,劇場内の公演関連カフェ
東京都,杉並区,杉並公会堂｜Espresso Americano,公会堂内カフェ,,,,,,,杉並公会堂1階のカフェ。公演来場者向け割引があり、カフェのみの一般利用も可能。11:00〜20:00,https://www.suginamikoukaidou.com/about/cafe/,,公共施設内の食堂・レストラン,,杉並公会堂 Espresso Americano,https://www.suginamikoukaidou.com/about/cafe/,Espresso Americano,東京都杉並区上荻1-23-15,2006,11:00,20:00,確認済み（一般利用可）,公会堂のラウンジに設置されたカフェ
東京都,杉並区,杉並芸術会館（座・高円寺）｜まぁるいカフェ,公共劇場内カフェ,,,,,,,座・高円寺2階のカフェ。劇場利用者に限らず一般来館者が利用でき、2026年4月にリニューアル。11:30〜19:00,https://za-koenji.jp/uncategorized/1175/,,公共施設内の食堂・レストラン,,杉並芸術会館（座・高円寺） まぁるいカフェ,https://za-koenji.jp/uncategorized/1175/,まぁるいカフェ,東京都杉並区高円寺北2-1-2,2009,11:30,19:00,確認済み（一般利用可）,公共劇場の交流・飲食スペース
東京都,練馬区,練馬区役所｜職員レストラン Ra dish,庁舎内職員レストラン,,,,,,,練馬区役所西庁舎地下1階。区職員以外の一般客も利用可能。モーニングとランチを営業。 土曜休館。,https://www.city.nerima.tokyo.jp/shisetsu/ku/ku/resutoran.html,,公共施設内の食堂・レストラン,,練馬区役所 Ra dish,https://www.city.nerima.tokyo.jp/shisetsu/ku/ku/resutoran.html,Ra dish,東京都練馬区豊玉北6-12-1,1984,08:00,14:30,確認済み（一般利用可）,庁舎内の一般利用可能な職員レストラン
東京都,練馬区,練馬区役所｜展望レストラン,庁舎内展望レストラン,,,,,,,練馬区役所本庁舎20階の展望レストラン。入場無料の展望ロビーと一体で一般利用できる。,https://www.city.nerima.tokyo.jp/shisetsu/ku/ku/tenbo.html,,公共施設内の食堂・レストラン,,練馬区役所 練馬展望レストラン,https://www.city.nerima.tokyo.jp/shisetsu/ku/ku/tenbo.html,練馬展望レストラン,東京都練馬区豊玉北6-12-1,1993,11:30,21:00,確認済み（一般利用可）,区役所最上階の展望と食事
東京都,練馬区,練馬区役所｜喫茶コーナー,庁舎内喫茶,,,,,,,練馬区役所西庁舎1階の喫茶コーナー。区役所来庁者が利用できる。,https://www.city.nerima.tokyo.jp/shisetsu/ku/ku/tenbo.html,,公共施設内の食堂・レストラン,,練馬区役所 喫茶コーナー,https://www.city.nerima.tokyo.jp/shisetsu/ku/ku/tenbo.html,喫茶コーナー,東京都練馬区豊玉北6-12-1,1984,10:30,16:00,確認済み（一般利用可）,庁舎内の来庁者向け喫茶
東京都,台東区,台東区役所｜チカショク さくら,庁舎内職員食堂,,,,,,,台東区役所地下1階の職員食堂。区公式事業や現行営業情報があり、一般利用可能。,https://www.city.taito.lg.jp/kusei/shokai/shimaitoshi/news/minamiaizu_sinnmai.html,,公共施設内の食堂・レストラン,,台東区役所 チカショク さくら,https://www.city.taito.lg.jp/kusei/shokai/shimaitoshi/news/minamiaizu_sinnmai.html,チカショク さくら,東京都台東区東上野4-5-6,1973,11:00,15:00,確認済み（一般利用可）,区役所地下の一般利用可能な食堂
東京都,新宿区,新宿区役所｜お食事処 けやき,庁舎内職員食堂,,,,,,,新宿区役所本庁舎地下1階の食堂。一般利用可能な平日ランチ営業。,https://www.city.shinjuku.lg.jp/content/000420713.pdf,,公共施設内の食堂・レストラン,,新宿区役所 お食事処 けやき,https://www.city.shinjuku.lg.jp/content/000420713.pdf,お食事処 けやき,東京都新宿区歌舞伎町1-4-1,1966,11:30,15:00,確認済み（一般利用可）,区役所地下の一般利用可能な食堂
東京都,世田谷区,世田谷美術館｜ル・ジャルダン,美術館内レストラン,,,,,,,世田谷美術館内のレストラン。展覧会を見ない人も利用でき、ランチ・ティー・予約制ディナーを営業。11:00～14:00。 月曜日休館。,https://www.setagayaartmuseum.or.jp/guide/restaurant/,,公共施設内の食堂・レストラン,,世田谷美術館 ル・ジャルダン,https://www.setagayaartmuseum.or.jp/guide/restaurant/,ル・ジャルダン,東京都世田谷区砧公園1-2,1986,11:00,22:00,確認済み（一般利用可）,美術館建築と砧公園を望むレストラン
東京都,世田谷区,世田谷美術館｜SeTaBi Café,美術館内カフェ,,,,,,,世田谷美術館地下中庭のカフェ。展覧会を見ない人も利用でき、公園側からも利用できる。11:00～14:00。 月曜日休館。,https://www.setagayaartmuseum.or.jp/guide/restaurant/,,公共施設内の食堂・レストラン,,世田谷美術館 SeTaBi Café,https://www.setagayaartmuseum.or.jp/guide/restaurant/,SeTaBi Café,東京都世田谷区砧公園1-2,1986,10:00,18:00,確認済み（一般利用可）,美術館地下中庭のカフェ
