参照,都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目
公式サイト：https://www.town.okushiri.lg.jp/hotnews/detail/00003668.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%A5%A5%E5%B0%BB%E7%94%BA%20%E5%A5%A5%E5%B0%BB%E5%B3%B6%E6%B4%A5%E6%B3%A2%E9%A4%A8,北海道,奥尻町,奥尻島津波館,津波・震災伝承館,,,,,,,地域に残された災害の記録を読み、避難と復興の教訓を学ぶ訪問先。 利用条件：季節開館。2026年は4月18日～10月31日。冬期休館。 公的主体：奥尻町
公式サイト：https://www.city.kushiro.lg.jp/kurashi/shoubou/1003672.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E9%87%A7%E8%B7%AF%E5%B8%82%20%E9%87%A7%E8%B7%AF%E5%B8%82%E6%B0%91%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,北海道,釧路市,釧路市民防災センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：9名以下も空き状況の事前問い合わせを推奨。10名以上は10日前まで申請。 公的主体：釧路市
公式サイト：https://www.city.ebetsu.hokkaido.jp/soshiki/chisui/337.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%B1%9F%E5%88%A5%E5%B8%82%20%E6%B1%9F%E5%88%A5%E6%B2%B3%E5%B7%9D%E9%98%B2%E7%81%BD%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3,北海道,江別市,江別河川防災ステーション,治水・防災学習施設,,,,,,,水防拠点の平常時公開展示を訪ね、河川防災の役割を知る。 利用条件：平常時は展示・休憩施設として一般利用可。団体見学は申請。 公的主体：江別市
公式サイト：https://www.sapporo-dpc.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%9C%AD%E5%B9%8C%E5%B8%82%E7%99%BD%E7%9F%B3%E5%8C%BA%20%E6%9C%AD%E5%B9%8C%E5%B8%82%E6%B0%91%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,北海道,札幌市白石区,札幌市民防災センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：無料。10名以上は事前申込。2026-09-07地震体験休止、2026-08-28消火体験休止の告知あり。 公的主体：札幌市
公式サイト：https://www.toyako-vc.jp/volcano/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%B4%9E%E7%88%BA%E6%B9%96%E7%94%BA%20%E6%B4%9E%E7%88%BA%E6%B9%96%E7%94%BA%20%E7%81%AB%E5%B1%B1%E7%A7%91%E5%AD%A6%E9%A4%A8,北海道,洞爺湖町,洞爺湖町 火山科学館,火山防災施設,,,,,,,有珠山の繰り返す噴火を、映像・解説・体感装置で学ぶ。 利用条件：有料。2025年から月曜休館・冬期開館時間変更。 公的主体：洞爺湖町
公式サイト：https://www.hkd.mlit.go.jp/as/tisui/ho928l0000000oej.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E7%BE%8E%E7%91%9B%E7%94%BA%20%E5%8D%81%E5%8B%9D%E5%B2%B3%E7%81%AB%E5%B1%B1%E7%A0%82%E9%98%B2%E6%83%85%E5%A0%B1%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%EF%BC%88%E3%83%B4%E3%82%A9%E3%83%AB%E3%82%AC%EF%BC%89,北海道,美瑛町,十勝岳火山砂防情報センター（ヴォルガ）,火山防災・砂防資料館,,,,,,,十勝岳の火山砂防や防災の資料を展示する情報センター。 利用条件：国の公式案内で一般向け展示を確認。 公的主体：国土交通省北海道開発局
公式サイト：https://www.pref.aomori.lg.jp/soshiki/kikikanri/shobogakko/bosaikyoiku.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E6%A3%AE%E7%9C%8C%20%E9%9D%92%E6%A3%AE%E5%B8%82%20%E9%9D%92%E6%A3%AE%E7%9C%8C%E9%98%B2%E7%81%BD%E6%95%99%E8%82%B2%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,青森県,青森市,青森県防災教育センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：2026年4月リニューアル。7月から運営変更。申込は県ページの利用案内参照。 公的主体：青森県
公式サイト：https://unosumai-tomosu.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%B2%A9%E6%89%8B%E7%9C%8C%20%E9%87%9C%E7%9F%B3%E5%B8%82%20%E3%81%84%E3%81%AE%E3%81%A1%E3%82%92%E3%81%A4%E3%81%AA%E3%81%90%E6%9C%AA%E6%9D%A5%E9%A4%A8,岩手県,釜石市,いのちをつなぐ未来館,津波・震災伝承館,,,,,,,地域に残された災害の記録を読み、避難と復興の教訓を学ぶ訪問先。 利用条件：市内外の一般来館者を受け入れる防災学習施設。 公的主体：釜石市
公式サイト：https://385-densho.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%B2%A9%E6%89%8B%E7%9C%8C%20%E5%AE%AE%E5%8F%A4%E5%B8%82%20%E5%AE%AE%E5%8F%A4%E5%B8%82%E7%81%BD%E5%AE%B3%E8%B3%87%E6%96%99%E4%BC%9D%E6%89%BF%E9%A4%A8,岩手県,宮古市,宮古市災害資料伝承館,津波・災害伝承館,,,,,,,地域に残された災害の記録を読み、避難と復興の教訓を学ぶ訪問先。 利用条件：無料。展示解説希望・10名以上の団体は事前予約。 公的主体：宮古市
公式サイト：https://www.vill.noda.iwate.jp/bunka_sports/kanko/1488.html 公式資料：https://www.thr.mlit.go.jp/shinsaidensho/facility/iwate-3-017.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%B2%A9%E6%89%8B%E7%9C%8C%20%E9%87%8E%E7%94%B0%E6%9D%91%20%E9%87%8E%E7%94%B0%E6%9D%91%E5%BE%A9%E8%88%88%E5%B1%95%E7%A4%BA%E5%AE%A4,岩手県,野田村,野田村復興展示室,津波・震災伝承館,,,,,,,保健センター内の復興展示室。予約する震災学習プログラムと併せて訪ねたい。 利用条件：保健センター3階。見学を含む震災学習プログラムは要予約。単独訪問時の受入条件は村に確認。 公的主体：野田村
