都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
愛媛県,新居浜市,愛媛県総合科学博物館 植物関連展示・周辺施設,博物館・自然施設,新居浜市にある愛媛県総合科学博物館に行ってみた件!!!,https://xyz512.jp/blog-entry-2056.html,,,,,"植物園そのものではないが巨大公共建築好き向け。
狙い目：個々の建物より、建物間を移動する距離と敷地の使い方を見たい。周辺を含めた公共施設の配置が対象。",https://www.i-kahaku.jp/,https://www.google.com/maps/search/?api=1&query=%E6%84%9B%E5%AA%9B%E7%9C%8C%E7%B7%8F%E5%90%88%E7%A7%91%E5%AD%A6%E5%8D%9A%E7%89%A9%E9%A4%A8%20%E6%A4%8D%E7%89%A9%E9%96%A2%E9%80%A3%E5%B1%95%E7%A4%BA%E3%83%BB%E5%91%A8%E8%BE%BA%E6%96%BD%E8%A8%AD%20%E6%96%B0%E5%B1%85%E6%B5%9C%E5%B8%82%20%E6%84%9B%E5%AA%9B%E7%9C%8C%20%E6%97%A5%E6%9C%AC,植物園・温室,,,公式サイト：https://www.i-kahaku.jp/
北海道,北見市,北網圏北見文化センター,科学・博物館,北見市　北網圏北見文化センターにきてみた　その1　2021.2.11 - 風月を友とする,https://kazetotuki.hatenadiary.com/entry/2021/02/12/000000,,,,,"身近な物理現象と体験型科学展示を扱う。
狙い目：体験装置を操作する前後で現象がどう変わるかを見たい。仕組みを説明する表示と装置の配置を合わせて観察する。",https://hokumouken.com/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E7%B6%B2%E5%9C%8F%E5%8C%97%E8%A6%8B%E6%96%87%E5%8C%96%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%8C%97%E8%A6%8B%E5%B8%82,科学系施設,,,公式サイト：https://hokumouken.com/
北海道,帯広市,帯広百年記念館,自然・博物館,〖巡検〗帯広百年記念館と晩成社・十勝監獄 -,https://r20115.hatenablog.com/entry/obihiro,,,,,"地域固有の自然史、地形、生物標本を扱う。
狙い目：地域の地形と生物の展示をつなげて読む。標本の産地や採集場所の説明から、周辺の自然へ視野を広げたい。",https://museum-obihiro.jp/occm/,https://www.google.com/maps/search/?api=1&query=%E5%B8%AF%E5%BA%83%E7%99%BE%E5%B9%B4%E8%A8%98%E5%BF%B5%E9%A4%A8%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%B8%AF%E5%BA%83%E5%B8%82,科学系施設,,,公式サイト：https://museum-obihiro.jp/occm/
北海道,釧路市,釧路市立博物館,自然史,釧路博物館は子連れも楽しい!?見どころや所要時間＆お得に見る方法まとめ - きたうみ日誌,https://www.okmhn.com/hakubutukan-kushiro/,,,,,"地域固有の自然史、地形、生物標本を扱う。
狙い目：地域の地形と生物の展示をつなげて読む。標本の産地や採集場所の説明から、周辺の自然へ視野を広げたい。",http://www.city.kushiro.lg.jp/museum/,https://www.google.com/maps/search/?api=1&query=%E9%87%A7%E8%B7%AF%E5%B8%82%E7%AB%8B%E5%8D%9A%E7%89%A9%E9%A4%A8%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E9%87%A7%E8%B7%AF%E5%B8%82,科学系施設,,,公式サイト：http://www.city.kushiro.lg.jp/museum/
北海道,斜里町,斜里町立知床博物館,自然史,斜里町立知床博物館の訪問記,https://ameblo.jp/sakana215555/entry-12937639011.html,,,,,"地域固有の自然史、地形、生物標本を扱う。
狙い目：地域の地形と生物の展示をつなげて読む。標本の産地や採集場所の説明から、周辺の自然へ視野を広げたい。",https://shiretoko-museum.jpn.org/,https://www.google.com/maps/search/?api=1&query=%E6%96%9C%E9%87%8C%E7%94%BA%E7%AB%8B%E7%9F%A5%E5%BA%8A%E5%8D%9A%E7%89%A9%E9%A4%A8%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%96%9C%E9%87%8C%E7%94%BA,科学系施設,,,公式サイト：https://shiretoko-museum.jpn.org/
北海道,標茶町,標茶町博物館 ニタイ・ト,自然史,標茶町博物館「ニタイ・ト」に潜入して来ました！ | ひらた家具店のブログ,https://ameblo.jp/hiratakagu/entry-12820660679.html,,,,,"地域固有の自然史、地形、生物標本を扱う。
狙い目：地域の地形と生物の展示をつなげて読む。標本の産地や採集場所の説明から、周辺の自然へ視野を広げたい。",http://www.sip.or.jp/~shibecha-museum/,https://www.google.com/maps/search/?api=1&query=%E6%A8%99%E8%8C%B6%E7%94%BA%E5%8D%9A%E7%89%A9%E9%A4%A8%20%E3%83%8B%E3%82%BF%E3%82%A4%E3%83%BB%E3%83%88%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%A8%99%E8%8C%B6%E7%94%BA,科学系施設,,,公式サイト：http://www.sip.or.jp/~shibecha-museum/
北海道,日高町,日高山脈博物館,地質・自然,日高地方へ地層の観察に行きました(２・終) - しのうしのブログ,https://sinousi-2.hatenablog.com/entry/2026/06/04/111028,,,,,"岩石・鉱物・化石と土地の成り立ちを扱う。
狙い目：標本の形や大きさと産地・年代の説明を照合して見る。小さな資料から大きな土地の成り立ちを伝える展示の構成が狙い目。",https://www.town.hidaka.hokkaido.jp/site/hmc/,https://www.google.com/maps/search/?api=1&query=%E6%97%A5%E9%AB%98%E5%B1%B1%E8%84%88%E5%8D%9A%E7%89%A9%E9%A4%A8%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%97%A5%E9%AB%98%E7%94%BA,科学系施設,,,公式サイト：https://www.town.hidaka.hokkaido.jp/site/hmc/
北海道,むかわ町,穂別博物館,化石・恐竜,〖2026年リニューアル〗むかわ町立 穂別博物館レビュー｜カムイサウルス全身骨格が圧巻！雨の日も楽しめる北海道の恐竜スポット | あしたも晴れるかな,https://ashihareblog.com/mukawa-hobetsu-museum/,,,,,"地域で見つかった恐竜・古生物資料を扱う。
狙い目：標本の形や大きさと産地・年代の説明を照合して見る。小さな資料から大きな土地の成り立ちを伝える展示の構成が狙い目。",http://www.town.mukawa.lg.jp/1908.htm,https://www.google.com/maps/search/?api=1&query=%E7%A9%82%E5%88%A5%E5%8D%9A%E7%89%A9%E9%A4%A8%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E3%82%80%E3%81%8B%E3%82%8F%E7%94%BA,科学系施設,,,公式サイト：http://www.town.mukawa.lg.jp/1908.htm
北海道,三笠市,三笠市立博物館,化石・地質,三笠市立博物館　―　野外編　― - kamonji224の日記　―　北海道見聞録　―,https://kamonji224.hatenablog.com/entry/2019/07/25/235617,,,,,"岩石・鉱物・化石と土地の成り立ちを扱う。
狙い目：標本の形や大きさと産地・年代の説明を照合して見る。小さな資料から大きな土地の成り立ちを伝える展示の構成が狙い目。",https://www.city.mikasa.hokkaido.jp/museum/,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E7%AC%A0%E5%B8%82%E7%AB%8B%E5%8D%9A%E7%89%A9%E9%A4%A8%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E4%B8%89%E7%AC%A0%E5%B8%82,科学系施設,,,公式サイト：https://www.city.mikasa.hokkaido.jp/museum/
北海道,枝幸町,オホーツクミュージアムえさし,自然・考古,オホーツクの博物館を訪問 - 北大野外鳥類学研究室ブログ,https://hokudaiornithology.blog.fc2.com/blog-entry-115.html,,,,,"地域固有の自然史、地形、生物標本を扱う。
狙い目：地域の地形と生物の展示をつなげて読む。標本の産地や採集場所の説明から、周辺の自然へ視野を広げたい。",https://www.esashi.jp/tourism/guide/museum.html,https://www.google.com/maps/search/?api=1&query=%E3%82%AA%E3%83%9B%E3%83%BC%E3%83%84%E3%82%AF%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0%E3%81%88%E3%81%95%E3%81%97%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%9E%9D%E5%B9%B8%E7%94%BA,科学系施設,,,公式サイト：https://www.esashi.jp/tourism/guide/museum.html
