参照,都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ
"公式サイト：https://www.aeon.com/store/イオン/イオン須坂駅前店/shop_info/hours/
公式資料：https://aeon-newbusiness.com/prefecture/?pref_id=20",長野県,須坂市,イオン須坂駅前店,古参総合スーパー・SC,,,,,,,駅前の小規模店。2023年訪問記録に旧ジャスコのロゴ入り取っ手。現在の残存状況は現地確認対象。開業：1976年12月／旧名称：ジャスコ須坂店／イオン須坂店新しいイオンモール須坂・イオンスタイル須坂とは別施設。店内改装あり。,https://www.aeon.com/store/イオン/イオン須坂駅前店/shop_info/hours/,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%20%E9%A0%88%E5%9D%82%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E9%A0%88%E5%9D%82%E9%A7%85%E5%89%8D%E5%BA%97
"公式サイト：https://www.aeon.com/store/イオン/イオン臼井店/?is_browser=true
公式資料：https://www.lakepia.or.jp/about/",千葉県,佐倉市,イオン臼井店,古参総合スーパー・SC,,,,,,,レイクピア ウスイの核店舗。駅前の共同型SCと地元専門店街の組み合わせ。開業：1984年3月／旧名称：ジャスコ臼井店SC組合が1984年3月6日の開業を明記。現在の意匠の残存範囲は未確認。,https://www.aeon.com/store/イオン/イオン臼井店/?is_browser=true,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E7%9C%8C%20%E4%BD%90%E5%80%89%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E8%87%BC%E4%BA%95%E5%BA%97
公式サイト：https://www.aeon.jp/sc/aeon-noa/time/,千葉県,野田市,イオンノア店,古参総合スーパー・SC,,,,,,,遊園地併設型。訪問記録では吹き抜けやジャスコの痕跡が紹介されている。開業：1989年／旧名称：扇屋ジャスコノア店公式に映画館・もりのゆうえんちの営業時間あり。過去記録の意匠が現在も残るかは未確認。,https://www.aeon.jp/sc/aeon-noa/time/,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E7%9C%8C%20%E9%87%8E%E7%94%B0%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%8E%E3%82%A2%E5%BA%97
"公式サイト：https://www.aeon.com/store/イオン/イオン鴻池店/shop_info/hours/
公式資料：https://aeon-newbusiness.com/prefecture/?page=2&pref_id=27
公式資料：https://www.gigo.co.jp/shops/a-kounoike",大阪府,東大阪市,イオン鴻池店,古参総合スーパー・SC,,,,,,,鴻池新田エリアの古参店。現在も上階に専門店・飲食・ゲーム施設を掲載。開業：1977年11月／旧名称：鴻池サティ西館など複数区画あり。区画別の築年・改装時期は未確認。,https://www.aeon.com/store/イオン/イオン鴻池店/shop_info/hours/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E6%9D%B1%E5%A4%A7%E9%98%AA%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E9%B4%BB%E6%B1%A0%E5%BA%97
"公式サイト：https://tenpo.aeon-kyushu.info/detail/minamimiyazaki/
公式資料：https://www.mof.go.jp/public_relations/finance/denshi/202506/pageindices/index65.html",宮崎県,宮崎市,イオン南宮崎店,古参総合スーパー・SC,,,,,,,宮交シティの核店舗。1970年代から続く交通拠点の商業施設。開業：1973年11月宮交シティは2019年リニューアル。1973年は施設開業年月で全館の築年を保証しない。,https://tenpo.aeon-kyushu.info/detail/minamimiyazaki/,https://www.google.com/maps/search/?api=1&query=%E5%AE%AE%E5%B4%8E%E7%9C%8C%20%E5%AE%AE%E5%B4%8E%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E5%8D%97%E5%AE%AE%E5%B4%8E%E5%BA%97
"公式サイト：https://www.aeon-hokkaido.jp/aeon/shop/chitose/
公式資料：https://www.aeon-hokkaido.jp/corporation/profile/pdf/pro01.pdf",北海道,千歳市,イオン千歳店,古参総合スーパー・SC,,,,,,,北海道の古参総合スーパー。食品・衣料・暮らしの売場と専門店が集まる。開業：1978年11月開業年月は施設の沿革。現建物の全区画が当初のままかは未確認。,https://www.aeon-hokkaido.jp/aeon/shop/chitose/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%8D%83%E6%AD%B3%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E5%8D%83%E6%AD%B3%E5%BA%97
"公式サイト：https://tenpo.aeon-kyushu.info/detail/onojo/
公式資料：https://www.aeon-kyushu.info/files/management_news/234/pdf.pdf",福岡県,大野城市,イオン大野城ショッピングセンター,古参総合スーパー・SC,,,,,,,昭和から続く地域SC。映画館や専門店を含む商業集積。開業：1977年9月／旧名称：大野城サティ2011年にリフレッシュ。増改築・区画別築年は未確認。,https://tenpo.aeon-kyushu.info/detail/onojo/,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B2%A1%E7%9C%8C%20%E5%A4%A7%E9%87%8E%E5%9F%8E%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E5%A4%A7%E9%87%8E%E5%9F%8E%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC
"公式サイト：https://www.aeon.jp/sc/marinpia/
公式資料：https://www.aeonretail.jp/pdf/140423R_1_1.pdf",千葉県,千葉市美浜区,イオンマリンピアショッピングセンター,古参総合スーパー・SC,,,,,,,稲毛海岸の駅前SC。本館と専門館、上階の飲食・サービス売場を採集対象に。開業：1984年4月2014年に4階をG.Gモールへ改装。開業年月は本館側の店舗沿革。専門館の築年とは区別。,https://www.aeon.jp/sc/marinpia/,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E7%9C%8C%20%E5%8D%83%E8%91%89%E5%B8%82%E7%BE%8E%E6%B5%9C%E5%8C%BA%20%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%9E%E3%83%AA%E3%83%B3%E3%83%94%E3%82%A2%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC
公式サイト：https://www.aeon.com/store/イオン/イオンスタイル洲本/shop_info/hours/,兵庫県,洲本市,イオンスタイル洲本,古参総合スーパー・SC,,,,,,,淡路島の中心市街地にある古参店。街の商業空間と合わせた採集候補。開業：1985年3月イオンスタイルへの転換・改装を経ている。2026年7月からクーリングシェルター指定。,https://www.aeon.com/store/イオン/イオンスタイル洲本/shop_info/hours/,https://www.google.com/maps/search/?api=1&query=%E5%85%B5%E5%BA%AB%E7%9C%8C%20%E6%B4%B2%E6%9C%AC%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB%E6%B4%B2%E6%9C%AC
公式サイト：https://www.aeon.com/store/イオン/イオン高橋店/shop_info/hours/,愛知県,豊田市,イオン高橋店,古参総合スーパー・SC,,,,,,,高橋地区の地域SC。昭和末期に開業し、現在も総合スーパーと専門店を展開。開業：1987年11月2026年春に食品売場などを大規模リニューアル。古い内装の残存は未確認。,https://www.aeon.com/store/イオン/イオン高橋店/shop_info/hours/,https://www.google.com/maps/search/?api=1&query=%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E8%B1%8A%E7%94%B0%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E9%AB%98%E6%A9%8B%E5%BA%97
