都道府県,市区町村,店舗名・施設名,分類,説明・狙い目,公式サイト,Googleマップ,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL
東京都,北区,桐ヶ丘中央商店街,衰退・縮小,桐ヶ丘団地の建替えに伴い取り壊しが決まった商店街。高齢化・後継者不足でシャッター化が進み、70年近い団地の日常を支えた店舗街の変化を記録する。所在地目安：桐ヶ丘1-9。,https://www.akabanefan.club/kirigaoka,,,,,,,
東京都,北区,東豊名店街,衰退・縮小,豊島五丁目団地の1階に残る名店街。惣菜店など一部の営業を確認できる一方、内部通路にはシャッター店舗が目立つと報告されている。所在地目安：豊島5-4周辺。,,,,,,,,
東京都,板橋区,高島平イーストサイド名店街,衰退・縮小,高島平二丁目団地の1階にある名店街。昭和47年開設の団地商店街として現在も店舗が残るが、空き区画・閉鎖店舗と生活拠点の更新を観察できる。所在地目安：高島平2-28-1。,,,板橋区商店街連合会アクセス,https://www.i-shoren.com/access.html,高島平シニアガイド,https://www.takashimadaira-sasaeai.com/guide-t2,,
東京都,板橋区,ファンシーフロア商店街,衰退・縮小,高島平団地2-32-1号棟の1階に残る小規模商店街。寂れた団地商店街として紹介され、周辺の高齢化と店舗の変化を記録する対象。,,,高島平シニアガイド,https://www.takashimadaira-sasaeai.com/guide-t2,,,,
東京都,板橋区,高島平中央商店街,衰退・縮小,高島平二丁目団地の中庭に面する団地商店街。食料品店など一部店舗が営業を続ける一方、静かなシャッターの多い風景が残る。所在地目安：高島平2丁目。,,,板橋区商店街連合会アクセス,https://www.i-shoren.com/access.html,,,,
東京都,江東区,辰巳団地バス通り商店街（辰巳商店会）,衰退・縮小,都営辰巳アパート1-2-9周辺の団地内商店街。建替え工事が進む辰巳団地の下層店舗と、シャッター店舗・現役店が混在する変化を記録する。,,,,,,,,
東京都,西東京市,ひばりが丘団地北商店街,衰退・縮小,ひばりが丘二丁目の団地北商店街。商店街協同組合は2024年11月18日に閉鎖登記され、団地商店街の消滅過程を記録する対象。所在地：ひばりが丘2-8-15。,,,gBizINFO（閉鎖法人）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=8012705000183,,,,
東京都,北区,赤羽台団地商店街（旧赤羽団地商店街）,衰退・縮小,1962年完成の赤羽台団地に設けられた屋根付き商店街。再開発と団地建替えで旧住棟・店舗区画が解体され、2011年前後に残っていた看板や生活店舗の姿も失われた。狙い目：旧商店街の写真、店先の看板、建替え前後の団地配置を個人記録で追う。,,,赤羽団地商店街の記録（2010年）,https://tokyo-syoutengai.seesaa.net/article/185617235.html,,,,
北海道,札幌市北区,幌北団地・北26条中心街,衰退・縮小,札幌市営幌北団地の1・2号棟1階に個人商店が連なる北26条中心街があった。団地再編で住棟と店舗部分が解体され、2017年時点で23棟中22棟が解体済み、中心街の棟も取り壊し完了と記録されている。,,,札幌市営幌北団地（通称・樺太団地）の解体記録,https://sapporowalk.sakura.ne.jp/lost/2017/20170710/,,,,
神奈川県,厚木市,緑ヶ丘団地緑ヶ丘店舗,衰退・縮小,1963年完成の緑ヶ丘団地に併設された長屋型商店街。店舗廃止決定後の2014年に解体され更地となり、翌年コンビニとドラッグストアへ再編された。商店街の廃止・解体を具体的に確認できる。,,,,,,,,
愛知県,名古屋市千種区,希望ヶ丘センター（キボセン）,衰退・縮小,千種台団地造成時の1957年に開業した商業テナント。地下鉄開通に伴う千種台団地再開発で2004年に閉鎖され、再開発前の解体写真と店舗の記憶が個人サイトに残る。,,,1957→2004 希望ヶ丘センター,https://nozawadenki.com/blog/2023/02/19/kibosen/,,,,
京都府,京都市上京区,堀川団地商店街（堀川椹木町団地）,衰退・縮小,戦後の堀川京極商店街復興として建設された店舗併用団地。老朽化と空き店舗を背景に一部建替え・解体と再生が進み、店舗併用住宅としての当初形態が変化している。,https://kyoto-juko.jp/horikawa/html/page1.php,,,,,,,
群馬県,前橋市,広瀬団地内商店街,衰退・縮小,広瀬団地内の旧商店群は、群馬県の再生ビジョンで『元々は商店街だったが現在は廃墟化』『八百屋や薬局、寝具店等の多くが閉店』と具体的に記録されている。一方で精肉店など現役店舗も確認でき、消滅進行中として扱う。,,,,,,,,
千葉県,市川市,二俣団地ショッピングセンター,衰退・縮小,防衛庁官舎として整備された二俣団地の中心にあった地上2階建ての商業施設。1階に食品スーパー・寿司店、2階に日用品・文具・玩具・薬局・クリーニング等が入っていたが、個人記録で閉店し跡地になったことを確認できる。狙い目は跡地、かつての店舗配置、団地中央通りと広場との位置関係。,,,二俣団地ショッピングセンター,https://ameblo.jp/futamatadanchi/entry-12275189446.html,,,,
大阪府,堺市南区,原山台近隣センター旧商業区画,衰退・縮小,泉北ニュータウン初期の1972年に開業した原山台近隣センター。核店舗を置かない複数店舗の近隣センターとして、広場と地域会館を囲む商業区画が住民の日常を支えた。老朽化と商業機能の衰退を経て2022年に地域会館を残して土地・建物が解体され、従来の近隣センター商業空間は消滅した。跡地ではマンション建設が進み、現在の地域会館は商業区画の継承ではない。狙い目は解体前の建物配置、広場、地域会館との関係、跡地の住宅開発。,https://www.mlit.go.jp/common/001249044.pdf,,栂・美木多地区の近隣センターの現状（原山台）,https://www.kobekatsu.com/senboku-kinrin3/,,,,
大阪府,堺市南区,鴨谷台近隣センター旧商業区画,衰退・縮小,泉北ニュータウン末期の1984年に整備された鴨谷台近隣センターのうち、旧店舗・商業区画を記録する。鴨谷台は当初から大規模な店舗群ではなくコンビニ中心の小規模な商業機能だったが、その店舗跡地は住宅・マンション等へ建て替えられ、現在は自治会館と医院を中心とする別形態になった。近隣センター全体が消えたのではなく、旧商業区画だけが失われた事例である。狙い目は旧店舗位置、住宅化した跡地、自治会館・医院との機能転換。,https://www.city.sakai.lg.jp/shisei/toshi/senbokusaisei/gaiyou/keikaku/kinrin/index.files/kinrin_siryou.pdf,,光明池地区の近隣センターの現状（鴨谷台）,https://www.kobekatsu.com/senboku-kinrin4/,近隣センターの建替えに関する研究（日本建築学会）,https://www.jstage.jst.go.jp/article/aija/72/614/72_KJ00004573824/_pdf,,
埼玉県,春日部市,武里団地名店会旧中央商店街,衰退・縮小,昭和42年（1967年）開設の武里団地中央に、2街区と7街区の1・2階テナントを歩道橋で結んだ立体的な名店会が形成されていた。2009年の個人記録には解体直前の店舗配置と写真が残り、2010年9月までに退去、2011年に旧商業棟の解体が完了した。名店会と店舗はカスミ北側の新商業区画へ縮小移転しており、武里団地の商業機能全体ではなく、旧中央商店街・旧商業棟が消滅した事例である。狙い目は歩道橋、2・7街区の店舗配置、解体前の看板と移転後の比較。,https://www.ur-net.go.jp/business/saitama/takesato.html,,武里団地名店会（その1）,https://komonjotantei.hatenablog.com/entry/2023/06/27/002647,武里団地商店街撤去工事（2009年写真記録）,https://kumagayatozantai.ldblog.jp/archives/5023185.html,“新”武里団地名店会（移転後の記録）,https://kasukabe-jyohokan.seesaa.net/article/160923496.html
千葉県,千葉市花見川区,花見川団地商店街,現役,1968年に整備された約5700戸の花見川団地の中心商業区画。2024年にアーケード撤去と改修が行われ、空き店舗を活用した交流拠点や新規出店が続く。,,,団地の商店街暮らし・活動記録,https://house.muji.com/ur-hanamigawa/category/street/,,,,
千葉県,八千代市,村上団地商店街（むらかみモール）,現役,村上団地中央の商業区画。市役所支所、郵便局、医療機関、食品店などが残り、多文化交流とサービス店舗への転換が進む。,,,村上団地商店街の訪問・聞き取り記録,https://www.danchijournal.net/post/murakami1shoppingstreet,,,,
埼玉県,北本市,北本団地商店街,現役,北本団地のドーム型アーケード。空き店舗が目立つ時期を経ながら、ジャズ喫茶など新しい使われ方が加わっている。狙い目はアーケードと旧店舗区画。,,,北本団地商店街を歩く（写真訪問記）,https://junkissa.jp/blog-entry-2382.html,,,,
