都道府県,市区町村,店舗名・施設名,分類,説明・狙い目,公式サイト,Googleマップ,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL
岩手県,和賀郡西和賀町,スーパーオセン湯本本店,地域独自スーパー,西和賀の山間部で大規模な低価格販売を続ける地域スーパー。遠方からも特売と品揃えを目当てに訪れる店そのものが地域の目的地になっている。見るべきは山間の店舗外観、チラシ連動の大量陳列、鮮魚・惣菜の売場。8:30～19:30,https://www.superosen.biz/,https://www.google.com/maps/search/?api=1&query=%E5%B2%A9%E6%89%8B%E7%9C%8C%E5%92%8C%E8%B3%80%E9%83%A1%E8%A5%BF%E5%92%8C%E8%B3%80%E7%94%BA%E6%B9%AF%E6%9C%AC30%E5%9C%B0%E5%89%B278%E7%95%AA1,,,,,,
山梨県,北杜市,スーパーおの,地域独自スーパー,武川の小規模店で、地元野菜・刺身・手作り弁当や揚げ物を仕込み、アニメ「スーパーカブ」の舞台としてファンが訪れる。 日曜日休館。,https://sp-ono.com/,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E6%A2%A8%E7%9C%8C%E5%8C%97%E6%9D%9C%E5%B8%82%E6%AD%A6%E5%B7%9D%E7%94%BA%E4%B8%89%E5%90%B92157-1,スーパーおの（北杜市観光協会）,https://www.hokuto-kanko.jp/spot/supermarket_ono/,スーパーおの特徴・店舗情報,https://sp-ono.com/features/,,
大阪府,大阪市西成区,スーパー玉出 玉出店,地域独自スーパー,派手なネオン看板と24時間営業、極端な低価格の惣菜・食品で知られる大阪の小規模チェーン代表店。玉出店では外観の色彩、深夜営業の売場、値札と惣菜陳列にチェーン独自の文化が現れる。,https://supertamade.co.jp/store/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E6%88%90%E5%8C%BA%E7%8E%89%E5%87%BA%E4%B8%AD1-12-9,,,スーパー玉出1号店訪問記,https://ameblo.jp/ainailonan/entry-12053949209.html,スーパー玉出花園店の惣菜・ネオン記録,https://www.hotpepper.jp/mesitsu/entry/chimidoro/19-00087
北海道,根室市,タイエー西浜店,地域独自スーパー,根室市民のコンビニでありながら、注文後に焼く根室名物やきとり弁当、カルビー弁当、焼きたてパン、さんま節ラーメンを売るハセガワストア系の独自業態。6:00～24:00,https://www.taie1965.com/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%A0%B9%E5%AE%A4%E5%B8%82%E8%A5%BF%E6%B5%9C%E7%94%BA3%E4%B8%81%E7%9B%AE10%E7%95%AA%E5%9C%B0,タイエー西浜店（根室市観光協会）,https://nemuro-kankou.com/spot/spot1457/,,,,
山形県,山形市,エンドー,地域独自スーパー,1965年創業の家族経営スーパーで、名物げそ天を惣菜・弁当・おむすびに展開し、地元酒や山形の食材を組み合わせる。10:00-19:00,https://gesoten.jp/about/,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E5%BD%A2%E7%9C%8C%E5%B1%B1%E5%BD%A2%E5%B8%82%E9%95%B7%E7%94%BA2-1-33,エンドー現地訪問・げそ天の記録,https://www.driveplaza.com/trip/michinohosomichi/ver269/,,,,
青森県,西津軽郡鰺ヶ沢町,スーパーかさい,地域独自スーパー,鰺ヶ沢赤石地区で長年営業する地域唯一のスーパー。店主夫婦の手作り惣菜、津軽弁の接客、笹餅などの郷土食、布を再利用した手作り品まで扱い、買物・交流・高齢者支援を兼ねる。,https://www.town.ajigasawa.lg.jp/gyosei_jyoho/publiccomment/kokyokotukeikaku.files/kokyokotukeikaku_an.pdf,https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E6%A3%AE%E7%9C%8C%E8%A5%BF%E6%B4%A5%E8%BB%BD%E9%83%A1%E9%B0%BA%E3%83%B6%E6%B2%A2%E7%94%BA%E8%B5%A4%E7%9F%B3%E7%94%BA%E5%AD%97%E5%90%8D%E5%8E%9F16-1,スーパーかさいの手作り惣菜と津軽弁,https://san-tatsu.jp/tabite/articles/474920/,スーパーかさい（ATV地域番組）,https://newsdig.tbs.co.jp/articles/atv/2912338?page=2,,
徳島県,三好市,歩危マート（山口屋）,地域独自スーパー,大歩危の山間集落で、祖谷こんにゃく・祖谷とうふ・ぼけあげ・祖谷そばなど地場産品を集める小さな食料品店。8時〜19時30分,https://miyoshi-city.jp/spot/%E6%AD%A9%E5%8D%B1%E3%83%9E%E3%83%BC%E3%83%88/,https://www.google.com/maps/search/?api=1&query=%E5%BE%B3%E5%B3%B6%E7%9C%8C%E4%B8%89%E5%A5%BD%E5%B8%82%E8%A5%BF%E7%A5%96%E8%B0%B7%E5%B1%B1%E6%9D%91%E5%BE%B3%E5%96%84%E8%A5%BF7,,,,,,
山梨県,北杜市,ひまわり市場,地域独自スーパー,八ヶ岳南麓の高原で、地元野菜・鮮魚・寿司・加工品を独自に選び、商品を語る個性的なPOPと店主のマイクパフォーマンスで販売する。9時30分～19時30分,https://himawari-ichiba.com/,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E6%A2%A8%E7%9C%8C%E5%8C%97%E6%9D%9C%E5%B8%82%E5%A4%A7%E6%B3%89%E7%94%BA%E8%B0%B7%E6%88%B82008,,,,,,
沖縄県,石垣市,知念商会,地域独自スーパー,石垣島の食品店で、揚げ物を選んでおにぎりに挟む名物「オニササ」を店内で組み立てて食べる独自文化が生まれた。7:00～19:00,https://www.fmishigaki.jp/sponsor/509/,https://www.google.com/maps/search/?api=1&query=%E6%B2%96%E7%B8%84%E7%9C%8C%E7%9F%B3%E5%9E%A3%E5%B8%82%E7%99%BB%E9%87%8E%E5%9F%8E1249-18,知念商会「オニササ」紹介,https://www.evolride.com/ko/%E7%9F%A5%E5%BF%B5%E5%95%86%E4%BC%9A,オニササ誕生と知念商会の惣菜,https://news.nissyoku.co.jp/restaurant/hamada20141003044432197,,
北海道,稚内市,相沢食料百貨店,地域独自スーパー,大正11年創業、稚内駅近くで100年超営業する最北の食品スーパー。地元鮮魚・惣菜・無添加弁当・きたのはしベーカリーを一つの売場に集め、最果ての地域の台所と食文化の選択拠点になっている。9時～19時。 年中無休休館。,https://www.w-c-s.jp/aizawa/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E7%A8%9A%E5%86%85%E5%B8%82%E4%B8%AD%E5%A4%AE3%E4%B8%81%E7%9B%AE5-8,相沢食料百貨店会社概要,https://aizawafood.jimdoweb.com/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81/,,,,
岐阜県,高山市,ファミリーストアさとう ピュア店,地域独自スーパー,1959年創業の飛騨の食品スーパー。自社惣菜と飛騨食材、契約農家の「ひだっ子朝市」、飛騨グルメMAPを売場に組み込み、チェーン標準店ではなく地域の食文化を編集する。,https://www.tokutokusatou.com/company/shop/,https://www.google.com/maps/search/?api=1&query=%E5%B2%90%E9%98%9C%E7%9C%8C%E9%AB%98%E5%B1%B1%E5%B8%82%E8%A5%BF%E4%B9%8B%E4%B8%80%E8%89%B2%E7%94%BA3%E4%B8%81%E7%9B%AE1135,ファミリーストアさとう会社案内,https://www.tokutokusatou.com/company/,ファミリーストアさとう ピュア店チラシ,https://www.tokutokusatou.com/flyer/,,
