都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
静岡県,熱海市,ホテルニューアカオ,大型リゾートホテル,昭和レトロを感じるホテルニューアカオ宿泊ログ（2024）,https://iyakawa.hateblo.jp/entry/2024/06/15/115255,,,,,1973年開業の錦ヶ浦の断崖に建つ大型ホテル。オーシャン・ウイング、ホライゾン・ウイング、スパリウムニシキの3施設を連絡動線で結び、巨大なメインダイニング、宴会・会議空間、売店、ゲームコーナー、複数の温泉を内包する。狙い目：海側の大吹き抜け・メインダイニング錦、長い連絡通路、旧館と新館の切替、日帰り温泉利用時の共用部。,https://hotel-new-akao.com/,https://www.google.com/maps/search/?api=1&query=%E3%83%9B%E3%83%86%E3%83%AB%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A2%E3%82%AB%E3%82%AA%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E7%86%B1%E6%B5%B7%E5%B8%82,大型リゾート,,,公式サイト：https://hotel-new-akao.com/
和歌山県,東牟婁郡那智勝浦町,ホテル浦島,温泉リゾート,ホテル浦島の館内宿泊記,https://rtwtabizuki.com/domestichotel/7131/,,,,,1950年代から拡張された半島一帯の大型温泉ホテル。複数の館を長い連絡通路と日本一長いエスカレーターで結び、館内に忘帰洞・玄武洞などの天然洞窟風呂、宴会・食事・売店・ゲーム空間を組み込む。狙い目：浦島丸から館内へ入る動線、エスカレーター、なぎさ館通路、洞窟風呂へ向かう案内と階段。,https://urashimaresortsandspa.jp/wakayama-hotelurashima/,https://www.google.com/maps/search/?api=1&query=%E3%83%9B%E3%83%86%E3%83%AB%E6%B5%A6%E5%B3%B6%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E7%9C%8C%E6%9D%B1%E7%89%9F%E5%A9%81%E9%83%A1%E9%82%A3%E6%99%BA%E5%8B%9D%E6%B5%A6%E7%94%BA,大型リゾート,,,公式サイト：https://urashimaresortsandspa.jp/wakayama-hotelurashima/
和歌山県,西牟婁郡白浜町,ホテル川久,大型リゾートホテル,ホテル川久とは｜和歌山・白浜の“建築が主役”の宿,https://wakayama-odekake.com/hotel-kawakyu/,,,,,1993年竣工のバブル期大型リゾートホテル。巨大なエントランスホールを中心に、金箔天井、モザイク床、長い回廊、ロイヤルスパ、宴会・レストラン群を持ち、ホテルそのものが観光建築として成立する。狙い目：吹き抜けのドーム、金箔の柱と天井、階段・回廊、海側ラウンジとスパへの動線。,https://www.hotel-kawakyu.jp/,https://www.google.com/maps/search/?api=1&query=%E3%83%9B%E3%83%86%E3%83%AB%E5%B7%9D%E4%B9%85%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E7%9C%8C%E8%A5%BF%E7%89%9F%E5%A9%81%E9%83%A1%E7%99%BD%E6%B5%9C%E7%94%BA,大型リゾート,,,公式サイト：https://www.hotel-kawakyu.jp/
大分県,別府市,別府温泉 杉乃井ホテル,温泉リゾート,杉乃井ホテル館内マップ,https://sanroku-go.com/wp-content/uploads/2017/01/hotelmap.pdf,,,,,1950年代開業の観海寺温泉の大型リゾート。複数棟を高低差のある敷地で結び、棚湯、アクアガーデン、大宴会場、杉乃井ホール、SUGINOI BOWL & PARK、売店・レストランを館内外の長い動線で束ねる。狙い目：棟間を結ぶ連絡通路、宴会場前、棚湯へ向かうエレベーターホール、旧施設と新棟の境界。,https://suginoi.orixhotelsandresorts.com/,https://www.google.com/maps/search/?api=1&query=%E5%88%A5%E5%BA%9C%E6%B8%A9%E6%B3%89%20%E6%9D%89%E4%B9%83%E4%BA%95%E3%83%9B%E3%83%86%E3%83%AB%20%E5%A4%A7%E5%88%86%E7%9C%8C%E5%88%A5%E5%BA%9C%E5%B8%82,大型リゾート,,,公式サイト：https://suginoi.orixhotelsandresorts.com/
北海道,登別市,第一滝本館,大型温泉ホテル,,,,,,,1858年創業を起点に増築を重ねた登別温泉の大型ホテル。1500坪の別棟大浴場に5泉質・多数の浴槽を集め、ロビー、売店、宴会場、ゲームプラザ、プールを複数棟の館内動線で接続する。狙い目：フロント階から大浴場別棟へ向かう長い通路、湯上がりロビー、売店・ゲームプラザ、棟ごとの内装差。,https://takimotokan.co.jp/ja/,https://www.google.com/maps/search/?api=1&query=%E7%AC%AC%E4%B8%80%E6%BB%9D%E6%9C%AC%E9%A4%A8%20%E5%8C%97%E6%B5%B7%E9%81%93%E7%99%BB%E5%88%A5%E5%B8%82,大型リゾート,,,公式サイト：https://takimotokan.co.jp/ja/
北海道,有珠郡壮瞥町,洞爺サンパレス リゾート＆スパ,大型温泉リゾート,,,,,,,1978年開業の洞爺湖畔大型リゾート。湖面に開くロビー・ラウンジ、宴会場、ビュッフェ、Waterland、ゲームコーナー、売店、大浴場を一つの建物群に収める。館内フロア図から旧来の客室棟・浴場・娯楽施設の複雑な配置を読める。狙い目：湖側ロビー、地下ゲーム・売店周辺、Waterlandへの連絡、宴会場前の長い廊下。,https://www.toyasunpalace.co.jp/?p=55,https://www.google.com/maps/search/?api=1&query=%E6%B4%9E%E7%88%BA%E3%82%B5%E3%83%B3%E3%83%91%E3%83%AC%E3%82%B9%20%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88%EF%BC%86%E3%82%B9%E3%83%91%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%89%E7%8F%A0%E9%83%A1%E5%A3%AE%E7%9E%A5%E7%94%BA,大型リゾート,,,公式サイト：https://www.toyasunpalace.co.jp/?p=55
北海道,釧路市,あかん遊久の里 鶴雅,温泉リゾート,,,,,,,阿寒湖畔で昭和後期から増築された大型温泉ホテル。和風の本館・別館をつなぐロビー、土産物街、宴会場、複数の大浴場、ゲームコーナーを備え、湖畔観光と館内滞在を一体化している。狙い目：アイヌ意匠を配した吹き抜け、土産物売場から浴場へ向かう動線、別館接続部とゲームコーナー。,https://www.tsuruga.com/,https://www.google.com/maps/search/?api=1&query=%E3%81%82%E3%81%8B%E3%82%93%E9%81%8A%E4%B9%85%E3%81%AE%E9%87%8C%20%E9%B6%B4%E9%9B%85%20%E5%8C%97%E6%B5%B7%E9%81%93%E9%87%A7%E8%B7%AF%E5%B8%82,大型リゾート,,,公式サイト：https://www.tsuruga.com/
北海道,釧路市,ニュー阿寒ホテル,温泉リゾート,,,,,,,1970年代開業の阿寒湖畔大型ホテル。湖を望むロビー・展望大浴場、宴会場、ビュッフェ、売店、地下ゲームコーナーを内包し、団体旅行型の共用空間が残る。狙い目：フロント階の湖側ラウンジ、地下ゲーム空間、宴会場前のサイン、浴場へ下るエレベーターホール。,https://newakanhotel.co.jp/,https://www.google.com/maps/search/?api=1&query=%E3%83%8B%E3%83%A5%E3%83%BC%E9%98%BF%E5%AF%92%E3%83%9B%E3%83%86%E3%83%AB%20%E5%8C%97%E6%B5%B7%E9%81%93%E9%87%A7%E8%B7%AF%E5%B8%82,大型リゾート,,,公式サイト：https://newakanhotel.co.jp/
栃木県,日光市,鬼怒川温泉ホテル,大型温泉ホテル,,,,,,,1936年創業を起点に建替え・増築を重ねた鬼怒川温泉の大型ホテル。大浴場、宴会場、ブッフェ、売店、懐かしのゲームセンター、キッズ空間を館内にまとめ、団体温泉旅行の動線を現在も読める。狙い目：ロビーから大浴場・宴会場へ分岐する案内、ゲームセンター、長い客室廊下と吹き抜け。,https://www.kinugawaonsenhotel.com/,https://www.google.com/maps/search/?api=1&query=%E9%AC%BC%E6%80%92%E5%B7%9D%E6%B8%A9%E6%B3%89%E3%83%9B%E3%83%86%E3%83%AB%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E6%97%A5%E5%85%89%E5%B8%82,大型リゾート,,,公式サイト：https://www.kinugawaonsenhotel.com/
長野県,北佐久郡立科町,白樺リゾート 池の平ホテル,高原リゾートホテル,,,,,,,1955年開業の白樺湖畔大型リゾート。複数の客室棟・温泉・宴会場・ビュッフェ、RESORT FOOD HALL、屋内アミューズメント、売店を館内外の連絡動線で構成し、白樺リゾート全体の滞在拠点となる。狙い目：旧館と新館の接続、湖側ロビー、フードホール、温泉・屋内遊戯施設への案内と階段。,https://www.ikenotaira-hotel.co.jp/ikenotaira-hotel/,https://www.google.com/maps/search/?api=1&query=%E7%99%BD%E6%A8%BA%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88%20%E6%B1%A0%E3%81%AE%E5%B9%B3%E3%83%9B%E3%83%86%E3%83%AB%20%E9%95%B7%E9%87%8E%E7%9C%8C%E5%8C%97%E4%BD%90%E4%B9%85%E9%83%A1%E7%AB%8B%E7%A7%91%E7%94%BA,大型リゾート,,,公式サイト：https://www.ikenotaira-hotel.co.jp/ikenotaira-hotel/
