都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
岩手県,奥州市,奥州宇宙遊学館,宇宙・天文,奥州宇宙遊学館に行ってみた！！　宇宙ド素人が思った感想を正直にお話しします - 一般薬学生の日常,https://hukukazu2263.hatenablog.com/entry/uchuyugakukan-iwate,,,,,,http://uchuyugakukan.com/,https://www.google.com/maps/search/?api=1&query=%E5%A5%A5%E5%B7%9E%E5%AE%87%E5%AE%99%E9%81%8A%E5%AD%A6%E9%A4%A8%20%E5%B2%A9%E6%89%8B%E7%9C%8C%20%E5%A5%A5%E5%B7%9E%E5%B8%82,科学系施設,,,公式サイト：http://uchuyugakukan.com/
宮城県,仙台市,仙台市天文台,天文,文化の日、仙台市天文台に行ってきました。 : 仙台人が仙台観光をしているブログ,https://tanji-sendai.blog.jp/article/234667943.html,,,,,,https://www.sendai-astro.jp/,https://www.google.com/maps/search/?api=1&query=%E4%BB%99%E5%8F%B0%E5%B8%82%E5%A4%A9%E6%96%87%E5%8F%B0%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%20%E4%BB%99%E5%8F%B0%E5%B8%82,科学系施設,,,公式サイト：https://www.sendai-astro.jp/
栃木県,大田原市,大田原市ふれあいの丘天文館,天文,「大田原市ふれあいの丘天文館」訪台記,https://yamanon.seesaa.net/article/201501article_8.html,,,,,,http://www.fureai-tenmonkan.jp/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E7%94%B0%E5%8E%9F%E5%B8%82%E3%81%B5%E3%82%8C%E3%81%82%E3%81%84%E3%81%AE%E4%B8%98%E5%A4%A9%E6%96%87%E9%A4%A8%20%E6%A0%83%E6%9C%A8%E7%9C%8C%20%E5%A4%A7%E7%94%B0%E5%8E%9F%E5%B8%82,科学系施設,,,公式サイト：http://www.fureai-tenmonkan.jp/
埼玉県,加須市,加須未来館,科学・天文,実際に行ってみたツーリングスポット　加須未来館｜かぜなび,https://note.com/hiro_felice/n/nd3b611a29aeb,,,,,9時～17時。 火曜日休館。,https://www.city.kazo.lg.jp/soshiki/shougai/kazomiraikan/6606.html,https://www.google.com/maps/search/?api=1&query=%E5%8A%A0%E9%A0%88%E6%9C%AA%E6%9D%A5%E9%A4%A8%20%E5%9F%BC%E7%8E%89%E7%9C%8C%20%E5%8A%A0%E9%A0%88%E5%B8%82,科学系施設,,,公式サイト：https://www.city.kazo.lg.jp/soshiki/shougai/kazomiraikan/6606.html
千葉県,市川市,市川市少年自然の家 プラネタリウム,天文,,,,,,,,https://www.city.ichikawa.lg.jp/page/52380.html,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E5%B7%9D%E5%B8%82%E5%B0%91%E5%B9%B4%E8%87%AA%E7%84%B6%E3%81%AE%E5%AE%B6%20%E3%83%97%E3%83%A9%E3%83%8D%E3%82%BF%E3%83%AA%E3%82%A6%E3%83%A0%20%E5%8D%83%E8%91%89%E7%9C%8C%20%E5%B8%82%E5%B7%9D%E5%B8%82,科学系施設,,,公式サイト：https://www.city.ichikawa.lg.jp/page/52380.html
千葉県,船橋市,船橋市総合教育センタープラネタリウム館,天文,全国のプラネタリウムから 第１７５回 千葉県船橋市 船橋市総合教育センタープラネタリウム館 | 日々平安,https://ameblo.jp/k-orihira/entry-12829519605.html,,,,,月曜日休館。,http://www.city.funabashi.lg.jp/shisetsu/bunka/0002/0002/0001/p011085.html,https://www.google.com/maps/search/?api=1&query=%E8%88%B9%E6%A9%8B%E5%B8%82%E7%B7%8F%E5%90%88%E6%95%99%E8%82%B2%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%97%E3%83%A9%E3%83%8D%E3%82%BF%E3%83%AA%E3%82%A6%E3%83%A0%E9%A4%A8%20%E5%8D%83%E8%91%89%E7%9C%8C%20%E8%88%B9%E6%A9%8B%E5%B8%82,科学系施設,,,公式サイト：http://www.city.funabashi.lg.jp/shisetsu/bunka/0002/0002/0001/p011085.html
神奈川県,川崎市,かわさき宙と緑の科学館,天文・自然,かわさき宙と緑の科学館 - PM21:00南,https://pm21south.hatenablog.com/entry/2022/07/16/083217,,,,,9:30-17:00。 月曜日休館。,http://www.nature-kawasaki.jp/,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%82%8F%E3%81%95%E3%81%8D%E5%AE%99%E3%81%A8%E7%B7%91%E3%81%AE%E7%A7%91%E5%AD%A6%E9%A4%A8%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E5%B7%9D%E5%B4%8E%E5%B8%82,科学系施設,,,公式サイト：http://www.nature-kawasaki.jp/
富山県,黒部市,吉田科学館,科学・天文,,,,,,,9:00～17:00。 月曜日休館。,http://kysm.or.jp/,https://www.google.com/maps/search/?api=1&query=%E5%90%89%E7%94%B0%E7%A7%91%E5%AD%A6%E9%A4%A8%20%E5%AF%8C%E5%B1%B1%E7%9C%8C%20%E9%BB%92%E9%83%A8%E5%B8%82,科学系施設,,,公式サイト：http://kysm.or.jp/
静岡県,焼津市,ディスカバリーパーク焼津天文科学館,天文・科学,ディスカバリーパーク焼津天文科学館に行ってみた - maruku_2009のブログ,https://maruku-2009.hatenablog.com/entry/2026/06/17/203856,,,,,9:00～17:00,https://www.discoverypark.jp/,https://www.google.com/maps/search/?api=1&query=%E3%83%87%E3%82%A3%E3%82%B9%E3%82%AB%E3%83%90%E3%83%AA%E3%83%BC%E3%83%91%E3%83%BC%E3%82%AF%E7%84%BC%E6%B4%A5%E5%A4%A9%E6%96%87%E7%A7%91%E5%AD%A6%E9%A4%A8%20%E9%9D%99%E5%B2%A1%E7%9C%8C%20%E7%84%BC%E6%B4%A5%E5%B8%82,科学系施設,,,公式サイト：https://www.discoverypark.jp/
愛知県,半田市,半田空の科学館,天文・科学,半田空の科学館とダイ平水産に一歳の娘と行ってきた - アカパパchannel,https://akapapachannel.hatenablog.com/entry/2025/01/03/013026,,,,,９時～２１時。 月曜日休館。,https://sky-handa.com/,https://www.google.com/maps/search/?api=1&query=%E5%8D%8A%E7%94%B0%E7%A9%BA%E3%81%AE%E7%A7%91%E5%AD%A6%E9%A4%A8%20%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E5%8D%8A%E7%94%B0%E5%B8%82,科学系施設,,,公式サイト：https://sky-handa.com/
