都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
千葉県,千葉市中央区,千葉ポートタワー,展望塔・山頂施設,,,,,,,"1980年代タワー。展望階・エレベーターホール。
狙い目：地上から展望部へ移る経路と、上から街を見たときの建物の大きさの違いが狙い目。眺望と展望施設そのものを合わせて見る。",https://chiba-porttower.com/,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E3%83%9D%E3%83%BC%E3%83%88%E3%82%BF%E3%83%AF%E3%83%BC%20%E5%8D%83%E8%91%89%E7%9C%8C%20%E5%8D%83%E8%91%89%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA,ドリームコア,,,公式サイト：https://chiba-porttower.com/
鳥取県,境港市,夢みなとタワー,展望塔・山頂施設,,,,,,,"港湾博覧会系の展望塔。
狙い目：地上から展望部へ移る経路と、上から街を見たときの建物の大きさの違いが狙い目。眺望と展望施設そのものを合わせて見る。",https://www.yumeminatotower.gr.jp/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A2%E3%81%BF%E3%81%AA%E3%81%A8%E3%82%BF%E3%83%AF%E3%83%BC%20%E9%B3%A5%E5%8F%96%E7%9C%8C%20%E5%A2%83%E6%B8%AF%E5%B8%82,ドリームコア,,,公式サイト：https://www.yumeminatotower.gr.jp/
山口県,下関市,海峡ゆめタワー,展望塔・山頂施設,,,,,,,"1990年代の未来的展望塔。
狙い目：地上から展望部へ移る経路と、上から街を見たときの建物の大きさの違いが狙い目。眺望と展望施設そのものを合わせて見る。",http://www.yumetower.jp/,https://www.google.com/maps/search/?api=1&query=%E6%B5%B7%E5%B3%A1%E3%82%86%E3%82%81%E3%82%BF%E3%83%AF%E3%83%BC%20%E5%B1%B1%E5%8F%A3%E7%9C%8C%20%E4%B8%8B%E9%96%A2%E5%B8%82,ドリームコア,,,公式サイト：http://www.yumetower.jp/
富山県,小矢部市,クロスランドタワー,展望塔・山頂施設,,,,,,,"地方都市の巨大展望塔。
狙い目：地上から展望部へ移る経路と、上から街を見たときの建物の大きさの違いが狙い目。眺望と展望施設そのものを合わせて見る。",https://www.cross-oyabe.jp/,https://www.google.com/maps/search/?api=1&query=%E3%82%AF%E3%83%AD%E3%82%B9%E3%83%A9%E3%83%B3%E3%83%89%E3%82%BF%E3%83%AF%E3%83%BC%20%E5%AF%8C%E5%B1%B1%E7%9C%8C%20%E5%B0%8F%E7%9F%A2%E9%83%A8%E5%B8%82,ドリームコア,,,公式サイト：https://www.cross-oyabe.jp/
愛知県,名古屋市千種区,東山スカイタワー,展望塔・山頂施設,,,,,,,"1980年代末の展望塔。
狙い目：地上から展望部へ移る経路と、上から街を見たときの建物の大きさの違いが狙い目。眺望と展望施設そのものを合わせて見る。",http://www.higashiyamaskytower.jp/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E5%B1%B1%E3%82%B9%E3%82%AB%E3%82%A4%E3%82%BF%E3%83%AF%E3%83%BC%20%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA,ドリームコア,,,公式サイト：http://www.higashiyamaskytower.jp/
茨城県,水戸市,水戸芸術館タワー,展望塔・山頂施設,,,,,,,"幾何学的な塔と公共文化施設。
狙い目：地上から展望部へ移る経路と、上から街を見たときの建物の大きさの違いが狙い目。眺望と展望施設そのものを合わせて見る。",http://www.arttowermito.or.jp/,https://www.google.com/maps/search/?api=1&query=%E6%B0%B4%E6%88%B8%E8%8A%B8%E8%A1%93%E9%A4%A8%E3%82%BF%E3%83%AF%E3%83%BC%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%20%E6%B0%B4%E6%88%B8%E5%B8%82,ドリームコア,,,公式サイト：http://www.arttowermito.or.jp/
北海道,函館市,五稜郭タワー,展望塔・山頂施設,,,,,,,"展望施設として大型。
狙い目：地上から展望部へ移る経路と、上から街を見たときの建物の大きさの違いが狙い目。眺望と展望施設そのものを合わせて見る。",https://www.goryokaku-tower.co.jp/,https://www.google.com/maps/search/?api=1&query=%E4%BA%94%E7%A8%9C%E9%83%AD%E3%82%BF%E3%83%AF%E3%83%BC%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%87%BD%E9%A4%A8%E5%B8%82,リミナル,,,公式サイト：https://www.goryokaku-tower.co.jp/
北海道,札幌市南区,札幌もいわ山 山頂駅,展望塔・山頂施設,,,,,,,"ロープウェイ＋山頂施設。悪天候時も面白い。
狙い目：乗り物を降りた場所から屋外へ移る切り替わりに注目。山の景観と人工的な駅・待合の組み合わせを見る。",https://mt-moiwa.jp/,https://www.google.com/maps/search/?api=1&query=%E6%9C%AD%E5%B9%8C%E3%82%82%E3%81%84%E3%82%8F%E5%B1%B1%20%E5%B1%B1%E9%A0%82%E9%A7%85%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%8D%97%E5%8C%BA,ドリームコア,,,公式サイト：https://mt-moiwa.jp/
北海道,函館市,函館山ロープウェイ 山頂駅,展望塔・山頂施設,,,,,,,"巨大山頂待合・展望施設。
狙い目：乗り物を降りた場所から屋外へ移る切り替わりに注目。山の景観と人工的な駅・待合の組み合わせを見る。",http://334.co.jp/,https://www.google.com/maps/search/?api=1&query=%E5%87%BD%E9%A4%A8%E5%B1%B1%E3%83%AD%E3%83%BC%E3%83%97%E3%82%A6%E3%82%A7%E3%82%A4%20%E5%B1%B1%E9%A0%82%E9%A7%85%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%87%BD%E9%A4%A8%E5%B8%82,リミナル,,,公式サイト：http://334.co.jp/
青森県,青森市,八甲田ロープウェー 山頂公園駅,展望塔・山頂施設,,,,,,,"山頂駅という移行空間。
狙い目：乗り物を降りた場所から屋外へ移る切り替わりに注目。山の景観と人工的な駅・待合の組み合わせを見る。",https://hakkoda-ropeway.jp/,https://www.google.com/maps/search/?api=1&query=%E5%85%AB%E7%94%B2%E7%94%B0%E3%83%AD%E3%83%BC%E3%83%97%E3%82%A6%E3%82%A7%E3%83%BC%20%E5%B1%B1%E9%A0%82%E5%85%AC%E5%9C%92%E9%A7%85%20%E9%9D%92%E6%A3%AE%E7%9C%8C%20%E9%9D%92%E6%A3%AE%E5%B8%82,リミナル,,,公式サイト：https://hakkoda-ropeway.jp/
