都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
東京都,江東区,江東区総合区民センター,区民センター,江東区立城東図書館の訪問記・データ―東京図書館制覇！,https://tokyo-toshokan.net/00000269.htm,,,,,"図書館・福祉事務所・児童館・会議室・和室・研修室などが同居。複合公共施設として特におすすめ。
狙い目：共用部の案内をたどり、用途が切り替わる地点を観察する。施設同士の間を移動する経路も見る対象。",https://www.kcf.or.jp/sogo/access/,https://www.google.com/maps/search/?api=1&query=%E6%B1%9F%E6%9D%B1%E5%8C%BA%E7%B7%8F%E5%90%88%E5%8C%BA%E6%B0%91%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B1%9F%E6%9D%B1%E5%8C%BA,公共空間,,,公式サイト：https://www.kcf.or.jp/sogo/access/
東京都,北区,北区滝野川会館,区民会館,滝野川会館,https://ameblo.jp/yusuke--miura/entry-12547290005.html,,,,,"地下図書館・音楽スタジオ・サンクンガーデン・レストラン・文化センター。用途が混在する大型公共施設。
狙い目：共用部の案内をたどり、用途が切り替わる地点を観察する。施設同士の間を移動する経路も見る対象。",,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E5%8C%BA%E6%BB%9D%E9%87%8E%E5%B7%9D%E4%BC%9A%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%8C%97%E5%8C%BA,公共空間,,,
東京都,渋谷区,渋谷区立勤労福祉会館,勤労福祉施設,コインスペース渋谷に行ってみたので電源、WiFi雰囲気などのまとめ,https://ideasity.biz/shibuya-coin-space,,,,,"会議室・和室・体育設備。渋谷中心部に残る公共施設感。
狙い目：共用部の案内をたどり、用途が切り替わる地点を観察する。施設同士の間を移動する経路も見る対象。",https://www.city.shibuya.tokyo.jp/shisetsu/shuro/kinro/kinro.html,https://www.google.com/maps/search/?api=1&query=%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E5%8B%A4%E5%8A%B4%E7%A6%8F%E7%A5%89%E4%BC%9A%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B8%8B%E8%B0%B7%E5%8C%BA,公共空間,,,公式サイト：https://www.city.shibuya.tokyo.jp/shisetsu/shuro/kinro/kinro.html
東京都,目黒区,目黒区民センター,区民センター,驚いたプールのルール,https://ameblo.jp/sam0310032/entry-12810851737.html,,,,,"図書館や周辺公共施設を含む複合エリア。建物単体より一帯を歩くのがおすすめ。
狙い目：共用部の案内をたどり、用途が切り替わる地点を観察する。施設同士の間を移動する経路も見る対象。",http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/kumin_center/index.html,https://www.google.com/maps/search/?api=1&query=%E7%9B%AE%E9%BB%92%E5%8C%BA%E6%B0%91%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E7%9B%AE%E9%BB%92%E5%8C%BA,公共空間,,,公式サイト：http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/kumin_center/index.html
東京都,大田区,池上会館,区民会館,大田区立池上会館からの夜景（2022.3.23）,https://note.com/moonflower321/n/n7b8ad4fd8383,,,,,"展示ホール・視聴覚室・研修室・調理室・科学室・屋上庭園など。用途構成が多層的。
狙い目：案内図と公開されている共用部を照合し、用事の異なる利用者がどう移動するかを見たい。",http://www.city.ota.tokyo.jp/shisetsu/ikegamikaikan/,https://www.google.com/maps/search/?api=1&query=%E6%B1%A0%E4%B8%8A%E4%BC%9A%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%A4%A7%E7%94%B0%E5%8C%BA,公共空間,,,公式サイト：http://www.city.ota.tokyo.jp/shisetsu/ikegamikaikan/
東京都,北区,北とぴあ,文化・区民施設,JR王子駅前　北とぴあの展望フロアより,https://tabitha.hatenablog.com/entry/2026/02/12/152725,,,,,"ホール・会議室・上層階・展望空間。ホール周辺や廊下が狙い目。
狙い目：通路を歩く視線と、ロビーなどで立ち止まる視線の違いを見たい。利用者の移動を支える部分が対象。",http://www.hokutopia.jp/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E3%81%A8%E3%81%B4%E3%81%82%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%8C%97%E5%8C%BA,公共空間,,,公式サイト：http://www.hokutopia.jp/
東京都,荒川区,サンパール荒川,区民会館,まのさば朗読劇用のあれこれ,https://note.com/nifty_fowl6808/n/n61314fd8a8b2,,,,,"大型ホール・区役所隣接。行政施設群として見ると面白い。
狙い目：案内図と公開されている共用部を照合し、用事の異なる利用者がどう移動するかを見たい。",http://www.sunpearl-arakawa.com/,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%B3%E3%83%91%E3%83%BC%E3%83%AB%E8%8D%92%E5%B7%9D%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E8%8D%92%E5%B7%9D%E5%8C%BA,公共空間,,,公式サイト：http://www.sunpearl-arakawa.com/
東京都,板橋区,板橋区立グリーンホール,区民ホール,レンブラントのプロレス場放浪記　第4回〜MONDO PIECE〜,https://rembrandt38hentai.hatenablog.com/entry/2021/05/01/005955,,,,,"貸しホール・会議室。昭和〜平成の公共ホール感。
狙い目：案内図と公開されている共用部を照合し、用事の異なる利用者がどう移動するかを見たい。",https://www.itabashi-ci.org/greenhall/access/,https://www.google.com/maps/search/?api=1&query=%E6%9D%BF%E6%A9%8B%E5%8C%BA%E7%AB%8B%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%83%9B%E3%83%BC%E3%83%AB%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%9D%BF%E6%A9%8B%E5%8C%BA,公共空間,,,公式サイト：https://www.itabashi-ci.org/greenhall/access/
東京都,練馬区,練馬区生涯学習センター,生涯学習施設,,,,,,,"学習室・ホール系空間。生涯学習センター特有の事務的空間。
狙い目：案内図と公開されている共用部を照合し、用事の異なる利用者がどう移動するかを見たい。",https://www.city.nerima.tokyo.jp/shisetsu/bunka/kominkan/kominkan.html,https://www.google.com/maps/search/?api=1&query=%E7%B7%B4%E9%A6%AC%E5%8C%BA%E7%94%9F%E6%B6%AF%E5%AD%A6%E7%BF%92%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E7%B7%B4%E9%A6%AC%E5%8C%BA,公共空間,,,公式サイト：https://www.city.nerima.tokyo.jp/shisetsu/bunka/kominkan/kominkan.html
東京都,中野区,なかのZERO,文化複合施設,全国のプラネタリウムから ８４回目 東京都中野区 なかのZEROプラネタリウム,https://ameblo.jp/k-orihira/entry-12416646413.html,,,,,"ホール・図書館・学習室・プラネタリウム。建物全体を探索する価値あり。
狙い目：共用部の案内をたどり、用途が切り替わる地点を観察する。施設同士の間を移動する経路も見る対象。",https://www.naka-lab.jp/,https://www.google.com/maps/search/?api=1&query=%E3%81%AA%E3%81%8B%E3%81%AEZERO%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E4%B8%AD%E9%87%8E%E5%8C%BA,公共空間,,,公式サイト：https://www.naka-lab.jp/
東京都,江戸川区,江戸川区郷土資料室,郷土資料室,江戸川区郷土資料室を見学しました。!(^^)!,https://ameblo.jp/chiba-rekishi/entry-12926203582.html,,,,,"自治体資料室・展示ケース。小規模で事務的な雰囲気を狙える。
狙い目：展示ケースの並びと説明表示の高さを見たい。展示物だけでなく、自治体資料を見せる室内の構成も対象。",https://www.city.edogawa.tokyo.jp/e_bunkazai/bunkazai/shiryoshitsu/index.html,https://www.google.com/maps/search/?api=1&query=%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA%E9%83%B7%E5%9C%9F%E8%B3%87%E6%96%99%E5%AE%A4%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA,公共空間,,,公式サイト：https://www.city.edogawa.tokyo.jp/e_bunkazai/bunkazai/shiryoshitsu/index.html
東京都,国分寺市,東京都公文書館,公文書館,東京都公文書館に行ってきた,https://ameblo.jp/mizumizzo/entry-12856229059.html,,,,,"閲覧・保存・行政資料。アーカイブ施設として面白い。
狙い目：保存するための機能と、一般に見せる閲覧・展示の機能を分けて読む。公開された資料から建物の役割を理解したい。",https://www.soumu.metro.tokyo.lg.jp/01soumu/archives/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%85%AC%E6%96%87%E6%9B%B8%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%9B%BD%E5%88%86%E5%AF%BA%E5%B8%82,公共空間,,,公式サイト：https://www.soumu.metro.tokyo.lg.jp/01soumu/archives/
東京都,新宿区,新宿スポーツセンター,スポーツ施設,新宿スポーツセンター,https://ameblo.jp/habuyoichiro/entry-12791991465.html,,,,,"体育館・プール・ロッカー・観覧席。古い総合体育館系を狙う。
狙い目：競技や活動のための大空間と、そこへ入るまでの共用部分を比較したい。一般利用できる範囲で用途ごとの大きさの差を見る。",https://www.shinjuku-sportscenter.jp/,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E5%AE%BF%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%96%B0%E5%AE%BF%E5%8C%BA,公共空間,,,公式サイト：https://www.shinjuku-sportscenter.jp/
東京都,渋谷区,渋谷区スポーツセンター,スポーツ施設,渋谷区スポーツセンター,https://4travel.jp/travelogue/12052668,,,,,"体育館・プール・共用廊下。公共スポーツ施設特有の無機質感。
狙い目：通路を歩く視線と、ロビーなどで立ち止まる視線の違いを見たい。利用者の移動を支える部分が対象。",https://shibspo.com/,https://www.google.com/maps/search/?api=1&query=%E6%B8%8B%E8%B0%B7%E5%8C%BA%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B8%8B%E8%B0%B7%E5%8C%BA,公共空間,,,公式サイト：https://shibspo.com/
東京都,中央区,中央区立総合スポーツセンター,スポーツ施設,中央区総合スポーツセンター,https://deepacid.la.coocan.jp/travels/hamachopool.html,,,,,"体育館・プール・観覧スペース。平日昼間や閉館前が狙い目。
狙い目：競技や活動のための大空間と、そこへ入るまでの共用部分を比較したい。一般利用できる範囲で用途ごとの大きさの差を見る。",https://www.chuo-sports.jp/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%A4%AE%E5%8C%BA%E7%AB%8B%E7%B7%8F%E5%90%88%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E4%B8%AD%E5%A4%AE%E5%8C%BA,公共空間,,,公式サイト：https://www.chuo-sports.jp/
東京都,江東区,有明スポーツセンター,スポーツ施設,有明スポーツセンターのプール,https://ameblo.jp/ikunoikukyu/entry-12900704177.html,,,,,"体育館・プール・大型公共施設。湾岸公共施設の空間感。
狙い目：競技や活動のための大空間と、そこへ入るまでの共用部分を比較したい。一般利用できる範囲で用途ごとの大きさの差を見る。",http://www.koto-hsc.or.jp/sports_center4/,https://www.google.com/maps/search/?api=1&query=%E6%9C%89%E6%98%8E%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B1%9F%E6%9D%B1%E5%8C%BA,公共空間,,,公式サイト：http://www.koto-hsc.or.jp/sports_center4/
東京都,武蔵野市,武蔵野市民文化会館,文化会館,武蔵野市民文化会館　リニューアル内覧会,https://blog.livedoor.jp/go_wild/archives/52489759.html,,,,,"ホール・ロビー・階段・共用部。文化会館系。
狙い目：通路を歩く視線と、ロビーなどで立ち止まる視線の違いを見たい。利用者の移動を支える部分が対象。",https://www.musashino.or.jp/bunka/,https://www.google.com/maps/search/?api=1&query=%E6%AD%A6%E8%94%B5%E9%87%8E%E5%B8%82%E6%B0%91%E6%96%87%E5%8C%96%E4%BC%9A%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%AD%A6%E8%94%B5%E9%87%8E%E5%B8%82,公共空間,,,公式サイト：https://www.musashino.or.jp/bunka/
東京都,新宿区,新宿文化センター,文化会館,新宿文化センターの設備や周辺のお店,https://ameblo.jp/annee13/entry-12134065574.html,,,,,"大型ホール・ロビー・廊下。改修状況は要確認。
狙い目：通路を歩く視線と、ロビーなどで立ち止まる視線の違いを見たい。利用者の移動を支える部分が対象。",http://www.regasu-shinjuku.or.jp/bunka-center/,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E5%AE%BF%E6%96%87%E5%8C%96%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%96%B0%E5%AE%BF%E5%8C%BA,公共空間,,,公式サイト：http://www.regasu-shinjuku.or.jp/bunka-center/
東京都,新宿区,四谷区民ホール,区民ホール,[オペラ]　ヴェルディ／「リゴレット」（2020/02　さわかみオペラ）,https://blog.livedoor.jp/kzfj0409/archives/82253104.html,,,,,"ホール・公共複合施設。区民施設系。
狙い目：共用部の案内をたどり、用途が切り替わる地点を観察する。施設同士の間を移動する経路も見る対象。",https://shinjuku.hall-info.jp/yotsuya/,https://www.google.com/maps/search/?api=1&query=%E5%9B%9B%E8%B0%B7%E5%8C%BA%E6%B0%91%E3%83%9B%E3%83%BC%E3%83%AB%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%96%B0%E5%AE%BF%E5%8C%BA,公共空間,,,公式サイト：https://shinjuku.hall-info.jp/yotsuya/
東京都,杉並区,セシオン杉並,文化・社会教育施設,セシオン杉並 落成式に参加しました｡:*.ﾟ･*.,https://ameblo.jp/suginami-kuramoto/entry-12816367717.html,,,,,"ホール・会議室・共用空間。改修後は比較的新しい。
狙い目：通路を歩く視線と、ロビーなどで立ち止まる視線の違いを見たい。利用者の移動を支える部分が対象。",https://www.sesion-suginami.jp/,https://www.google.com/maps/search/?api=1&query=%E3%82%BB%E3%82%B7%E3%82%AA%E3%83%B3%E6%9D%89%E4%B8%A6%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%9D%89%E4%B8%A6%E5%8C%BA,公共空間,,,公式サイト：https://www.sesion-suginami.jp/
東京都,港区,麻布区民センター,区民センター,,,,,,,"区民ホール・会議室。都心に残る区民施設。
狙い目：案内図と公開されている共用部を照合し、用事の異なる利用者がどう移動するかを見たい。",https://www.city.minato.tokyo.jp/shisetsu/kumincenter/kumincenter/03.html,https://www.google.com/maps/search/?api=1&query=%E9%BA%BB%E5%B8%83%E5%8C%BA%E6%B0%91%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B8%AF%E5%8C%BA,公共空間,,,公式サイト：https://www.city.minato.tokyo.jp/shisetsu/kumincenter/kumincenter/03.html
