都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
東京都,江東区,江東区総合区民センター,区民センター,,,,,,,図書館・福祉事務所・児童館・会議室・和室・研修室などが同居。複合公共施設として特におすすめ。9:00～22:00。 月曜日休館。,https://www.kcf.or.jp/sogo/access/,https://www.google.com/maps/search/?api=1&query=%E6%B1%9F%E6%9D%B1%E5%8C%BA%E7%B7%8F%E5%90%88%E5%8C%BA%E6%B0%91%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B1%9F%E6%9D%B1%E5%8C%BA,公共空間,,,公式サイト：https://www.kcf.or.jp/sogo/access/
東京都,北区,北区滝野川会館,区民会館,,,,,,,地下図書館・音楽スタジオ・サンクンガーデン・レストラン・文化センター。用途が混在する大型公共施設。,,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E5%8C%BA%E6%BB%9D%E9%87%8E%E5%B7%9D%E4%BC%9A%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%8C%97%E5%8C%BA,公共空間,,,
東京都,渋谷区,渋谷区立勤労福祉会館,勤労福祉施設,コインスペース渋谷に行ってみたので電源、WiFi雰囲気などのまとめ,https://ideasity.biz/shibuya-coin-space,,,,,会議室・和室・体育設備。渋谷中心部に残る公共施設感。 月曜日休館。,https://www.city.shibuya.tokyo.jp/shisetsu/shuro/kinro/kinro.html,https://www.google.com/maps/search/?api=1&query=%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E5%8B%A4%E5%8A%B4%E7%A6%8F%E7%A5%89%E4%BC%9A%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B8%8B%E8%B0%B7%E5%8C%BA,公共空間,,,公式サイト：https://www.city.shibuya.tokyo.jp/shisetsu/shuro/kinro/kinro.html
東京都,目黒区,目黒区民センター,区民センター,驚いたプールのルール,https://ameblo.jp/sam0310032/entry-12810851737.html,,,,,図書館や周辺公共施設を含む複合エリア。建物単体より一帯を歩くのがおすすめ。,http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/kumin_center/index.html,https://www.google.com/maps/search/?api=1&query=%E7%9B%AE%E9%BB%92%E5%8C%BA%E6%B0%91%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E7%9B%AE%E9%BB%92%E5%8C%BA,公共空間,,,公式サイト：http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/kumin_center/index.html
東京都,大田区,池上会館,区民会館,大田区立池上会館からの夜景（2022.3.23）,https://note.com/moonflower321/n/n7b8ad4fd8383,,,,,展示ホール・視聴覚室・研修室・調理室・科学室・屋上庭園など。用途構成が多層的。,http://www.city.ota.tokyo.jp/shisetsu/ikegamikaikan/,https://www.google.com/maps/search/?api=1&query=%E6%B1%A0%E4%B8%8A%E4%BC%9A%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%A4%A7%E7%94%B0%E5%8C%BA,公共空間,,,公式サイト：http://www.city.ota.tokyo.jp/shisetsu/ikegamikaikan/
東京都,北区,北とぴあ,文化・区民施設,JR王子駅前　北とぴあの展望フロアより,https://tabitha.hatenablog.com/entry/2026/02/12/152725,,,,,ホール・会議室・上層階・展望空間。ホール周辺や廊下が。8:30～22:00,http://www.hokutopia.jp/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E3%81%A8%E3%81%B4%E3%81%82%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%8C%97%E5%8C%BA,公共空間,,,公式サイト：http://www.hokutopia.jp/
東京都,荒川区,サンパール荒川,区民会館,まのさば朗読劇用のあれこれ,https://note.com/nifty_fowl6808/n/n61314fd8a8b2,,,,,大型ホール・区役所隣接。行政施設群として見ると面白い。9:00～22:00,http://www.sunpearl-arakawa.com/,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%B3%E3%83%91%E3%83%BC%E3%83%AB%E8%8D%92%E5%B7%9D%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E8%8D%92%E5%B7%9D%E5%8C%BA,公共空間,,,公式サイト：http://www.sunpearl-arakawa.com/
東京都,板橋区,板橋区立グリーンホール,区民ホール,レンブラントのプロレス場放浪記　第4回〜MONDO PIECE〜,https://rembrandt38hentai.hatenablog.com/entry/2021/05/01/005955,,,,,貸しホール・会議室。昭和〜平成の公共ホール感。,https://www.itabashi-ci.org/greenhall/access/,https://www.google.com/maps/search/?api=1&query=%E6%9D%BF%E6%A9%8B%E5%8C%BA%E7%AB%8B%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%83%9B%E3%83%BC%E3%83%AB%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%9D%BF%E6%A9%8B%E5%8C%BA,公共空間,,,公式サイト：https://www.itabashi-ci.org/greenhall/access/
東京都,練馬区,練馬区生涯学習センター,生涯学習施設,,,,,,,学習室・ホール系空間。生涯学習センター特有の事務的空間。,https://www.city.nerima.tokyo.jp/shisetsu/bunka/kominkan/kominkan.html,https://www.google.com/maps/search/?api=1&query=%E7%B7%B4%E9%A6%AC%E5%8C%BA%E7%94%9F%E6%B6%AF%E5%AD%A6%E7%BF%92%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E7%B7%B4%E9%A6%AC%E5%8C%BA,公共空間,,,公式サイト：https://www.city.nerima.tokyo.jp/shisetsu/bunka/kominkan/kominkan.html
東京都,中野区,なかのZERO,文化複合施設,全国のプラネタリウムから ８４回目 東京都中野区 なかのZEROプラネタリウム,https://ameblo.jp/k-orihira/entry-12416646413.html,,,,,ホール・図書館・学習室・プラネタリウム。建物全体を探索する価値あり。,https://www.naka-lab.jp/,https://www.google.com/maps/search/?api=1&query=%E3%81%AA%E3%81%8B%E3%81%AEZERO%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E4%B8%AD%E9%87%8E%E5%8C%BA,公共空間,,,公式サイト：https://www.naka-lab.jp/
