都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
東京都,新宿区,伊勢丹新宿店「アイ・ガーデン」,百貨店屋上庭園,新宿伊勢丹の屋上、アイガーデン,https://ameblo.jp/ichigochan1/entry-12763910347.html,,,,,無料・営業時間内。芝生・雑木林。,https://www.mistore.jp/store/shinjuku.html,https://www.google.com/maps/search/?api=1&query=%E4%BC%8A%E5%8B%A2%E4%B8%B9%E6%96%B0%E5%AE%BF%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%96%B0%E5%AE%BF%E5%8C%BA,屋上・屋上庭園・公開テラス,,伊勢丹新宿店,公式サイト：https://www.mistore.jp/store/shinjuku.html
東京都,新宿区,新宿マルイ本館「Q-COURT」,商業施設屋上庭園,【新宿】芝生あり！マルイ本館屋上の英国式庭園Q-COURT,https://ameblo.jp/lunaluna1-2-3/entry-12770604081.html,,,,,無料・営業時間内。英国式庭園系。新宿の屋上定番。,https://www.0101.co.jp/003/,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E5%AE%BF%E3%83%9E%E3%83%AB%E3%82%A4%E6%9C%AC%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%96%B0%E5%AE%BF%E5%8C%BA,屋上・屋上庭園・公開テラス,,新宿マルイ本館,公式サイト：https://www.0101.co.jp/003/
東京都,新宿区,京王百貨店 新宿店「京王スカイガーデン」,百貨店屋上,京王スカイガーデン,https://ameblo.jp/sugapi1999/entry-11288337346.html,,,,,無料・営業時間内。昔ながらの百貨店屋上感が強い。,https://www.keionet.com/info/shinjuku/,https://www.google.com/maps/search/?api=1&query=%E4%BA%AC%E7%8E%8B%E7%99%BE%E8%B2%A8%E5%BA%97%20%E6%96%B0%E5%AE%BF%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%96%B0%E5%AE%BF%E5%8C%BA,屋上・屋上庭園・公開テラス,,京王百貨店 新宿店,公式サイト：https://www.keionet.com/info/shinjuku/
東京都,新宿区,新宿高島屋タイムズスクエア「上層階テラス・屋外空間」,商業施設高層テラス,【新宿】屋上庭園巡り③〜高島屋,https://ameblo.jp/walkingtake/entry-12782232673.html,,,,,無料・営業時間内。新宿駅南口の高層商業施設。,https://www.takashimaya.co.jp/shinjuku/timessquare/index.html,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E5%AE%BF%E9%AB%98%E5%B3%B6%E5%B1%8B%E3%82%BF%E3%82%A4%E3%83%A0%E3%82%BA%E3%82%B9%E3%82%AF%E3%82%A8%E3%82%A2%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%96%B0%E5%AE%BF%E5%8C%BA,屋上・屋上庭園・公開テラス,,新宿高島屋タイムズスクエア,公式サイト：https://www.takashimaya.co.jp/shinjuku/timessquare/index.html
東京都,新宿区,NEWoMan新宿「上層階屋外テラス」,駅ビル高層テラス,【新宿】屋上庭園「NEWoMAN」ひな祭りデザートを作ってみた,https://ameblo.jp/walkingtake/entry-12729857418.html,,,,,無料・営業時間内。駅直結で人工地盤感がある。11:00 ～ 20:30,https://www.newoman.jp/shinjuku/?utm_source,https://www.google.com/maps/search/?api=1&query=NEWoMan%E6%96%B0%E5%AE%BF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%96%B0%E5%AE%BF%E5%8C%BA,屋上・屋上庭園・公開テラス,,NEWoMan新宿,公式サイト：https://www.newoman.jp/shinjuku/?utm_source
東京都,渋谷区,東急プラザ表参道「オモカド」「おもはらの森」,商業施設屋上庭園,おでかけ⌇4歳1歳ワンオペ【おもはらの森（表参道）】,https://note.com/mo240/n/n2a5f73ec6b81,,,,,無料・営業時間内。木陰と階段状テラス。原宿交差点を見下ろす。,https://www.tokyu-plaza.com/omokado/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E6%80%A5%E3%83%97%E3%83%A9%E3%82%B6%E8%A1%A8%E5%8F%82%E9%81%93%E3%80%8C%E3%82%AA%E3%83%A2%E3%82%AB%E3%83%89%E3%80%8D%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B8%8B%E8%B0%B7%E5%8C%BA,屋上・屋上庭園・公開テラス,,東急プラザ表参道「オモカド」,公式サイト：https://www.tokyu-plaza.com/omokado/
東京都,渋谷区,東急プラザ原宿「ハラカド」「ルーフトップガーデン」,商業施設屋上庭園,原宿にオープンした「ハラカド」に行ってきた,https://ameblo.jp/ecott2/entry-12849422463.html,,,,,無料・営業時間内。6・7階屋上庭園。神宮前交差点を見下ろす。,https://www.tokyu-plaza.com/harakado/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E6%80%A5%E3%83%97%E3%83%A9%E3%82%B6%E5%8E%9F%E5%AE%BF%E3%80%8C%E3%83%8F%E3%83%A9%E3%82%AB%E3%83%89%E3%80%8D%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B8%8B%E8%B0%B7%E5%8C%BA,屋上・屋上庭園・公開テラス,,東急プラザ原宿「ハラカド」,公式サイト：https://www.tokyu-plaza.com/harakado/
東京都,渋谷区,渋谷PARCO「ROOFTOP PARK」,商業施設屋上公園,渋谷公園通り・青の洞窟～渋谷パルコ・リニューアル,https://ameblo.jp/cycle-train-camera/entry-12562927713.html,,,,,無料・営業時間内。階段・植栽・回遊動線がある屋上公園。,https://shibuya.parco.jp/?utm_source,https://www.google.com/maps/search/?api=1&query=%E6%B8%8B%E8%B0%B7PARCO%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B8%8B%E8%B0%B7%E5%8C%BA,屋上・屋上庭園・公開テラス,,渋谷PARCO,公式サイト：https://shibuya.parco.jp/?utm_source
東京都,渋谷区,MIYASHITA PARK「渋谷区立宮下公園」,屋上都市公園,新オープンした渋谷MIYASHITA PARKに行ってみた！,https://ameblo.jp/ol-yuuri/entry-12619836257.html,,,,,無料。11:00～21:00,https://mitsui-shopping-park.com/urban/miyashita/,https://www.google.com/maps/search/?api=1&query=MIYASHITA%20PARK%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B8%8B%E8%B0%B7%E5%8C%BA,屋上・屋上庭園・公開テラス,,MIYASHITA PARK,公式サイト：https://mitsui-shopping-park.com/urban/miyashita/
東京都,渋谷区,MAGNET by SHIBUYA109「MAG's PARK / CROSSING VIEW」,商業施設屋上,【渋谷スクランブル交差点を高所から眺めてみた】クロッシングビュー＠MAGNET,https://ameblo.jp/ru1163/entry-12416416330.html,,,,,利用条件あり。スクランブル交差点を上から見る屋上。10:00～21:00,https://magnetbyshibuya109.jp/,https://www.google.com/maps/search/?api=1&query=MAGNET%20by%20SHIBUYA109%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B8%8B%E8%B0%B7%E5%8C%BA,屋上・屋上庭園・公開テラス,,MAGNET by SHIBUYA109,公式サイト：https://magnetbyshibuya109.jp/
