都道府県,市区町村,店舗名・施設名,分類,説明・狙い目,公式サイト,Googleマップ,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL
東京都,武蔵野市,NTT武蔵野研究開発センタ,軍需工場跡・研究施設,現在はNTTの研究開発拠点。敷地は中島飛行機武蔵製作所の組立工場跡地の一部にあたり、航空機生産拠点から通信研究施設へ転用された土地の変化を読む。狙い目：公開道路から研究施設の敷地境界と周辺住宅地を観察する。,https://www.rd.ntt/,,,,,,,
東京都,武蔵野市,武蔵野中央公園,軍需工場跡・公園,現在は都立公園。中島飛行機武蔵製作所が置かれた土地で、工場跡が公園と住宅地へ変わった。狙い目：広い原っぱと周辺道路を旧工場配置と比較する。,https://www.tokyo-park.or.jp/park/musashinochuo/,,武蔵野市平和案内説明板マップ,https://www.city.musashino.lg.jp/heiwa_bunka_sports/heiwa/1015084.html,,,,
東京都,武蔵野市,グリーンパーク遊歩道（中島飛行機引込線跡）,軍用鉄道跡・遊歩道,現在は歩行者道。武蔵境駅から中島飛行機武蔵製作所へ資材を運んだ引込線の線形を歩ける。狙い目：直線的な遊歩道と工場跡地の位置関係を地図で照合する。,https://www.city.musashino.lg.jp/heiwa_bunka_sports/heiwa/1015084.html,,,,,,,
東京都,三鷹市,国際基督教大学本館,軍需研究所跡・大学,現在は大学本館。1944年に建てられた中島飛行機三鷹研究所の本館を戦後に大学施設へ転用している。狙い目：本館の外観と教育空間を研究所本館の履歴と重ねて見る。,https://www.icu.ac.jp/about/campus/,,旧中島飛行機三鷹研究所本館の紹介,https://www.icu.ac.jp/news/2511281000.html,,,,
東京都,北区,北区立中央公園文化センター,旧造兵廠本部・文化施設,現在は区民文化施設。昭和5年築の東京第一陸軍造兵廠本部建物を、米軍接収と返還を経て文化センターとして使う。狙い目：本部建築の外観、地下を含む階層構成、公園との位置関係。,https://www.city.kita.lg.jp/children-edu/adult-learning/1010206/1010207/1010208.html,,旧東京第一陸軍造兵廠本部事務所,https://with-tokyorekiken.metro.tokyo.lg.jp/tokyo-rekiken/906/,,,,
東京都,板橋区,陸軍板橋火薬製造所跡・加賀公園,火薬製造所跡・史跡,現在は加賀公園を中心とする国史跡。陸軍火薬製造・研究の敷地で、旧研究施設や弾道管などの遺構が残る。狙い目：石神井川沿いの敷地、保存遺構、公園の地形を歩く。,https://www.city.itabashi.tokyo.jp/bunka/bunkazi/1045996.html,,陸軍板橋火薬製造所跡（東京都文化財）,https://www.syougai.metro.tokyo.lg.jp/image/tokyobunkazai123.pdf,,,,
東京都,新宿区,戸山公園箱根山地区,軍学校跡・公園,現在は都立公園。箱根山一帯は陸軍戸山学校の敷地で、軍事教育施設の地形と戦後公園化の変化をたどれる。狙い目：箱根山の高低差、園路、旧軍用地境界を歩く。,https://www.tokyo-park.or.jp/park/toyama/,,,,,,,
東京都,新宿区,国立国際医療センター（旧陸軍軍医学校跡）,軍医学校跡・病院,現在は国立病院。敷地は旧陸軍軍医学校の所在地で、軍医教育・衛生研究の土地が医療施設へ継承された。狙い目：公開道路から病院敷地と戸山公園・旧軍学校跡の関係を歩く。,https://www.hosp.ncgm.go.jp/,,,,,,,
東京都,新宿区,防衛省市ヶ谷地区,軍司令部跡・現役防衛施設,現在は防衛省の庁舎地区。陸軍省・参謀本部などの所在地から戦後の防衛行政拠点へ継承された。狙い目：内部立入を前提にせず、外周から門・塀・市ヶ谷台の高低差を観察する。,https://www.mod.go.jp/,,,,,,,
東京都,千代田区,旧近衛師団司令部庁舎,旧軍司令部建築,現在も北の丸公園内に残る旧陸軍近衛師団司令部庁舎。戦後の文化施設化を経た建築で、皇居周辺の軍用地の変化を示す。狙い目：公開区域から煉瓦造の立面と北の丸の配置を見る。,https://www.kunaicho.go.jp/about/shisetsu/kitanomaru.html,,東京都文化財情報,https://www.syougai.metro.tokyo.lg.jp/image/tokyobunkazai123.pdf,,,,
東京都,中野区,中野四季の森公園・中野セントラルパーク,陸軍学校跡・公園複合施設,現在は公園と業務地区。旧陸軍中野学校を含む軍施設用地が戦後の警察大学校を経て再開発された。狙い目：公園・業務棟・道路の広がりを旧中野学校の敷地履歴と重ねる。,https://www.city.tokyo-nakano.lg.jp/kanko/machinami/shikinomori.html,,,,,,,
東京都,中野区,旧中野刑務所表門・平和の森公園,刑務所遺構・公園,現在は平和の森公園と保存門。豊多摩刑務所の表門が残り、戦時期の政治・思想弾圧と戦後公園化を現地で読める。狙い目：表門の煉瓦・石造部分と公園の対比。,https://www.city.tokyo-nakano.lg.jp/kanko/machinami/heiwa-no-mori.html,,,,,,,
東京都,練馬区,光が丘公園,旧飛行場・米軍住宅地・公園,現在は都立公園。戦時中の成増飛行場、戦後の米軍グラントハイツを経て公園と団地へ転用された。狙い目：広い園路と直線的な区画、光が丘団地との境界を歩く。,https://www.tokyo-park.or.jp/park/hikarigaoka/,,光が丘地区のまちづくり史,https://www.city.nerima.tokyo.jp/kusei/machi/kakuchiiki/hikarigaokachiku.html,,,,
