都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
東京都,文京区,好仁会東大病院店,,,,,,,,月〜金08:00～20:00、土〜日09:00～19:00,https://shop.tullys.co.jp/detail/1700197,https://www.google.com/maps/search/?api=1&query=%E5%A5%BD%E4%BB%81%E4%BC%9A%E6%9D%B1%E5%A4%A7%E7%97%85%E9%99%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E5%A4%A7%E5%AD%A6%E5%8C%BB%E5%AD%A6%E9%83%A8%E9%99%84%E5%B1%9E%E7%97%85%E9%99%A2%E5%86%85,,,,公式サイト:https://shop.tullys.co.jp/detail/1700197
東京都,練馬区,順天堂大学練馬病院店,,,,,,,,月〜金07:00～18:00、土07:30～17:00、日09:00～17:00,https://shop.tullys.co.jp/detail/1000848,https://www.google.com/maps/search/?api=1&query=%E9%A0%86%E5%A4%A9%E5%A0%82%E5%A4%A7%E5%AD%A6%E7%B7%B4%E9%A6%AC%E7%97%85%E9%99%A2%E5%BA%97%20%E9%A0%86%E5%A4%A9%E5%A0%82%E5%A4%A7%E5%AD%A6%E5%8C%BB%E5%AD%A6%E9%83%A8%E9%99%84%E5%B1%9E%E7%B7%B4%E9%A6%AC%E7%97%85%E9%99%A2%E5%86%85,,,,公式サイト:https://shop.tullys.co.jp/detail/1000848
東京都,江東区,がん研有明病院店,,,,,,,,月〜金07:30～18:00,https://shop.tullys.co.jp/detail/1000451,https://www.google.com/maps/search/?api=1&query=%E3%81%8C%E3%82%93%E7%A0%94%E6%9C%89%E6%98%8E%E7%97%85%E9%99%A2%E5%BA%97%20%E3%81%8C%E3%82%93%E7%A0%94%E6%9C%89%E6%98%8E%E7%97%85%E9%99%A2%E5%86%85,,,,公式サイト:https://shop.tullys.co.jp/detail/1000451
東京都,新宿区,国立国際医療センター店,,,,,,,,月〜金07:30～18:00,https://shop.tullys.co.jp/detail/1000845,https://www.google.com/maps/search/?api=1&query=%E5%9B%BD%E7%AB%8B%E5%9B%BD%E9%9A%9B%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E5%BA%97%20%E5%9B%BD%E7%AB%8B%E5%9B%BD%E9%9A%9B%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E5%86%85,,,,公式サイト:https://shop.tullys.co.jp/detail/1000845
東京都,武蔵野市,武蔵野赤十字病院店,,,,,,,,月〜金07:30～19:00、土09:00～15:00,https://shop.tullys.co.jp/detail/1003322,https://www.google.com/maps/search/?api=1&query=%E6%AD%A6%E8%94%B5%E9%87%8E%E8%B5%A4%E5%8D%81%E5%AD%97%E7%97%85%E9%99%A2%E5%BA%97%20%E6%AD%A6%E8%94%B5%E9%87%8E%E8%B5%A4%E5%8D%81%E5%AD%97%E7%97%85%E9%99%A2%E5%86%85,,,,公式サイト:https://shop.tullys.co.jp/detail/1003322
東京都,品川区,昭和医科大学病院店,,,,,,,,月〜金07:30～18:00、土07:30～17:00,https://shop.tullys.co.jp/detail/4910643,https://www.google.com/maps/search/?api=1&query=%E6%98%AD%E5%92%8C%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E7%97%85%E9%99%A2%E5%BA%97%20%E6%98%AD%E5%92%8C%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E7%97%85%E9%99%A2%E5%86%85,,,,公式サイト:https://shop.tullys.co.jp/detail/4910643
東京都,小平市,国立精神・神経医療研究センター店,,,,,,,,月〜金09:00～18:00,https://shop.tullys.co.jp/detail/1000594,https://www.google.com/maps/search/?api=1&query=%E5%9B%BD%E7%AB%8B%E7%B2%BE%E7%A5%9E%E3%83%BB%E7%A5%9E%E7%B5%8C%E5%8C%BB%E7%99%82%E7%A0%94%E7%A9%B6%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E5%BA%97%20%E5%9B%BD%E7%AB%8B%E7%B2%BE%E7%A5%9E%E3%83%BB%E7%A5%9E%E7%B5%8C%E5%8C%BB%E7%99%82%E7%A0%94%E7%A9%B6%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E5%86%85,,,,公式サイト:https://shop.tullys.co.jp/detail/1000594
東京都,新宿区,東京医科大学病院店,,,,,,,,月〜金07:00～18:00、土07:00～17:00,https://shop.tullys.co.jp/detail/1003076,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E7%97%85%E9%99%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E7%97%85%E9%99%A2%E5%86%85,,,,公式サイト:https://shop.tullys.co.jp/detail/1003076
東京都,大田区,東邦大森病院店,,,,,,,,月〜金08:00～18:00、土09:00～15:00、日10:00～15:00,https://shop.tullys.co.jp/detail/1690470,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E9%82%A6%E5%A4%A7%E6%A3%AE%E7%97%85%E9%99%A2%E5%BA%97%20%E6%9D%B1%E9%82%A6%E5%A4%A7%E5%AD%A6%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E5%A4%A7%E6%A3%AE%E7%97%85%E9%99%A2%E5%86%85,,,,公式サイト:https://shop.tullys.co.jp/detail/1690470
東京都,新宿区,東京女子医科大学病院店,,,,,,,,月〜金07:30～18:00、土08:00～16:00,https://shop.tullys.co.jp/detail/1000504,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E5%A5%B3%E5%AD%90%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E7%97%85%E9%99%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E5%A5%B3%E5%AD%90%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E7%97%85%E9%99%A2%E5%86%85,,,,公式サイト:https://shop.tullys.co.jp/detail/1000504
