都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
東京都,足立区,足立区生物園,生物園,足立区公式施設案内,https://www.city.adachi.tokyo.jp/k-iji/shisetsu/toshokan/2022seibutuen.html,,,,,元渕江公園内で蝶の大温室、年間飼育のホタル、昆虫ドーム、大水槽を一体的に見せる区立生物園。狙い目：温室・昆虫ドーム・ホタル展示を歩き、生物園型の都市環境学習空間を観察する。,https://seibutuen.jp/,,,,,
群馬県,桐生市,ぐんま昆虫の森,昆虫園,,,,,,,45haの里山に昆虫観察館、チョウの温室、雑木林・棚田・小川を組み合わせた県立施設。狙い目：館内展示だけでなく、再現里山を歩いて生息環境と展示を連続して見る。,https://www.pref.gunma.jp/site/giw/index-2.html,,,,,
石川県,白山市,石川県ふれあい昆虫館,昆虫館,石川県施設案内,https://www.pref.ishikawa.lg.jp/eizen/kaga/kontyuu/kontyuu.html,,,,,常設の放蝶温室「チョウの園」と石川県の昆虫を扱う展示室を備える県立昆虫館。狙い目：二層構成の展示空間と大きな放蝶温室の回遊動線。,https://www.furekon.jp/,,,,,
静岡県,磐田市,磐田市竜洋昆虫自然観察公園,昆虫自然観察公園,磐田市施設ガイド,https://www.city.iwata.shizuoka.jp/shisetsu_guide/koen_shisetsu/kouen/1005911.html,,,,,生きた昆虫を展示するこんちゅう館と、ビオトープ・観察ゾーンを一体運営する市立施設。狙い目：館内の生体展示から屋外の水辺・林へ連続する構成。,https://ryu-yo.jp/,,,,,
奈良県,橿原市,橿原市昆虫館,昆虫館,館内案内,https://www.city.kashihara.nara.jp/soshiki/1062/gyomu/1/5/3137.html,,,,,生態展示室、放蝶温室、飼育情報コーナーを恒常的に備える市立昆虫館。狙い目：標本室だけでなく、生態展示室と温室を巡る展示構成。,https://www.city.kashihara.nara.jp/kanko_bunka_sports/konchukan/index.html,,,,,
広島県,広島市,広島市森林公園こんちゅう館,昆虫館,,,,,,,森林公園内で常時50種1000頭以上の生きた昆虫を観察できる市立昆虫館。狙い目：パピヨンドームと森林公園の自然環境を一続きに体験する。,https://www.city.hiroshima.lg.jp/soshiki/121/18573.html,,,,,
福岡県,北九州市,北九州市ほたる館,水生生物館,北九州市観光情報,https://kitakyushucity.guide/spots/detail/166a8408-d925-4443-8703-cf7d84626a7a,,,,,ヘイケボタルを一年中飼育し、実験水路・せせらぎ水路も備える無料の環境学習施設。狙い目：屋内の発光展示と屋外水路を比較し、都市の水辺再生を観察する。,https://www.city.kitakyushu.lg.jp/shisetsu/menu06_00001.html,,,,,
福岡県,北九州市,香月・黒川ほたる館,水生生物館,,,,,,,黒川流域のホタルと水辺環境を扱う市立施設。狙い目：地域河川の生態系学習と、季節に左右されない展示解説を確認する。,https://www.city.kitakyushu.lg.jp/contents/05101142.html,,,,,
高知県,四万十市,四万十川学遊館あきついお,地域生態系館,高知県観光情報,https://kochi-tabi.jp/search_spot.html?id=1326,,,,,四万十川の淡水魚とトンボを中心に展示し、隣接するトンボ自然公園と環境学習を行う。狙い目：魚類水槽とトンボ保護区を歩き、流域生態系を屋内外で見る。,https://gakuyukan.com/,,,,,
栃木県,大田原市,なかがわ水遊園,淡水水族館,栃木県公式施設案内,https://www.pref.tochigi.lg.jp/g02/shisetsu/leisure/004.html,,,,,那珂川の魚から世界の淡水魚までを主題とする県立水族施設。狙い目：地域河川の展示と大水槽の淡水環境再現を見比べる。,https://www.tnap.jp/,,,,,
