都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
東京都,江東区,東京都虹の下水道館,上下水道,〖徹底比較〗東京都虹の下水道館と小平市ふれあい下水道館に行ってきた！,https://tabicoffret.com/article/81796/,,,,,"有明水再生センター5階にある東京都下水道局の広報施設。「レインボータウン」を舞台に、下水道管・ポンプ所・中央監視室・水質検査室での仕事を体験する構成。
狙い目：普段立ち入れないインフラの仕事場を、来館者向けの室内空間として再現している点。",https://www.nijinogesuidoukan.jp/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%99%B9%E3%81%AE%E4%B8%8B%E6%B0%B4%E9%81%93%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B1%9F%E6%9D%B1%E5%8C%BA,バックルーム,,,公式サイト：https://www.nijinogesuidoukan.jp/
東京都,江東区,東京都水の科学館,上下水道,〖暑い日に最適お出かけスポット〗東京都水の科学館に行ってみた,https://ameblo.jp/soratomon/entry-12910841485.html,東京都水の科学館に行ってきました！,https://kodomo-to-odekake.blog/mizunokagaku202307/,,,"水道PR館。人工的な水空間。
狙い目：水の流れと設備の役割を対応させて読む。地形と都市の暮らしをつなぐ展示の構成に注目。",http://www.mizunokagaku.jp/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B0%B4%E3%81%AE%E7%A7%91%E5%AD%A6%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B1%9F%E6%9D%B1%E5%8C%BA,リミナル,,,公式サイト：http://www.mizunokagaku.jp/
東京都,小平市,ふれあい下水道館,上下水道,下水道管の中へ・・・小平市ふれあい下水道館,https://urban-development.jp/blog/other/hureai-gesui/,ふれあい下水道館(小平市)で下水道見学,https://www.arinoki.com/diary/?id=154,モハメイドペーパーの　　　　　　何が出てくるか２ : 小平市ふれあい下水道館,https://jorc.livedoor.blog/archives/16717122.html,"実際の下水道管近くまで降りる展示。
狙い目：処理の順序と設備の配置を結び付けて見る。見学用の解説と、実際に水やごみが流れる経路の対応が狙い目。",,https://www.google.com/maps/search/?api=1&query=%E3%81%B5%E3%82%8C%E3%81%82%E3%81%84%E4%B8%8B%E6%B0%B4%E9%81%93%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%B0%8F%E5%B9%B3%E5%B8%82,バックルーム,,,
東京都,荒川区,旧三河島汚水処分場喞筒場施設,ダム・河川,散歩記録　旧三河島汚水処分場喞筒（ポンプ）場施設,https://note.com/osanpoyoshida/n/n47cdde8f9f49,旧三河島汚水処分場喞筒場施設に行ってきた　その１　2016 8/3,https://dreamshizuhama.blog.fc2.com/blog-entry-89.html,旧三河島汚水処分場喞筒場施設に行ってきた - 荒川区に住んでます-うちの夫観察絵日記-,https://www.arakawalove.com/archives/20180612,"近代下水処理施設。公開日に狙いたい。
狙い目：ポンプを扱うための建物・設備の大きさを、公開範囲から観察したい。現役の設備と保存された施設を区別して見る。",https://www.gesui.metro.tokyo.lg.jp/business/b4/guide/s-mikawa/,https://www.google.com/maps/search/?api=1&query=%E6%97%A7%E4%B8%89%E6%B2%B3%E5%B3%B6%E6%B1%9A%E6%B0%B4%E5%87%A6%E5%88%86%E5%A0%B4%E5%96%9E%E7%AD%92%E5%A0%B4%E6%96%BD%E8%A8%AD%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E8%8D%92%E5%B7%9D%E5%8C%BA,バックルーム,,,公式サイト：https://www.gesui.metro.tokyo.lg.jp/business/b4/guide/s-mikawa/
神奈川県,寒川町,神奈川県水道記念館,上下水道,神奈川県水道記念館・水の広場（寒川町）～日本で最初の広域水道 - 青空のスローな生活,https://kirakunist.hatenablog.com/entry/2025/10/21/200610,,,,,"旧ポンプ所系の水道資料館。
狙い目：ポンプを扱うための建物・設備の大きさを、公開範囲から観察したい。現役の設備と保存された施設を区別して見る。",https://www.pref.kanagawa.jp/docs/r4a/suidoukinenkan/suidoukinenkan.html,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%B0%B4%E9%81%93%E8%A8%98%E5%BF%B5%E9%A4%A8%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E5%AF%92%E5%B7%9D%E7%94%BA,リミナル,,,公式サイト：https://www.pref.kanagawa.jp/docs/r4a/suidoukinenkan/suidoukinenkan.html
神奈川県,横浜市保土ケ谷区,横浜市水道記念館,上下水道,水道記念館 - star-river blog,https://greenboxblog.blog.fc2.com/blog-entry-1401.html,,,,,"公共水道展示館。
狙い目：水の流れと設備の役割を対応させて読む。地形と都市の暮らしをつなぐ展示の構成に注目。",,https://www.google.com/maps/search/?api=1&query=%E6%A8%AA%E6%B5%9C%E5%B8%82%E6%B0%B4%E9%81%93%E8%A8%98%E5%BF%B5%E9%A4%A8%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%BF%9D%E5%9C%9F%E3%82%B1%E8%B0%B7%E5%8C%BA,リミナル,,,
東京都,北区,荒川知水資料館 amoA,ダム・河川,荒川知水資料館amoaの施設案内,https://www.ara-amoa.com/amoa%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6/%E8%8D%92%E5%B7%9D%E7%9F%A5%E6%B0%B4%E8%B3%87%E6%96%99%E9%A4%A8qanda/,,,,,"河川・治水展示館。
狙い目：水の流れと設備の役割を対応させて読む。地形と都市の暮らしをつなぐ展示の構成に注目。",https://www.ara-amoa.com/,https://www.google.com/maps/search/?api=1&query=%E8%8D%92%E5%B7%9D%E7%9F%A5%E6%B0%B4%E8%B3%87%E6%96%99%E9%A4%A8%20amoA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%8C%97%E5%8C%BA,バックルーム,,,公式サイト：https://www.ara-amoa.com/
埼玉県,春日部市,首都圏外郭放水路 地底探検ミュージアム 龍Q館,ダム・河川,埼玉県・春日部市にある巨大地下神殿〖首都圏外郭放水路〗に行ってきた！ - あずのけだらけブログ,https://azunokedarake.hatenablog.com/entry/2019/07/13/031216,,,,,"巨大地下放水路。見学予約前提。
狙い目：地下放水路の解説と、予約制の現地見学を区別して利用する。地上では見えない治水設備の大きさを読み取りたい。",https://gaikaku.jp/,https://www.google.com/maps/search/?api=1&query=%E9%A6%96%E9%83%BD%E5%9C%8F%E5%A4%96%E9%83%AD%E6%94%BE%E6%B0%B4%E8%B7%AF%20%E5%9C%B0%E5%BA%95%E6%8E%A2%E6%A4%9C%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0%20%E9%BE%8DQ%E9%A4%A8%20%E5%9F%BC%E7%8E%89%E7%9C%8C%20%E6%98%A5%E6%97%A5%E9%83%A8%E5%B8%82,バックルーム,,,公式サイト：https://gaikaku.jp/
茨城県,行方市,霞ヶ浦ふれあいランド,ダム・河川,霞ヶ浦ふれあいランド（茨城県行方） - 水辺遍路,https://bunbun.hatenablog.com/entry/2015/09/22/101029,,,,,"水辺公共施設＋展望塔系。
狙い目：案内図と公開されている共用部を照合し、用事の異なる利用者がどう移動するかを見たい。",https://namegata.mypl.net/shop/00000369105/,https://www.google.com/maps/search/?api=1&query=%E9%9C%9E%E3%83%B6%E6%B5%A6%E3%81%B5%E3%82%8C%E3%81%82%E3%81%84%E3%83%A9%E3%83%B3%E3%83%89%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%20%E8%A1%8C%E6%96%B9%E5%B8%82,ドリームコア,,,公式サイト：https://namegata.mypl.net/shop/00000369105/
滋賀県,大津市,アクア琵琶,ダム・河川,〈大津市〉入館料無料！体験しながら学ぶ水のめぐみ館アクア琵琶に行って来ました♪ - 滋賀のママがイベント・育児・遊び・学びを発信 | シガマンマ｜ピースマム,https://news.p-mom.net/2019/06/09/%E3%80%88%E5%A4%A7%E6%B4%A5%E5%B8%82%E3%80%89%E5%85%A5%E9%A4%A8%E6%96%99%E7%84%A1%E6%96%99%EF%BC%81%E4%BD%93%E9%A8%93%E3%81%97%E3%81%AA%E3%81%8C%E3%82%89%E5%AD%A6%E3%81%B6%E6%B0%B4%E3%81%AE%E3%82%81/,,,,,"琵琶湖・治水系展示。
狙い目：水の流れと設備の役割を対応させて読む。地形と都市の暮らしをつなぐ展示の構成に注目。",https://www.kkr.mlit.go.jp/biwako/aquabiwa/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%82%AF%E3%82%A2%E7%90%B5%E7%90%B6%20%E6%BB%8B%E8%B3%80%E7%9C%8C%20%E5%A4%A7%E6%B4%A5%E5%B8%82,バックルーム,,,公式サイト：https://www.kkr.mlit.go.jp/biwako/aquabiwa/
