都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
埼玉県,寄居町,埼玉県立川の博物館,河川・自然史,埼玉県立川の博物館に行ってきた！ | みはたーぼ、のほほん日記,https://ameblo.jp/mihata-bo/entry-12760135262.html,,,,,巨大水車・河川展示。9:00～17:00。 月曜日休館。1997年開館。,https://www.river-museum.jp/,https://www.google.com/maps/search/?api=1&query=%E5%9F%BC%E7%8E%89%E7%9C%8C%E7%AB%8B%E5%B7%9D%E3%81%AE%E5%8D%9A%E7%89%A9%E9%A4%A8%20%E5%9F%BC%E7%8E%89%E7%9C%8C%20%E5%AF%84%E5%B1%85%E7%94%BA,ドリームコア,,,"公式サイト：https://www.river-museum.jp/
Wikipedia：https://ja.wikipedia.org/wiki/%E5%9F%BC%E7%8E%89%E7%9C%8C%E7%AB%8B%E5%B7%9D%E3%81%AE%E5%8D%9A%E7%89%A9%E9%A4%A8"
滋賀県,草津市,琵琶湖博物館,水環境・総合博物館,『琵琶湖博物館』に行って、琵琶湖の世界を歩いてきた｜結城 弘 / 小説家・ライター,https://note.com/hirosuke07/n/n4b1f6a49b969,,,,,水環境展示。9時30分 - 17時00分。 月曜日休館。1996年竣工。,https://www.biwahaku.jp/,https://www.google.com/maps/search/?api=1&query=%E7%90%B5%E7%90%B6%E6%B9%96%E5%8D%9A%E7%89%A9%E9%A4%A8%20%E6%BB%8B%E8%B3%80%E7%9C%8C%20%E8%8D%89%E6%B4%A5%E5%B8%82,リミナル,,,"公式サイト：https://www.biwahaku.jp/
Wikipedia：https://ja.wikipedia.org/wiki/%E7%90%B5%E7%90%B6%E6%B9%96%E5%8D%9A%E7%89%A9%E9%A4%A8"
福岡県,北九州市門司区,海峡ドラマシップ,港湾・歴史展示,福岡出張　～門司港レトロ　関門海峡ミュージアム～ - Girl's Be Ambitious,https://girlsbe-ambitious.hatenablog.com/entry/2026/02/19/020000,,,,,巨大屋内展示＋港湾。2003年開館。,,https://www.google.com/maps/search/?api=1&query=%E6%B5%B7%E5%B3%A1%E3%83%89%E3%83%A9%E3%83%9E%E3%82%B7%E3%83%83%E3%83%97%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E9%96%80%E5%8F%B8%E5%8C%BA,ドリームコア,,,
福岡県,北九州市門司区,関門海峡ミュージアム,港湾・歴史展示,福岡出張　～門司港レトロ　関門海峡ミュージアム～ - Girl's Be Ambitious,https://girlsbe-ambitious.hatenablog.com/entry/2026/02/19/020000,,,,,港湾展示と大規模吹き抜け。9:00～17:00。2003年開館。,https://mojiko-retoro9.jp/spot/kanmon_kaikyo_museum/,https://www.google.com/maps/search/?api=1&query=%E9%96%A2%E9%96%80%E6%B5%B7%E5%B3%A1%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E9%96%80%E5%8F%B8%E5%8C%BA,ドリームコア,,,"公式サイト：https://mojiko-retoro9.jp/spot/kanmon_kaikyo_museum/
Wikipedia：https://ja.wikipedia.org/wiki/%E9%96%A2%E9%96%80%E6%B5%B7%E5%B3%A1%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0"
富山県,立山町,立山カルデラ砂防博物館,防災・砂防,大自然と人の「攻防と共存」の歴史！立山カルデラ砂防博物館に行ってみた｜Tadayoshi Kasai,https://note.com/tadayoshi85/n/n1c69d5f5042f,,,,,砂防・山岳インフラ展示。,http://www.tatecal.or.jp/tatecal/index.html,https://www.google.com/maps/search/?api=1&query=%E7%AB%8B%E5%B1%B1%E3%82%AB%E3%83%AB%E3%83%87%E3%83%A9%E7%A0%82%E9%98%B2%E5%8D%9A%E7%89%A9%E9%A4%A8%20%E5%AF%8C%E5%B1%B1%E7%9C%8C%20%E7%AB%8B%E5%B1%B1%E7%94%BA,リミナル,,,"公式サイト：http://www.tatecal.or.jp/tatecal/index.html
Wikipedia：https://ja.wikipedia.org/wiki/%E7%AB%8B%E5%B1%B1%E3%82%AB%E3%83%AB%E3%83%87%E3%83%A9%E7%A0%82%E9%98%B2%E5%8D%9A%E7%89%A9%E9%A4%A8"
千葉県,柏市,千葉大学環境健康フィールド科学センター,研究・植物施設,「千葉大学 柏の葉キャンパス」構内の通り抜け通路を散策してきた : 柏の葉サイクルライフ,https://kashiwanoha-cycle-life.blog.jp/archives/51840479.html,,,,,大学の研究・栽培施設としての雰囲気が中心。,http://www.fc.chiba-u.jp/,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E5%A4%A7%E5%AD%A6%E7%92%B0%E5%A2%83%E5%81%A5%E5%BA%B7%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%E3%83%89%E7%A7%91%E5%AD%A6%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E6%9F%8F%E5%B8%82%20%E5%8D%83%E8%91%89%E7%9C%8C%20%E6%97%A5%E6%9C%AC,植物園・温室,,,公式サイト：http://www.fc.chiba-u.jp/
北海道,札幌市,札幌市青少年科学館,科学館,札幌市青少年科学館（札幌市公式案内）,https://www.city.sapporo.jp/kyoiku/shogaikyoiku/kagaku_ibento.html,,,,,9:00〜17:00。1981年開館。,https://www.ssc.slp.or.jp/,https://www.google.com/maps/search/?api=1&query=%E6%9C%AD%E5%B9%8C%E5%B8%82%E9%9D%92%E5%B0%91%E5%B9%B4%E7%A7%91%E5%AD%A6%E9%A4%A8%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%9C%AD%E5%B9%8C%E5%B8%82,科学系施設,,,"公式サイト：https://www.ssc.slp.or.jp/
Wikipedia：https://ja.wikipedia.org/wiki/%E6%9C%AD%E5%B9%8C%E5%B8%82%E9%9D%92%E5%B0%91%E5%B9%B4%E7%A7%91%E5%AD%A6%E9%A4%A8"
北海道,旭川市,旭川市科学館 サイパル,科学館,旭川市科学館サイパル - ふうと旅行とたべあるく。,https://fuand.hatenablog.com/entry/2025/09/13/213142,,,,,9:30～17:00。2005年竣工。,http://www.city.asahikawa.hokkaido.jp/science/,https://www.google.com/maps/search/?api=1&query=%E6%97%AD%E5%B7%9D%E5%B8%82%E7%A7%91%E5%AD%A6%E9%A4%A8%20%E3%82%B5%E3%82%A4%E3%83%91%E3%83%AB%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%97%AD%E5%B7%9D%E5%B8%82,科学系施設,,,"公式サイト：http://www.city.asahikawa.hokkaido.jp/science/
Wikipedia：https://ja.wikipedia.org/wiki/%E6%97%AD%E5%B7%9D%E5%B8%82%E7%A7%91%E5%AD%A6%E9%A4%A8_%E3%82%B5%E3%82%A4%E3%83%91%E3%83%AB"
北海道,苫小牧市,苫小牧市科学センター,科学館,〖北海道〗苫小牧市科学センターの展示機 - 用廃機ハンターが行く！,https://wrecks.hatenablog.com/entry/2022/07/30/201505,,,,,9時30分～17時。1970年竣工。,https://www.city.tomakomai.hokkaido.jp/kagaku/,https://www.google.com/maps/search/?api=1&query=%E8%8B%AB%E5%B0%8F%E7%89%A7%E5%B8%82%E7%A7%91%E5%AD%A6%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E8%8B%AB%E5%B0%8F%E7%89%A7%E5%B8%82,科学系施設,,,"公式サイト：https://www.city.tomakomai.hokkaido.jp/kagaku/
Wikipedia：https://ja.wikipedia.org/wiki/%E8%8B%AB%E5%B0%8F%E7%89%A7%E5%B8%82%E7%A7%91%E5%AD%A6%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC"
北海道,室蘭市,DENZAI環境科学館,科学・環境,〖室蘭市〗えみらんDENZAI環境科学館に行ってきたよ　その1　2026.4.12 - 風月を友とする,https://kazetotuki.hatenadiary.com/entry/2026/05/10/000000,,,,,10:00～17:00。 月曜日休館。2021年開館。,https://www.kujiran.net/emiran/kagakukan/,https://www.google.com/maps/search/?api=1&query=DENZAI%E7%92%B0%E5%A2%83%E7%A7%91%E5%AD%A6%E9%A4%A8%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%AE%A4%E8%98%AD%E5%B8%82,科学系施設,,,"公式サイト：https://www.kujiran.net/emiran/kagakukan/
Wikipedia：https://ja.wikipedia.org/wiki/DENZAI%E7%92%B0%E5%A2%83%E7%A7%91%E5%AD%A6%E9%A4%A8"
