都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
茨城県,小美玉市,茨城空港,空港,,,,,,,小規模空港の大きな待合空間。,http://www.ibaraki-airport.net/,https://www.google.com/maps/search/?api=1&query=%E8%8C%A8%E5%9F%8E%E7%A9%BA%E6%B8%AF%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%20%E5%B0%8F%E7%BE%8E%E7%8E%89%E5%B8%82,リミナル,,,公式サイト：http://www.ibaraki-airport.net/
福島県,玉川村,福島空港,空港,,,,,,,展望・ロビーが。,http://www.fks-ab.co.jp/,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B3%B6%E7%A9%BA%E6%B8%AF%20%E7%A6%8F%E5%B3%B6%E7%9C%8C%20%E7%8E%89%E5%B7%9D%E6%9D%91,リミナル,,,公式サイト：http://www.fks-ab.co.jp/
富山県,富山市,富山きときと空港,空港,,,,,,,,https://www.toyama-airport.co.jp/,https://www.google.com/maps/search/?api=1&query=%E5%AF%8C%E5%B1%B1%E3%81%8D%E3%81%A8%E3%81%8D%E3%81%A8%E7%A9%BA%E6%B8%AF%20%E5%AF%8C%E5%B1%B1%E7%9C%8C%20%E5%AF%8C%E5%B1%B1%E5%B8%82,リミナル,,,公式サイト：https://www.toyama-airport.co.jp/
石川県,輪島市,能登空港,空港,,,,,,,,http://www.noto-airport.jp/,https://www.google.com/maps/search/?api=1&query=%E8%83%BD%E7%99%BB%E7%A9%BA%E6%B8%AF%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%20%E8%BC%AA%E5%B3%B6%E5%B8%82,リミナル,,,公式サイト：http://www.noto-airport.jp/
鳥取県,鳥取市,鳥取砂丘コナン空港,空港,,,,,,,地方空港の長い待合・展望動線。,http://www.ttj-ap-bld.co.jp/,https://www.google.com/maps/search/?api=1&query=%E9%B3%A5%E5%8F%96%E7%A0%82%E4%B8%98%E3%82%B3%E3%83%8A%E3%83%B3%E7%A9%BA%E6%B8%AF%20%E9%B3%A5%E5%8F%96%E7%9C%8C%20%E9%B3%A5%E5%8F%96%E5%B8%82,リミナル,,,公式サイト：http://www.ttj-ap-bld.co.jp/
鳥取県,境港市,米子鬼太郎空港,空港,,,,,,,,http://www.yonago-air.com/,https://www.google.com/maps/search/?api=1&query=%E7%B1%B3%E5%AD%90%E9%AC%BC%E5%A4%AA%E9%83%8E%E7%A9%BA%E6%B8%AF%20%E9%B3%A5%E5%8F%96%E7%9C%8C%20%E5%A2%83%E6%B8%AF%E5%B8%82,リミナル,,,公式サイト：http://www.yonago-air.com/
島根県,出雲市,出雲縁結び空港,空港,,,,,,,地方空港の人工的な待合空間。,http://www.izumo-airport.co.jp/,https://www.google.com/maps/search/?api=1&query=%E5%87%BA%E9%9B%B2%E7%B8%81%E7%B5%90%E3%81%B3%E7%A9%BA%E6%B8%AF%20%E5%B3%B6%E6%A0%B9%E7%9C%8C%20%E5%87%BA%E9%9B%B2%E5%B8%82,リミナル,,,公式サイト：http://www.izumo-airport.co.jp/
山口県,宇部市,山口宇部空港,空港,,,,,,,地方空港・ガラス張りターミナル。,http://www.yamaguchiube-airport.jp/,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E5%8F%A3%E5%AE%87%E9%83%A8%E7%A9%BA%E6%B8%AF%20%E5%B1%B1%E5%8F%A3%E7%9C%8C%20%E5%AE%87%E9%83%A8%E5%B8%82,リミナル,,,公式サイト：http://www.yamaguchiube-airport.jp/
福岡県,北九州市小倉南区,北九州空港,空港,,,,,,,夜間が強い。,http://www.kitakyu-air.jp/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E4%B9%9D%E5%B7%9E%E7%A9%BA%E6%B8%AF%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%B0%8F%E5%80%89%E5%8D%97%E5%8C%BA,リミナル,,,公式サイト：http://www.kitakyu-air.jp/
佐賀県,佐賀市,佐賀空港,空港,,,,,,,,http://saga-ab.jp/,https://www.google.com/maps/search/?api=1&query=%E4%BD%90%E8%B3%80%E7%A9%BA%E6%B8%AF%20%E4%BD%90%E8%B3%80%E7%9C%8C%20%E4%BD%90%E8%B3%80%E5%B8%82,リミナル,,,公式サイト：http://saga-ab.jp/
