都道府県,市区町村,店舗名・施設名,分類,評価,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名
東京都,東京都,東京都「東京デジタルアーカイブ」,昔の街,A,東京都が撮影してきた都政記録写真。昔の街、公共施設、道路、再開発などを見られる。,https://www.koho.metro.tokyo.lg.jp/photo/tokyoarchive/index.html,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%9D%B1%E4%BA%AC%E9%83%BD,自治体ウェブ資料,,
東京都,東京都下水道局,東京都下水道局「水再生センター一覧」,下水道,S,芝浦、三河島、砂町、有明、落合、森ヶ崎などの水再生センターを横断して見られる。,https://www.gesui.metro.tokyo.lg.jp/pr/kengaku/guide/sise-list,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%8B%E6%B0%B4%E9%81%93%E5%B1%80%20%E6%9D%B1%E4%BA%AC%E9%83%BD,自治体ウェブ資料,,
東京都,東京都下水道局,東京都下水道局「見学案内」,下水道,S,水再生センター、蔵前水の館、旧三河島汚水処分場喞筒場などへの入口。,https://www.gesui.metro.tokyo.lg.jp/pr/kengaku/guide,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%8B%E6%B0%B4%E9%81%93%E5%B1%80%20%E6%9D%B1%E4%BA%AC%E9%83%BD,自治体ウェブ資料,,
東京都,東京都下水道局,東京都下水道局「落合水再生センター」,下水道,S,新宿区上落合にある水再生センター。中野からも行きやすい。,https://www.gesui.metro.tokyo.lg.jp/pr/kouhou/shisetsu/44994,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%8B%E6%B0%B4%E9%81%93%E5%B1%80%20%E6%9D%B1%E4%BA%AC%E9%83%BD,自治体ウェブ資料,,
東京都,東京都下水道局,東京都下水道局「砂町水再生センター」,下水道,S,東部スラッジプラントを併設。汚泥処理まで含めて施設構成が面白い。,https://www.gesui.metro.tokyo.lg.jp/pr/kouhou/shisetsu/44991,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%8B%E6%B0%B4%E9%81%93%E5%B1%80%20%E6%9D%B1%E4%BA%AC%E9%83%BD,自治体ウェブ資料,,
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合「工場見学」,清掃工場,S,23区の清掃工場を横断して探せる。各工場の清掃工場だよりなども面白い。,https://www.union.tokyo23-seisou.lg.jp/kengaku/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E4%BA%8C%E5%8D%81%E4%B8%89%E5%8C%BA%E6%B8%85%E6%8E%83%E4%B8%80%E9%83%A8%E4%BA%8B%E5%8B%99%E7%B5%84%E5%90%88%20%E6%9D%B1%E4%BA%AC%E9%83%BD,自治体ウェブ資料,,
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合「多摩川清掃工場」,清掃工場,S,過去の清掃工場だよりが多数残っている。,https://www.union.tokyo23-seisou.lg.jp/kojo/tamagawa/index.html,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E4%BA%8C%E5%8D%81%E4%B8%89%E5%8C%BA%E6%B8%85%E6%8E%83%E4%B8%80%E9%83%A8%E4%BA%8B%E5%8B%99%E7%B5%84%E5%90%88%20%E6%9D%B1%E4%BA%AC%E9%83%BD,自治体ウェブ資料,,
東京都,東京都中央卸売市場,東京都中央卸売市場「市場見学」,市場,A,豊洲、大田、豊島、淀橋、足立、板橋、世田谷、北足立など各市場を横断できる。,https://www.shijou.metro.tokyo.lg.jp/kengaku,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8D%B8%E5%A3%B2%E5%B8%82%E5%A0%B4%20%E6%9D%B1%E4%BA%AC%E9%83%BD,自治体ウェブ資料,,
東京都,東京都中央卸売市場,東京都中央卸売市場「市場見学申請書」,市場,A,一般用・学校用などの見学申請様式がまとまっている。,https://www.shijou.metro.tokyo.lg.jp/kengaku/form,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8D%B8%E5%A3%B2%E5%B8%82%E5%A0%B4%20%E6%9D%B1%E4%BA%AC%E9%83%BD,自治体ウェブ資料,,
東京都,千代田区,千代田区「防災行政無線」,防災無線,B,災害放送だけでなく平時の定時放送など、街に何を放送するかが見える。,https://www.city.chiyoda.lg.jp/koho/kurashi/bosai/johotekyo/musen.html,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%20%E6%9D%B1%E4%BA%AC%E9%83%BD,自治体ウェブ資料,,
