都道府県,市区町村,店舗名・施設名,分類,説明・狙い目,公式サイト,Googleマップ,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL
岐阜県,養老町,養老ランド,遊園地・レジャー施設,小規模レトロ遊園地。屋内遊具・色彩・古い設備。９:00～17:00。 火曜日休館。,https://www.yourou-land.com/,https://www.google.com/maps/search/?api=1&query=%E9%A4%8A%E8%80%81%E3%83%A9%E3%83%B3%E3%83%89%20%E5%B2%90%E9%98%9C%E7%9C%8C%E9%A4%8A%E8%80%81%E9%83%A1%E9%A4%8A%E8%80%81%E7%94%BA%E9%A4%8A%E8%80%811155-2,,,,,,
北海道,函館市,函館公園こどものくに,遊園地・レジャー施設,現役最古級の観覧車を含む小規模遊園地。10:00〜17:00。,http://kodomonokuni.sakuraweb.com/index.html,https://www.google.com/maps/search/?api=1&query=%E5%87%BD%E9%A4%A8%E5%85%AC%E5%9C%92%E3%81%93%E3%81%A9%E3%82%82%E3%81%AE%E3%81%8F%E3%81%AB%20%E5%8C%97%E6%B5%B7%E9%81%93%E5%87%BD%E9%A4%A8%E5%B8%82%E9%9D%92%E6%9F%B3%E7%94%BA17-4,,,,,,
宮城県,仙台市太白区,八木山ベニーランド,遊園地・レジャー施設,地方都市の老舗遊園地。,https://www.benyland.com/,https://www.google.com/maps/search/?api=1&query=%E5%85%AB%E6%9C%A8%E5%B1%B1%E3%83%99%E3%83%8B%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E5%A4%AA%E7%99%BD%E5%8C%BA%E9%95%B7%E7%94%BA%E8%B6%8A%E8%B7%AF19-1,,,,,,
山形県,上山市,リナワールド,遊園地・レジャー施設,地方遊園地。色彩と遊具配置が。,https://www.linaworld.co.jp/,https://www.google.com/maps/search/?api=1&query=%E3%83%AA%E3%83%8A%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89%20%E5%B1%B1%E5%BD%A2%E7%9C%8C%E4%B8%8A%E5%B1%B1%E5%B8%82%E9%87%91%E7%93%B6%E6%B0%B4%E4%B8%8A108-1,,,,,,
岩手県,盛岡市,岩山パークランド,遊園地・レジャー施設,山上の地方遊園地。小規模遊具群。1972年開園。,https://iwayamapark.hp.peraichi.com/,https://www.google.com/maps/search/?api=1&query=%E5%B2%A9%E5%B1%B1%E3%83%91%E3%83%BC%E3%82%AF%E3%83%A9%E3%83%B3%E3%83%89%20%E5%B2%A9%E6%89%8B%E7%9C%8C%E7%9B%9B%E5%B2%A1%E5%B8%82%E6%96%B0%E5%BA%84%E5%B2%A9%E5%B1%B1,,,,,,
宮城県,登米市,チャチャワールドいしこし,遊園地・レジャー施設,地方の小規模遊園地。9:30 ～17:00,http://www.chachaworld.jp/,https://www.google.com/maps/search/?api=1&query=%E3%83%81%E3%83%A3%E3%83%81%E3%83%A3%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89%E3%81%84%E3%81%97%E3%81%93%E3%81%97%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E7%99%BB%E7%B1%B3%E5%B8%82%E7%9F%B3%E8%B6%8A%E7%94%BA%E5%8D%97%E9%83%B7%E9%AB%98%E6%A3%AE100,,,,,,
青森県,八戸市,八戸公園こどもの国,遊園地・レジャー施設,公園内の地方遊園地。 月曜日休館。9:00〜17:00。,https://www.city.hachinohe.aomori.jp/soshikikarasagasu/koenryokuchika/koen/3884.html,https://www.google.com/maps/search/?api=1&query=%E5%85%AB%E6%88%B8%E5%85%AC%E5%9C%92%E3%81%93%E3%81%A9%E3%82%82%E3%81%AE%E5%9B%BD%20%E9%9D%92%E6%A3%AE%E7%9C%8C%E5%85%AB%E6%88%B8%E5%B8%82%E5%8D%81%E6%97%A5%E5%B8%82%E5%A4%A9%E6%91%A933-2,,,,,,
福島県,郡山市,AGCエレクトロニクス郡山カルチャーパーク,遊園地・レジャー施設,公共遊園地型。広い園内と遊具。9:00～21:00,http://www.koriyamaculturepark.com/,https://www.google.com/maps/search/?api=1&query=AGC%E3%82%A8%E3%83%AC%E3%82%AF%E3%83%88%E3%83%AD%E3%83%8B%E3%82%AF%E3%82%B9%E9%83%A1%E5%B1%B1%E3%82%AB%E3%83%AB%E3%83%81%E3%83%A3%E3%83%BC%E3%83%91%E3%83%BC%E3%82%AF%20%E7%A6%8F%E5%B3%B6%E7%9C%8C%E9%83%A1%E5%B1%B1%E5%B8%82%E5%AE%89%E7%A9%8D%E7%94%BA%E6%88%90%E7%94%B0%E6%9D%B1%E4%B8%B8%E5%B1%B161,,,,,,
群馬県,前橋市,前橋市中央児童遊園 るなぱあく,遊園地・レジャー施設,小型遊具と木馬館。昭和児童遊園の原型 開業年：1954年。,https://lunapark.maebashi-park.com/,https://www.google.com/maps/search/?api=1&query=%E5%89%8D%E6%A9%8B%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%85%90%E7%AB%A5%E9%81%8A%E5%9C%92%20%E3%82%8B%E3%81%AA%E3%81%B1%E3%81%82%E3%81%8F%20%E7%BE%A4%E9%A6%AC%E7%9C%8C%E5%89%8D%E6%A9%8B%E5%B8%82%E5%A4%A7%E6%89%8B%E7%94%BA3-16-3,,,,,,
栃木県,宇都宮市,とちのきファミリーランド,遊園地・レジャー施設,県営公園内の遊園地。,https://www.park-tochigi.com/tochinoki/,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%81%A1%E3%81%AE%E3%81%8D%E3%83%95%E3%82%A1%E3%83%9F%E3%83%AA%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%E8%A5%BF%E5%B7%9D%E7%94%B04-1-1,,,,,,
