"都道府県","市区町村","店舗名・施設名","分類","評価","説明・狙い目","公式サイト","Googleマップ","雰囲気","公式検索","地図検索名","参照"
"東京都","江東区","夢の島熱帯植物館","植物園・温室","S","巨大ドーム温室。人工熱帯空間。
狙い目：ドームの大きさと植物の背丈を見比べ、人工の屋根に包まれた熱帯空間として眺めたい。","https://www.yumenoshima.jp/botanicalhall","https://www.google.com/maps/search/?api=1&query=%E5%A4%A2%E3%81%AE%E5%B3%B6%E7%86%B1%E5%B8%AF%E6%A4%8D%E7%89%A9%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B1%9F%E6%9D%B1%E5%8C%BA","ドリームコア","","","公式サイト：https://www.yumenoshima.jp/botanicalhall"
"東京都","板橋区","板橋区立熱帯環境植物館","植物園・温室","S","地下水族展示＋温室。人工環境感が強い。
狙い目：地下の水族展示から温室へ移る際の明るさや視界の変化に注目。水中と陸上の環境を一つの公共施設で切り替える構成が対象。","http://www.seibu-la.co.jp/nettaikan/","https://www.google.com/maps/search/?api=1&query=%E6%9D%BF%E6%A9%8B%E5%8C%BA%E7%AB%8B%E7%86%B1%E5%B8%AF%E7%92%B0%E5%A2%83%E6%A4%8D%E7%89%A9%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%9D%BF%E6%A9%8B%E5%8C%BA","ドリームコア","","","公式サイト：http://www.seibu-la.co.jp/nettaikan/"
"東京都","調布市","神代植物公園 大温室","植物園・温室","A","大型温室の連続空間。
狙い目：温室を移動する順序と、区画ごとの植物の密度・見通しの違いを追いたい。","https://www.tokyo-park.or.jp/jindai/","https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E4%BB%A3%E6%A4%8D%E7%89%A9%E5%85%AC%E5%9C%92%20%E5%A4%A7%E6%B8%A9%E5%AE%A4%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E8%AA%BF%E5%B8%83%E5%B8%82","ドリームコア","","","公式サイト：https://www.tokyo-park.or.jp/jindai/"
"東京都","新宿区","新宿御苑 大温室","植物園・温室","B","現代的だが無人時間の人工熱帯感。
狙い目：曲面ガラスの輪郭と植物の重なり、屋外の公園から温室内へ入る境目が観察点。","https://fng.or.jp/shinjuku/category/温室/","https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E5%AE%BF%E5%BE%A1%E8%8B%91%20%E5%A4%A7%E6%B8%A9%E5%AE%A4%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%96%B0%E5%AE%BF%E5%8C%BA","ドリームコア","","","公式サイト：https://fng.or.jp/shinjuku/category/温室/"
"千葉県","千葉市中央区","千葉市都市緑化植物園","植物園・温室","A","公共植物園の温室・園路。
狙い目：温室だけでなく園路からの見え方も対象。緑化のための実用施設と散策空間のつながりを見たい。","http://www.cue-net.or.jp/kouen/chiba-toshiryokka/index.html","https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E5%B8%82%E9%83%BD%E5%B8%82%E7%B7%91%E5%8C%96%E6%A4%8D%E7%89%A9%E5%9C%92%20%E5%8D%83%E8%91%89%E7%9C%8C%20%E5%8D%83%E8%91%89%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA","ドリームコア","","","公式サイト：http://www.cue-net.or.jp/kouen/chiba-toshiryokka/index.html"
"茨城県","つくば市","筑波実験植物園 温室","植物園・温室","A","研究施設的な巨大温室。
狙い目：植物の展示と研究施設の関係に注目。観覧区画の配置をたどり、植物の生育環境をどう分けて見せるかを見る。","https://tbg.kahaku.go.jp/","https://www.google.com/maps/search/?api=1&query=%E7%AD%91%E6%B3%A2%E5%AE%9F%E9%A8%93%E6%A4%8D%E7%89%A9%E5%9C%92%20%E6%B8%A9%E5%AE%A4%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%20%E3%81%A4%E3%81%8F%E3%81%B0%E5%B8%82","ドリームコア","","","公式サイト：https://tbg.kahaku.go.jp/"
"栃木県","岩舟町","とちぎ花センター 大温室","植物園・温室","A","地方型巨大温室。
狙い目：温室全体の大きさを感じられる位置と、植物に囲まれる位置の見え方を比べたい。","http://www.florence.jp/","https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%81%A1%E3%81%8E%E8%8A%B1%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%A4%A7%E6%B8%A9%E5%AE%A4%20%E6%A0%83%E6%9C%A8%E7%9C%8C%20%E5%B2%A9%E8%88%9F%E7%94%BA","ドリームコア","","","公式サイト：http://www.florence.jp/"
"群馬県","前橋市","ぐんまフラワーパーク 温室エリア","植物園・温室","B","大型公園＋温室。
狙い目：公園の広がりと温室内の囲われた空間の対比が対象。再整備に伴う公開範囲は園の案内に従う。","http://www.flower-park.jp/","https://www.google.com/maps/search/?api=1&query=%E3%81%90%E3%82%93%E3%81%BE%E3%83%95%E3%83%A9%E3%83%AF%E3%83%BC%E3%83%91%E3%83%BC%E3%82%AF%20%E6%B8%A9%E5%AE%A4%E3%82%A8%E3%83%AA%E3%82%A2%20%E7%BE%A4%E9%A6%AC%E7%9C%8C%20%E5%89%8D%E6%A9%8B%E5%B8%82","ドリームコア","","","公式サイト：http://www.flower-park.jp/"
"富山県","富山市","富山県中央植物園 温室","植物園・温室","A","大型温室群。
狙い目：温室ごとの外形と、その間を移動する順路に注目。複数棟を一つの施設として体験する構成を見る。","http://www.bgtym.org/","https://www.google.com/maps/search/?api=1&query=%E5%AF%8C%E5%B1%B1%E7%9C%8C%E4%B8%AD%E5%A4%AE%E6%A4%8D%E7%89%A9%E5%9C%92%20%E6%B8%A9%E5%AE%A4%20%E5%AF%8C%E5%B1%B1%E7%9C%8C%20%E5%AF%8C%E5%B1%B1%E5%B8%82","ドリームコア","","","公式サイト：http://www.bgtym.org/"
"愛知県","名古屋市千種区","東山動植物園 温室前館","植物園・温室","A","歴史ある温室建築。
狙い目：温室建築の骨組みとガラスの割り付けを、植物越しに観察したい。","https://www.pref.aichi.jp/kyoiku/bunka/bunkazainavi/yukei/kenzoubutu/kunisitei/0075.html","https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E5%B1%B1%E5%8B%95%E6%A4%8D%E7%89%A9%E5%9C%92%20%E6%B8%A9%E5%AE%A4%E5%89%8D%E9%A4%A8%20%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA","ドリームコア","","","公式サイト：https://www.pref.aichi.jp/kyoiku/bunka/bunkazainavi/yukei/kenzoubutu/kunisitei/0075.html"
"愛知県","名古屋市守山区","名古屋市東谷山フルーツパーク 世界の熱帯果樹温室","植物園・温室","A","巨大ドーム型温室。
狙い目：ドームの曲面と果樹の高さの関係が狙い目。屋根までの距離を意識すると屋外の果樹園との違いが見える。","https://www.fruitpark.org/guide/tropical-fruit-greenhouses.html","https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E8%B0%B7%E5%B1%B1%E3%83%95%E3%83%AB%E3%83%BC%E3%83%84%E3%83%91%E3%83%BC%E3%82%AF%20%E4%B8%96%E7%95%8C%E3%81%AE%E7%86%B1%E5%B8%AF%E6%9E%9C%E6%A8%B9%E6%B8%A9%E5%AE%A4%20%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%AE%88%E5%B1%B1%E5%8C%BA","ドリームコア","","","公式サイト：https://www.fruitpark.org/guide/tropical-fruit-greenhouses.html"
"京都府","京都市左京区","京都府立植物園 観覧温室","植物園・温室","S","迷路状の巨大温室。
狙い目：順路の曲がり方と先の見え方を追い、気候帯が切り替わる場所ごとの空間の違いを見たい。","http://www.pref.kyoto.jp/plant/11900018.html","https://www.google.com/maps/search/?api=1&query=%E4%BA%AC%E9%83%BD%E5%BA%9C%E7%AB%8B%E6%A4%8D%E7%89%A9%E5%9C%92%20%E8%A6%B3%E8%A6%A7%E6%B8%A9%E5%AE%A4%20%E4%BA%AC%E9%83%BD%E5%BA%9C%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%B7%A6%E4%BA%AC%E5%8C%BA","ドリームコア","","","公式サイト：http://www.pref.kyoto.jp/plant/11900018.html"
"大阪府","大阪市鶴見区","咲くやこの花館","植物園・温室","S","1990年花博系巨大温室。
狙い目：花博由来の建築として、温室の大きさと内部の植物展示を合わせて見る。植物だけでなく人工環境を包む構造も対象。","https://www.sakuyakonohana.jp/","https://www.google.com/maps/search/?api=1&query=%E5%92%B2%E3%81%8F%E3%82%84%E3%81%93%E3%81%AE%E8%8A%B1%E9%A4%A8%20%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E5%A4%A7%E9%98%AA%E5%B8%82%E9%B6%B4%E8%A6%8B%E5%8C%BA","ドリームコア","","","公式サイト：https://www.sakuyakonohana.jp/"
"兵庫県","神戸市中央区","神戸どうぶつ王国 温室エリア","植物園・温室","B","旧花鳥園系の巨大屋内温室。
狙い目：鳥や動物の展示と屋内植物空間の関係を見たい。温室を別用途と共有する大きな屋内空間として観察する。","https://www.kobe-oukoku.com/","https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E6%88%B8%E3%81%A9%E3%81%86%E3%81%B6%E3%81%A4%E7%8E%8B%E5%9B%BD%20%E6%B8%A9%E5%AE%A4%E3%82%A8%E3%83%AA%E3%82%A2%20%E5%85%B5%E5%BA%AB%E7%9C%8C%20%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA","ドリームコア","","","公式サイト：https://www.kobe-oukoku.com/"
"兵庫県","加西市","兵庫県立フラワーセンター 大温室","植物園・温室","A","地方型温室群。
狙い目：一つの温室だけで完結せず、棟を移る際の屋内外の切り替わりをたどりたい。","https://flowercenter.jp/","https://www.google.com/maps/search/?api=1&query=%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%AB%8B%E3%83%95%E3%83%A9%E3%83%AF%E3%83%BC%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%A4%A7%E6%B8%A9%E5%AE%A4%20%E5%85%B5%E5%BA%AB%E7%9C%8C%20%E5%8A%A0%E8%A5%BF%E5%B8%82","ドリームコア","","","公式サイト：https://flowercenter.jp/"
"広島県","広島市佐伯区","広島市植物公園 大温室","植物園・温室","S","巨大温室と長い園路。
狙い目：長い園路から大温室へ近づく過程が狙い目。敷地の広がりと温室内の密度を比べる。","http://www.hiroshima-bot.jp/ennai/daionsitu/index.htm","https://www.google.com/maps/search/?api=1&query=%E5%BA%83%E5%B3%B6%E5%B8%82%E6%A4%8D%E7%89%A9%E5%85%AC%E5%9C%92%20%E5%A4%A7%E6%B8%A9%E5%AE%A4%20%E5%BA%83%E5%B3%B6%E7%9C%8C%20%E5%BA%83%E5%B3%B6%E5%B8%82%E4%BD%90%E4%BC%AF%E5%8C%BA","ドリームコア","","","公式サイト：http://www.hiroshima-bot.jp/ennai/daionsitu/index.htm"
"高知県","高知市","高知県立牧野植物園 温室","植物園・温室","A","大型温室。
狙い目：温室を包む建築と植栽の関係に注目。植物の手前・奥で視界がどう変わるかを追いたい。","https://www.makino.or.jp/","https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E7%9F%A5%E7%9C%8C%E7%AB%8B%E7%89%A7%E9%87%8E%E6%A4%8D%E7%89%A9%E5%9C%92%20%E6%B8%A9%E5%AE%A4%20%E9%AB%98%E7%9F%A5%E7%9C%8C%20%E9%AB%98%E7%9F%A5%E5%B8%82","ドリームコア","","","公式サイト：https://www.makino.or.jp/"
"福岡県","福岡市中央区","福岡市植物園 温室","植物園・温室","A","都市型植物園の温室。
狙い目：市街地の植物園として、園内の散策から温室に入る際の囲われ方の変化を見る。","","https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B2%A1%E5%B8%82%E6%A4%8D%E7%89%A9%E5%9C%92%20%E6%B8%A9%E5%AE%A4%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%20%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA","ドリームコア","","",""
"長崎県","長崎市","長崎県亜熱帯植物園跡周辺","植物園・温室","B","施設跡地周辺。立入可能範囲のみ。
狙い目：植物園だった場所と現在の周辺景観を見比べる候補。閉園施設への立入りを前提にせず、公開された範囲から外観と敷地の関係を見る。","http://www.city.nagasaki.lg.jp/shimin/190001/192001/p000713.html","https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BA%9C%E7%86%B1%E5%B8%AF%E6%A4%8D%E7%89%A9%E5%9C%92%E8%B7%A1%E5%91%A8%E8%BE%BA%20%E9%95%B7%E5%B4%8E%E7%9C%8C%20%E9%95%B7%E5%B4%8E%E5%B8%82","リミナル","","","公式サイト：http://www.city.nagasaki.lg.jp/shimin/190001/192001/p000713.html"
"鹿児島県","指宿市","フラワーパークかごしま 温室","植物園・温室","A","南国型の巨大園芸施設。
狙い目：広い園地と温室を一続きに見る。南国の屋外景観と管理された室内環境の境目に注目。","http://www.fp-k.org/","https://www.google.com/maps/search/?api=1&query=%E3%83%95%E3%83%A9%E3%83%AF%E3%83%BC%E3%83%91%E3%83%BC%E3%82%AF%E3%81%8B%E3%81%94%E3%81%97%E3%81%BE%20%E6%B8%A9%E5%AE%A4%20%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C%20%E6%8C%87%E5%AE%BF%E5%B8%82","ドリームコア","","","公式サイト：http://www.fp-k.org/"
"東京都","新宿区","新宿御苑 温室","大型温室","A","都心の巨大温室。曲面ガラスと熱帯植物の人工環境感。
狙い目：曲面ガラスを通した外光と、温室内の植物の重なりが狙い目。都心の公園内に別の気候をつくる構成として見る。","https://fng.or.jp/shinjuku/category/温室/","https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E5%AE%BF%E5%BE%A1%E8%8B%91%20%E6%B8%A9%E5%AE%A4%20%E6%96%B0%E5%AE%BF%E5%8C%BA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%97%A5%E6%9C%AC","植物園・温室","","","公式サイト：https://fng.or.jp/shinjuku/category/温室/"
"東京都","文京区","小石川植物園 公開温室","研究植物園・温室","A","大学研究施設らしい非観光的な空気がある。
狙い目：観光温室との違いを、植物の分類・案内表示と観覧順路から読み取りたい。","https://koishikawa-bg.jp/ennai/glasshouse/","https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E7%9F%B3%E5%B7%9D%E6%A4%8D%E7%89%A9%E5%9C%92%20%E5%85%AC%E9%96%8B%E6%B8%A9%E5%AE%A4%20%E6%96%87%E4%BA%AC%E5%8C%BA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%97%A5%E6%9C%AC","植物園・温室","","","公式サイト：https://koishikawa-bg.jp/ennai/glasshouse/"
"東京都","小平市","東京都薬用植物園 温室","薬用植物園・温室","A","都の研究・啓発施設。実用施設感が強い。
狙い目：薬用植物を扱う実用的な施設として、植物名や用途の表示と栽培区画の関係を見る。","https://www.tmiph.metro.tokyo.lg.jp/lb_iyaku/plant/","https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%96%AC%E7%94%A8%E6%A4%8D%E7%89%A9%E5%9C%92%20%E6%B8%A9%E5%AE%A4%20%E5%B0%8F%E5%B9%B3%E5%B8%82%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%97%A5%E6%9C%AC","植物園・温室","","","公式サイト：https://www.tmiph.metro.tokyo.lg.jp/lb_iyaku/plant/"
"東京都","渋谷区","渋谷区ふれあい植物センター","都市型植物施設","B","都市の隙間にある植物施設。旧温室施設の系譜。
狙い目：周囲の都市空間と植物を扱う室内空間の距離感が狙い目。施設の現在の案内に沿って、街との接し方を見たい。","https://sbgf.jp/","https://www.google.com/maps/search/?api=1&query=%E6%B8%8B%E8%B0%B7%E5%8C%BA%E3%81%B5%E3%82%8C%E3%81%82%E3%81%84%E6%A4%8D%E7%89%A9%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E6%B8%8B%E8%B0%B7%E5%8C%BA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%97%A5%E6%9C%AC","植物園・温室","","","公式サイト：https://sbgf.jp/"
"北海道","函館市","函館市熱帯植物園","熱帯温室","S","雪国・温泉街・熱帯温室という環境のズレが強烈。
狙い目：寒冷地の屋外景観と温室内の熱帯植物を見比べたい。温泉街の中に温室が置かれた立地も観察対象。","https://hako-eco.com/","https://www.google.com/maps/search/?api=1&query=%E5%87%BD%E9%A4%A8%E5%B8%82%E7%86%B1%E5%B8%AF%E6%A4%8D%E7%89%A9%E5%9C%92%20%E5%87%BD%E9%A4%A8%E5%B8%82%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%97%A5%E6%9C%AC","植物園・温室","","","公式サイト：https://hako-eco.com/"
"北海道","札幌市","百合が原公園 緑のセンター温室","公共温室","S","大中小3温室。札幌市営施設らしい古典的な公共温室感。
狙い目：大・中・小の温室を順に見て、建物の大きさと展示の密度がどう変わるかを比べたい。","https://yuri-park.jp/guide/flowerbed/onsitu/","https://www.google.com/maps/search/?api=1&query=%E7%99%BE%E5%90%88%E3%81%8C%E5%8E%9F%E5%85%AC%E5%9C%92%20%E7%B7%91%E3%81%AE%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E6%B8%A9%E5%AE%A4%20%E6%9C%AD%E5%B9%8C%E5%B8%82%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%97%A5%E6%9C%AC","植物園・温室","","","公式サイト：https://yuri-park.jp/guide/flowerbed/onsitu/"
"北海道","札幌市","北海道大学植物園","大学植物園","B","研究施設、博物館、古い建築が混在する。
狙い目：植物の展示だけでなく、博物館や古い建築との位置関係をたどる。研究と公開展示が共存する園内構成を見る。","https://www.hokudai.ac.jp/fsc/bg/","https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%A4%A7%E5%AD%A6%E6%A4%8D%E7%89%A9%E5%9C%92%20%E6%9C%AD%E5%B9%8C%E5%B8%82%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%97%A5%E6%9C%AC","植物園・温室","","","公式サイト：https://www.hokudai.ac.jp/fsc/bg/"
"宮城県","仙台市","仙台市野草園","植物園","B","市営の教育施設感と園路の静けさ。
狙い目：園路を歩き、植栽を見る場所と通り抜ける場所の違いを観察したい。温室中心の施設とは異なる屋外の展示構成が対象。","https://sendai-green-association.jp/green/yasouen/","https://www.google.com/maps/search/?api=1&query=%E4%BB%99%E5%8F%B0%E5%B8%82%E9%87%8E%E8%8D%89%E5%9C%92%20%E4%BB%99%E5%8F%B0%E5%B8%82%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%20%E6%97%A5%E6%9C%AC","植物園・温室","","","公式サイト：https://sendai-green-association.jp/green/yasouen/"
