"都道府県","市区町村","店舗名・施設名","分類","評価","説明・狙い目","公式サイト","Googleマップ","雰囲気","公式検索","地図検索名","参照"
"北海道","札幌市中央区","市立札幌病院店","","","市立札幌病院内。病院利用者、付き添い、職員が利用する院内店舗。
狙い目：院内店舗として、店先と病院側の通行空間の境目、席から見える範囲を観察したい。院内を巡回するのではなく、店舗を利用できる範囲で見る。","https://shop.tullys.co.jp/all?keyword=%E5%B8%82%E7%AB%8B%E6%9C%AD%E5%B9%8C%E7%97%85%E9%99%A2%E5%BA%97","https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E7%AB%8B%E6%9C%AD%E5%B9%8C%E7%97%85%E9%99%A2%E5%BA%97%20%E5%B8%82%E7%AB%8B%E6%9C%AD%E5%B9%8C%E7%97%85%E9%99%A2%E5%86%85","","","","公式サイト：https://shop.tullys.co.jp/all?keyword=%E5%B8%82%E7%AB%8B%E6%9C%AD%E5%B9%8C%E7%97%85%E9%99%A2%E5%BA%97"
"北海道","旭川市","旭川赤十字病院店","","","旭川赤十字病院内。病院利用者、付き添い、職員が利用する院内店舗。
狙い目：院内店舗として、店先と病院側の通行空間の境目、席から見える範囲を観察したい。院内を巡回するのではなく、店舗を利用できる範囲で見る。","https://shop.tullys.co.jp/all?keyword=%E6%97%AD%E5%B7%9D%E8%B5%A4%E5%8D%81%E5%AD%97%E7%97%85%E9%99%A2%E5%BA%97","https://www.google.com/maps/search/?api=1&query=%E6%97%AD%E5%B7%9D%E8%B5%A4%E5%8D%81%E5%AD%97%E7%97%85%E9%99%A2%E5%BA%97%20%E6%97%AD%E5%B7%9D%E8%B5%A4%E5%8D%81%E5%AD%97%E7%97%85%E9%99%A2%E5%86%85","","","","公式サイト：https://shop.tullys.co.jp/all?keyword=%E6%97%AD%E5%B7%9D%E8%B5%A4%E5%8D%81%E5%AD%97%E7%97%85%E9%99%A2%E5%BA%97"
"宮城県","仙台市青葉区","東北大学病院店","","","東北大学病院内。病院利用者、付き添い、職員が利用する院内店舗。
狙い目：院内店舗として、店先と病院側の通行空間の境目、席から見える範囲を観察したい。院内を巡回するのではなく、店舗を利用できる範囲で見る。","https://shop.tullys.co.jp/all?keyword=%E6%9D%B1%E5%8C%97%E5%A4%A7%E5%AD%A6%E7%97%85%E9%99%A2%E5%BA%97","https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E5%8C%97%E5%A4%A7%E5%AD%A6%E7%97%85%E9%99%A2%E5%BA%97%20%E6%9D%B1%E5%8C%97%E5%A4%A7%E5%AD%A6%E7%97%85%E9%99%A2%E5%86%85","","","","公式サイト：https://shop.tullys.co.jp/all?keyword=%E6%9D%B1%E5%8C%97%E5%A4%A7%E5%AD%A6%E7%97%85%E9%99%A2%E5%BA%97"
"茨城県","水戸市","水戸赤十字病院店","","","水戸赤十字病院内。病院利用者、付き添い、職員が利用する院内店舗。
狙い目：院内店舗として、店先と病院側の通行空間の境目、席から見える範囲を観察したい。院内を巡回するのではなく、店舗を利用できる範囲で見る。","https://shop.tullys.co.jp/all?keyword=%E6%B0%B4%E6%88%B8%E8%B5%A4%E5%8D%81%E5%AD%97%E7%97%85%E9%99%A2%E5%BA%97","https://www.google.com/maps/search/?api=1&query=%E6%B0%B4%E6%88%B8%E8%B5%A4%E5%8D%81%E5%AD%97%E7%97%85%E9%99%A2%E5%BA%97%20%E6%B0%B4%E6%88%B8%E8%B5%A4%E5%8D%81%E5%AD%97%E7%97%85%E9%99%A2%E5%86%85","","","","公式サイト：https://shop.tullys.co.jp/all?keyword=%E6%B0%B4%E6%88%B8%E8%B5%A4%E5%8D%81%E5%AD%97%E7%97%85%E9%99%A2%E5%BA%97"
"茨城県","土浦市","土浦協同病院店","","","総合病院土浦協同病院内。病院利用者、付き添い、職員が利用する院内店舗。
狙い目：院内店舗として、店先と病院側の通行空間の境目、席から見える範囲を観察したい。院内を巡回するのではなく、店舗を利用できる範囲で見る。","https://shop.tullys.co.jp/all?keyword=%E5%9C%9F%E6%B5%A6%E5%8D%94%E5%90%8C%E7%97%85%E9%99%A2%E5%BA%97","https://www.google.com/maps/search/?api=1&query=%E5%9C%9F%E6%B5%A6%E5%8D%94%E5%90%8C%E7%97%85%E9%99%A2%E5%BA%97%20%E7%B7%8F%E5%90%88%E7%97%85%E9%99%A2%E5%9C%9F%E6%B5%A6%E5%8D%94%E5%90%8C%E7%97%85%E9%99%A2%E5%86%85","","","","公式サイト：https://shop.tullys.co.jp/all?keyword=%E5%9C%9F%E6%B5%A6%E5%8D%94%E5%90%8C%E7%97%85%E9%99%A2%E5%BA%97"
"茨城県","つくば市","筑波大学附属病院店","","","筑波大学附属病院内。病院利用者、付き添い、職員が利用する院内店舗。
狙い目：院内店舗として、店先と病院側の通行空間の境目、席から見える範囲を観察したい。院内を巡回するのではなく、店舗を利用できる範囲で見る。","https://shop.tullys.co.jp/all?keyword=%E7%AD%91%E6%B3%A2%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E7%97%85%E9%99%A2%E5%BA%97","https://www.google.com/maps/search/?api=1&query=%E7%AD%91%E6%B3%A2%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E7%97%85%E9%99%A2%E5%BA%97%20%E7%AD%91%E6%B3%A2%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E7%97%85%E9%99%A2%E5%86%85","","","","公式サイト：https://shop.tullys.co.jp/all?keyword=%E7%AD%91%E6%B3%A2%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E7%97%85%E9%99%A2%E5%BA%97"
"埼玉県","所沢市","防衛医大病院店","","","防衛医科大学校病院内。病院利用者、付き添い、職員が利用する院内店舗。
狙い目：院内店舗として、店先と病院側の通行空間の境目、席から見える範囲を観察したい。院内を巡回するのではなく、店舗を利用できる範囲で見る。","https://shop.tullys.co.jp/all?keyword=%E9%98%B2%E8%A1%9B%E5%8C%BB%E5%A4%A7%E7%97%85%E9%99%A2%E5%BA%97","https://www.google.com/maps/search/?api=1&query=%E9%98%B2%E8%A1%9B%E5%8C%BB%E5%A4%A7%E7%97%85%E9%99%A2%E5%BA%97%20%E9%98%B2%E8%A1%9B%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E6%A0%A1%E7%97%85%E9%99%A2%E5%86%85","","","","公式サイト：https://shop.tullys.co.jp/all?keyword=%E9%98%B2%E8%A1%9B%E5%8C%BB%E5%A4%A7%E7%97%85%E9%99%A2%E5%BA%97"
"埼玉県","川口市","川口市立医療センター店","","","川口市立医療センター内。病院利用者、付き添い、職員が利用する院内店舗。
狙い目：院内店舗として、店先と病院側の通行空間の境目、席から見える範囲を観察したい。院内を巡回するのではなく、店舗を利用できる範囲で見る。","https://shop.tullys.co.jp/all?keyword=%E5%B7%9D%E5%8F%A3%E5%B8%82%E7%AB%8B%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E5%BA%97","https://www.google.com/maps/search/?api=1&query=%E5%B7%9D%E5%8F%A3%E5%B8%82%E7%AB%8B%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E5%BA%97%20%E5%B7%9D%E5%8F%A3%E5%B8%82%E7%AB%8B%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E5%86%85","","","","公式サイト：https://shop.tullys.co.jp/all?keyword=%E5%B7%9D%E5%8F%A3%E5%B8%82%E7%AB%8B%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E5%BA%97"
"埼玉県","上尾市","上尾中央総合病院店","","","上尾中央総合病院内。病院利用者、付き添い、職員が利用する院内店舗。
狙い目：院内店舗として、店先と病院側の通行空間の境目、席から見える範囲を観察したい。院内を巡回するのではなく、店舗を利用できる範囲で見る。","https://shop.tullys.co.jp/all?keyword=%E4%B8%8A%E5%B0%BE%E4%B8%AD%E5%A4%AE%E7%B7%8F%E5%90%88%E7%97%85%E9%99%A2%E5%BA%97","https://www.google.com/maps/search/?api=1&query=%E4%B8%8A%E5%B0%BE%E4%B8%AD%E5%A4%AE%E7%B7%8F%E5%90%88%E7%97%85%E9%99%A2%E5%BA%97%20%E4%B8%8A%E5%B0%BE%E4%B8%AD%E5%A4%AE%E7%B7%8F%E5%90%88%E7%97%85%E9%99%A2%E5%86%85","","","","公式サイト：https://shop.tullys.co.jp/all?keyword=%E4%B8%8A%E5%B0%BE%E4%B8%AD%E5%A4%AE%E7%B7%8F%E5%90%88%E7%97%85%E9%99%A2%E5%BA%97"
"千葉県","松戸市","千葉西総合病院店","","","千葉西総合病院内。病院利用者、付き添い、職員が利用する院内店舗。
狙い目：院内店舗として、店先と病院側の通行空間の境目、席から見える範囲を観察したい。院内を巡回するのではなく、店舗を利用できる範囲で見る。","https://shop.tullys.co.jp/all?keyword=%E5%8D%83%E8%91%89%E8%A5%BF%E7%B7%8F%E5%90%88%E7%97%85%E9%99%A2%E5%BA%97","https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E8%A5%BF%E7%B7%8F%E5%90%88%E7%97%85%E9%99%A2%E5%BA%97%20%E5%8D%83%E8%91%89%E8%A5%BF%E7%B7%8F%E5%90%88%E7%97%85%E9%99%A2%E5%86%85","","","","公式サイト：https://shop.tullys.co.jp/all?keyword=%E5%8D%83%E8%91%89%E8%A5%BF%E7%B7%8F%E5%90%88%E7%97%85%E9%99%A2%E5%BA%97"
